OBS,solar.time,UTC,MST,battery,water.temp,DO.obs,DO.sat,Q
1,1594672740,           2020-07-13 20:39:00,           2020-07-13 14:39:00,3.13,17.52,9.586,100.262841,0.967
2,1594673340,           2020-07-13 20:49:00,           2020-07-13 14:49:00,3.13,17.283,9.747,101.447188,0.973
3,1594673940,           2020-07-13 20:59:00,           2020-07-13 14:59:00,3.13,17.258,9.762,101.550555,0.974
4,1594674540,           2020-07-13 21:09:00,           2020-07-13 15:09:00,3.13,17.292,9.778,101.788861,0.975
5,1594675140,           2020-07-13 21:19:00,           2020-07-13 15:19:00,3.13,17.343,9.778,101.896675,0.976
6,1594675740,           2020-07-13 21:29:00,           2020-07-13 15:29:00,3.13,17.41,9.782,102.080089,0.976
7,1594676340,           2020-07-13 21:39:00,           2020-07-13 15:39:00,3.13,17.436,9.781,102.124658,0.976
8,1594676940,           2020-07-13 21:49:00,           2020-07-13 15:49:00,3.13,17.444,9.767,101.995383,0.975
9,1594677540,           2020-07-13 21:59:00,           2020-07-13 15:59:00,3.13,17.469,9.758,101.954169,0.975
10,1594678140,           2020-07-13 22:09:00,           2020-07-13 16:09:00,3.13,17.512,9.752,101.982204,0.976
11,1594678740,           2020-07-13 22:19:00,           2020-07-13 16:19:00,3.13,17.495,9.707,101.47591,0.976
12,1594679340,           2020-07-13 22:29:00,           2020-07-13 16:29:00,3.13,17.528,9.646,100.907097,0.976
13,1594679940,           2020-07-13 22:39:00,           2020-07-13 16:39:00,3.12,17.604,9.633,100.929546,0.975
14,1594680540,           2020-07-13 22:49:00,           2020-07-13 16:49:00,3.12,17.68,9.66,101.371374,0.976
15,1594681140,           2020-07-13 22:59:00,           2020-07-13 16:59:00,3.12,17.79,9.703,102.053764,0.976
16,1594681740,           2020-07-13 23:09:00,           2020-07-13 17:09:00,3.13,17.883,9.689,102.101741,0.976
17,1594682340,           2020-07-13 23:19:00,           2020-07-13 17:19:00,3.13,17.942,9.634,101.645344,0.975
18,1594682940,           2020-07-13 23:29:00,           2020-07-13 17:29:00,3.13,18.009,9.533,100.718185,0.975
19,1594683540,           2020-07-13 23:39:00,           2020-07-13 17:39:00,3.13,18.051,9.43,99.715845,0.975
20,1594684140,           2020-07-13 23:49:00,           2020-07-13 17:49:00,3.13,18.11,9.379,99.296564,0.974
21,1594684740,           2020-07-13 23:59:00,           2020-07-13 17:59:00,3.13,18.136,9.411,99.688426,0.976
22,1594685340,           2020-07-14 00:09:00,           2020-07-13 18:09:00,3.13,18.169,9.343,99.035004,0.975
23,1594685940,           2020-07-14 00:19:00,           2020-07-13 18:19:00,3.13,18.169,9.205,97.572216,0.975
24,1594686540,           2020-07-14 00:29:00,           2020-07-13 18:29:00,3.13,18.136,9.104,96.43645,0.975
25,1594687140,           2020-07-14 00:39:00,           2020-07-13 18:39:00,3.13,18.119,9.119,96.561715,0.975
26,1594687740,           2020-07-14 00:49:00,           2020-07-13 18:49:00,3.13,18.102,9.2,97.385506,0.977
27,1594688340,           2020-07-14 00:59:00,           2020-07-13 18:59:00,3.13,18.094,9.21,97.47538,0.976
28,1594688940,           2020-07-14 01:09:00,           2020-07-13 19:09:00,3.13,18.043,9.207,97.3418,0.976
29,1594689540,           2020-07-14 01:19:00,           2020-07-13 19:19:00,3.13,18.009,9.18,96.988664,0.977
30,1594690140,           2020-07-14 01:29:00,           2020-07-13 19:29:00,3.13,17.959,9.13,96.36144,0.977
