datasetid,entityName,attributeName,attributeLabel,attributeDefinition,measurementScale,formatString,dateTimePrecision,definition,unit,missingValueCode,missingValueCodeExplanation
LTREB_BIOMASS_PIGMENTS_2020,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,ROW,ROW,Row number,Interval,,,,,,
LTREB_BIOMASS_PIGMENTS_2021,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,PROJECT,Project,Project,Nominal,,,anyText,,,
LTREB_BIOMASS_PIGMENTS_2022,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,DATE,Date (mm.dd.yy),Date (dd.mm.yy),DateTime,(dd.mm.yy),1 day,,dateTime,,
LTREB_BIOMASS_PIGMENTS_2023,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,DAY,Day (dd),Day (dd),Interval,,,,Day,,
LTREB_BIOMASS_PIGMENTS_2024,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,MONTH,Month (mm),Month (mm),Interval,,,,Month,,
LTREB_BIOMASS_PIGMENTS_2025,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,YEAR,Year (YYYY),Year (YYYY),Interval,,,,Year,,
LTREB_BIOMASS_PIGMENTS_2026,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,SITE,Sampling Site ,Sampling Site ,Nominal,,,attributeCodes,,,
LTREB_BIOMASS_PIGMENTS_2027,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,SAMPLE,Replicate Number,Replicate Number,Nominal,,,anyText,,,
LTREB_BIOMASS_PIGMENTS_2028,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,SUBSTRATE,Type of Substrate,Type of Substrate,Nominal,,,attributeCodes,,,
LTREB_BIOMASS_PIGMENTS_2029,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,AVERAGE_DEPTH,Depth (cm),Depth (cm),Ratio,,,,cm,NA,NAs are missing data. True 0s are recorded as 0.
LTREB_BIOMASS_PIGMENTS_2030,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,CPOM_OM_AREA_g_m2,Areal concentration of  Allochtonous Coarsely Particulated Organic Matter (g/m2),Areal concentration of  Allochtonous Coarsely Particulated Organic Matter (g/m2),Ratio,,,,(g/m2),NA,NAs are missing data. True 0s are recorded as 0.
LTREB_BIOMASS_PIGMENTS_2031,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,CPOM_ASH_AREA_g_m2,Inorganic fraction of Coarsely Particulated Organic Matter (g/m2),Inorganic fraction of Coarsely Particulated Organic Matter (g/m2),Ratio,,,,(g/m2),NA,NAs are missing data. True 0s are recorded as 0.
LTREB_BIOMASS_PIGMENTS_2032,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,EPIL_OM_AREA_g_m2,Areal concentration of Epilithon Organic Matter (g/m2),Areal concentration of Epilithon Organic Matter (g/m2),Ratio,,,,(g/m2),NA,NAs are missing data. True 0s are recorded as 0.
LTREB_BIOMASS_PIGMENTS_2033,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,EPIL_ASH_AREA_g_m2,Areal concentration of Inorganic fraction of Epilithon (g/m2),Areal concentration of Inorganic fraction of Epilithon (g/m2),Ratio,,,,(g/m2),NA,NAs are missing data. True 0s are recorded as 0.
LTREB_BIOMASS_PIGMENTS_2034,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,EPIL_CHLA_MG_M2_HAUER,"Areal concentration of Chlorophyll A of Epilithon Organic Matter (mg/m2) measured according to Hauer & Lamberti, 2017.","Areal concentration of Chlorophyll A of Epilithon Organic Matter (mg/m2) measured according to Hauer & Lamberti, 2017.",Ratio,,,,(ug/m2),NA,NAs are missing data. True 0s are recorded as 0.
LTREB_BIOMASS_PIGMENTS_2035,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,EPIL_PHAEO_MG_M2_HAUER,"Areal concentration of Phaeophytin of Epilithon Organic Matter (mg/m2) measured according to Hauer & Lamberti, 2017.","Areal concentration of Phaeophytin of Epilithon Organic Matter (mg/m2) measured according to Hauer & Lamberti, 2017.",Ratio,,,,(ug/m2),NA,NAs are missing data. True 0s are recorded as 0.
LTREB_BIOMASS_PIGMENTS_2036,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,EPIL_640_664,"Carotenoid-to-Chlorophyll ratio of epilithon measured using the absorbance of the 640nm and 664nm bands, respectively.","Carotenoid-to-Chlorophyll ratio of epilithon measured using the absorbance of the 640nm and 664nm bands, respectively.",Ratio,,,,(ug/m2),NA,NAs are missing data. True 0s are recorded as 0.
LTREB_BIOMASS_PIGMENTS_2037,LTREB_BIOMASS_PIGMENTS_2020_ISF.CSV,PHICOCYANIN_MG_M2,Areal concentration of Phycocyanin of Epilithon (mg/m2).,Areal concentration of Phycocyanin of Epilithon (mg/m2).,Ratio,,,,(ug/m2),NA,NAs are missing data. True 0s are recorded as 0.
