,PROJECT,DATE,SITE,SAMPLE,SUBSTRATE,AVERAGE.DEPTH,CPOM.OM.AREA.g.m2,CPOM.ASH.AREA.g.m2,EPIL.OM.AREA.g.m2,EPIL.ASH.AREA.g.m2,EPIL.CHLA.MG.M2.HAUER,EPIL.PHAEO.MG.M2.HAUER,EPIL.640.664,PHICOCYANIN.MG.M2,EPIL.CHLA.MG.M2.RITCHIE,EPIL.CHLB.MG.M2.RITCHIE,EPIL.CHLC.MG.M2.RITCHIE,EPIL.CHLD.MG.M2.RITCHIE,EPIL.CHL.TOTAL.MG.M2.RITCHIE,EPIP.OM.AREA.g.m2,EPIP.ASH.AREA.g.m2,EPIP.CHLA.MG.M2.HAUER,EPIP.PHAEO.MG.M2.HAUER,EPIP.640.664,EPIP.PHICOCYANIN.MG.M2,EPIP.CHLA.MG.M2.RITCHIE,EPIP.CHLB.MG.M2.RITCHIE,EPIP.CHLC.MG.M2.RITCHIE,EPIP.CHLD.MG.M2.RITCHIE,EPIP.CHL.TOTAL.MG.M2.RITCHIE,FBOM.AREA.g.m2,FBOM.ASH.AREA.g.m2,FBOM.CHLA.MG.M2.HAUER,FBOM.PHAEO.MG.M2.HAUER,FBOM.640.664,FBOM.PHICOCYANIN.MG.M2,FBOM.CHLA.MG.M2.RITCHIE,FBOM.CHLB.MG.M2.RITCHIE,FBOM.CHLC.MG.M2.RITCHIE,FBOM.CHLD.MG.M2.RITCHIE,FBOM.CHL.TOTAL.MG.M2.RITCHIE,FILA.OM.AREA.g.m2,FILA.ASH.AREA.g.m2,FILA.CHLA.MG.M2.HAUER,FILA.PHAEO.MG.M2.HAUER,FILA..640.664,FILA.CHLA.MG.M2.RITCHIE,FILA.CHLB.MG.M2.RITCHIE,FILA.CHLC.MG.M2.RITCHIE,FILA.CHLD.MG.M2.RITCHIE,FILA.CHL.TOTAL.MG.M2.RITCHIE,MACRO.OM.AREA.g.m2,MACRO.ASH.AREA.g.m2,TOTAL.ALGAL.BIOMASS.g.m2,TOTAL.CHLA.MG.M2.RITCHIE
160,LTREB,7/21/2020,BG,1,COBBLE,32.25,,,4.037576779,11.50709382,2.887588393,0.30608437,1.2890625,2.046618829,3.013975217,0.690736667,0.224906365,0.002069546,3.931704882,,,,,,,,,,,,-3.37E-06,3.54E-06,0.906394737,0.997034211,1.625,4.93425,1.151431934,0.155636803,-0.021071132,-0.022848276,1.263156118,2.593246707,8.227537005,9.71768839,1.80346289,1.55704698,10.6637739,4.677551286,-0.046173857,0.012562794,15.30776462,,,6.63E+00,14.82918105
161,LTREB,7/21/2020,BG,2,COBBLE,22.75,,,5.198185239,17.59385773,10.67627276,2.111529501,1.62962963,1.680746561,12.06990134,2.093032403,0.765051132,0.218750742,15.14680892,,,,,,,,,,,,2.38E-08,1.37E-07,1.071926471,0.929002941,1.6,17.788225,1.086795603,0.08865675,-0.013629926,-0.167945853,0.993881926,,,,,,,,,,,,,5.20E+00,13.15669694
162,LTREB,7/21/2020,BG,3,COBBLE,10,,,0.631358531,2.525434124,2.285096977,0.284700607,1.639240506,0.951246853,2.424847907,0.469530817,0.171500969,0.052946007,3.118840291,,,,,,,,,,,,1.03E-07,9.19E-07,0.9345,0.84105,1.6,5.308,1.1064625,0.2635395,0.340696,-0.360763,1.349938,,,,,,,,,,,,,6.31E-01,3.531310407
163,LTREB,7/21/2020,BG,4,COBBLE,28.25,,,0.315679266,0.599790604,0.702386366,0.143286819,,0.382813723,0.772516303,0.182669385,-0.104405024,0.032535063,0.883320357,,,,,,,,,,,,4.25E-07,3.52E-06,1.795892857,1.221207143,1.631578947,4.27705,2.066792869,0.566954631,0.642990179,0.086880857,3.363630643,,,,,,,,,,,,,3.16E-01,2.839309173
164,LTREB,7/21/2020,BG,5,COBBLE,38,,,17.04668034,85.42280925,32.36596373,6.574336384,1.38150289,5.790189088,35.80369673,11.95291728,3.048763738,1.737406183,52.54298565,1.215949763,6.718122443,2.365369704,1.197758286,1.540498442,1.044500847,3.08957553,0.492635055,0.275073024,0.091454274,3.948757165,5.66E-07,1.81E-07,50.73,34.4964,1.529411765,5.6202,60.507058,2.767958,6.864548,-1.365378,68.774566,77.46301503,337.0858273,274.3701422,59.01546455,1.435986159,305.2647612,136.6734506,-0.210290337,1.60963429,443.3390001,,,9.57E+01,404.6650914
165,LTREB,8/4/2020,BG,1,COBBLE,26.5,,,8.965291141,61.22961801,21.38844527,5.219667213,1.170454545,34.88992469,24.57522358,1.565710897,2.109646317,0.323761567,28.57450258,1.210103851,6.348660784,2.013507582,0.422992678,1.416666667,2.430730344,2.28075323,0.17995355,0.249763038,0.031490877,2.741975427,1.02E-07,1.41E-06,5.053928571,4.851771429,1.447368421,16.2127,7.7040005,0.596397643,0.421143679,0.043391857,8.764982893,5.247290902,48.73854023,8.860903002,1.564797764,1.596774194,9.656912045,0.735255828,0.942745992,0.01598832,11.35096362,,,1.54E+01,44.21688936
166,LTREB,8/4/2020,BG,2,COBBLE,55.75,,,16.24491346,135.0984492,23.95449679,6.732841574,1.268760908,31.28779043,27.91191014,2.35793743,2.905969385,0.514343576,33.69034127,,,,,,,,,,,,6.97E-08,7.11E-07,3.307833333,2.480875,1.333333333,17.33825,4.256236847,-0.047861375,0.166283667,-0.086177111,4.288509903,,,,,,,,,,,,,1.62E+01,32.16814699
167,LTREB,8/4/2020,BG,3,SAND,32.25,,,4.822877668,31.44516239,13.18613337,3.615885011,1.094313454,11.3974245,15.40733997,2.576027251,0.707196686,0.468663716,19.15932331,,,,,,,,,,,,6.08E-08,3.39E-07,2.969224138,1.187689655,1.416666667,9.88785,2.963892879,0.793071983,0.819505862,-0.084032379,4.492453914,,,,,,,,,,,,,4.82E+00,18.37123285
168,LTREB,8/4/2020,BG,4,COBBLE,30.75,,,19.49319465,0.581375981,23.1927978,4.675083651,1.28718704,30.77188867,26.07225146,1.149311575,2.880655743,0.38829965,30.49069113,2.911264338,28.6706924,1.423503035,0.713624548,1.595744681,3.601549665,1.816297273,0.403315477,0.112499111,0.051326151,2.383448816,1.67E-07,1.48E-06,4.105125,2.5999125,1.578947368,12.30615,5.422870125,1.565872,0.067685875,-0.1179365,6.938519688,13.91794806,318.3941072,23.49703876,6.562965999,1.530864198,26.79418645,4.910368251,1.453991175,0.40677219,33.5654789,,,3.63E+01,60.10560531
169,LTREB,8/4/2020,BG,5,COBBLE,15.25,,,12.55935804,79.52662208,41.85286225,14.59090611,1.217665615,32.93236249,50.31070498,10.28519769,2.61042374,1.880076936,65.08671062,,,,,,,,,,,,1.68E-08,2.10E-07,0.740318182,0.037015909,1.5,4.658875,0.635818943,-0.004177807,-0.029697295,-0.011499193,0.590448807,3.41050525,10.70503465,4.582764868,0.877550719,1.532258065,5.029261798,0.425670164,0.625646919,0.003731873,6.084342525,,,1.60E+01,55.97578572
