date,site,sample,average.depth,cobble,sand,gravel,pebble,epilithon_gm2,epilithon_chla_mgm2,total.algal.biomass.g.m2,filamentous_gm2,fila_macro_gm2,filamentous_chla_mgm2,doy
2020-07-21,BM,1,32.25,1,0,0,0,4.037576779,3.013975217,6.63,2.593246707,2.593246707,10.6637739,203
2020-07-21,BM,2,22.75,1,0,0,0,5.198185239,12.06990134,5.2,0,0,0,203
2020-07-21,BM,3,10,1,0,0,0,0.631358531,2.424847907,0.631,0,0,0,203
2020-07-21,BM,4,28.25,1,0,0,0,0.315679266,0.772516303,0.316,0,0,0,203
2020-07-21,BM,5,38,1,0,0,0,17.04668034,35.80369673,95.7,78.67896479299999,78.67896479299999,308.35433673,203
2020-08-04,BM,1,26.5,1,0,0,0,8.965291141,24.57522358,15.4,6.457394752999999,6.457394752999999,11.937665275,217
2020-08-04,BM,2,55.75,1,0,0,0,16.24491346,27.91191014,16.2,0,0,0,217
2020-08-04,BM,3,32.25,0,1,0,0,4.822877668,15.40733997,4.82,0,0,0,217
2020-08-04,BM,4,30.75,1,0,0,0,19.49319465,26.07225146,36.3,16.829212398,16.829212398,28.610483723,217
2020-08-04,BM,5,15.25,1,0,0,0,12.55935804,50.31070498,16,3.41050525,3.41050525,5.029261798,217
2020-08-18,BM,1,21.5,1,0,0,0,2.360287101,37.367584,2.36,0,0,0,231
2020-08-18,BM,2,28.5,1,0,0,0,25.86816204,63.07375066,25.9,0,0,0,231
2020-08-18,BM,3,28.5,1,0,0,0,33.63737951,108.5650168,33.6,0,0,0,231
2020-08-18,BM,4,32.25,1,0,0,0,26.93211808,67.27916194,26.9,0,0,0,231
2020-08-18,BM,5,27,1,0,0,0,11.79938944,53.57620026,11.8,0,0,0,231
2020-09-01,BM,1,21,1,0,0,0,16.20486896,21.00488637,16.2,0,0,0,245
2020-09-01,BM,2,33.75,1,0,0,0,26.93796399,77.23832622,26.9,0,0,0,245
2020-09-01,BM,3,28.5,1,0,0,0,20.29116168,24.41885172,20.3,0,0,0,245
2020-09-01,BM,4,34,1,0,0,0,26.54511868,21.90953072,26.5,0,0,0,245
2020-09-01,BM,5,29.75,1,0,0,0,3.682924764,12.01402566,3.68,0,0,0,245
2020-09-29,BM,1,17.5,1,0,0,0,11.26624223,69.5355318,33.5,22.22740208,22.22740208,50.04997666,273
2020-09-29,BM,3,31.5,1,0,0,0,25.00179783,100.0845664,25,0,0,0,273
2020-09-29,BM,2,24.75,1,0,0,0,17.67102377,35.55054479,17.7,0,0,0,273
2020-09-29,BM,4,34.75,1,0,0,0,9.130145868,52.18488684,9.13,0,0,0,273
2020-09-29,BM,5,12.25,1,0,0,0,22.72189202,41.42149283,22.7,0,0,0,273
2020-10-20,BM,3,40,1,0,0,0,4.329482667,8.959552173,4.33,0,0,0,294
2020-10-20,BM,4,20,1,0,0,0,8.347962799,36.60913691,8.35,0,0,0,294
2020-10-20,BM,5,40,1,0,0,0,8.938399944,11.20389143,21.4,12.44438941,12.44438941,14.50759187,294
2020-10-20,BM,1,30,1,0,0,0,3.369583864,32.97037238,3.37,0,0,0,294
2020-10-20,BM,2,45,1,0,0,0,6.3276155,68.09041476,6.33,0,0,0,294
2021-06-22,BM,1,14.25,1,0,0,0,4.559811613,10.51841164,8.06,3.497570371,3.497570371,6.288221347,173
2021-06-22,BM,2,11.1875,1,0,0,0,20.66530007,31.5723816,111,90.82932705,90.82932705,157.059317,173
2021-06-22,BM,3,15.25,1,0,0,0,19.17459242,24.61226926,85.2,66.06515805,66.06515805,186.0071864,173
2021-06-22,BM,4,17.0625,1,0,0,0,0.800889988,18.24704662,111,110.057853009,110.057853009,167.673692873,173
2021-06-22,BM,5,7,1,0,0,0,3.633819101,6.032628309,46.9,43.289250571,43.289250571,35.28231284,173
2021-07-07,BM,3,7,1,0,0,0,33.19542854,39.29415742,194,160.63406,160.63406,391.658928235,188
2021-07-07,BM,1,13.5,1,0,0,0,5.070159759,21.02968525,11.7,6.608219292,6.608219292,25.076350222,188
2021-07-07,BM,2,14.625,1,0,0,0,13.52510275,15.8547989,123,109.063376536,109.063376536,137.477540642,188
2021-07-07,BM,4,15.125,1,0,0,0,27.57809139,47.99527612,135,107.608235144,107.608235144,148.323958535,188
