date,site,sample,average.depth,cobble,sand,gravel,pebble,epilithon_gm2,epiphyton_gm2,filamentous_gm2,epilithon_chla_mgm2,epiphyton_chla_mgm2,filamentous_chla_mgm2,total.algal.biomass.g.m2,fila_macro_gm2,doy
2020-07-20,GR,5,33.5,1,0,0,0,26.54511868,2.825084306,165.2912591,179.0992633,0,463.890311,195,165.2912591,202
2020-07-27,GR,1,33.9725,1,0,0,0,35.97574444,2.79259594,161.5538465,51.13151861,0,343.9170055,200,161.5538465,209
2020-07-20,DL,5,25.25,0,0,0,1,14.79015818,1.68081833,59.05322794,18.90401881,0,400.2047707,75.5,59.05322794,202
2020-09-14,GR,2,20,1,0,0,0,22.32203162,2.243412165,104.7338842,50.9573671,0,293.047188,129,104.7338842,258
2020-08-17,GR,4,28.75,1,0,0,0,18.60344679,2.222153176,102.776474,42.26024757,0,304.3451999,124,102.776474,230
2020-09-21,GR,2,28.875,1,0,0,0,16.09964254,1.631072165,55.62857771,64.63238433,0,287.7352234,73.4,55.62857771,265
2020-07-20,GR,1,14.25,1,0,0,0,46.89240112,2.289630279,109.0518243,67.86353276,0,234.8172494,158,109.0518243,202
2020-07-20,DL,1,31.125,0,0,0,1,12.49563759,0.562909188,6.547556138,16.02021311,0,258.8176045,19.6,6.547556138,202
2020-08-10,GR,1,22.875,1,0,0,0,6.319431223,1.884957542,74.15495718,13.02944671,0,234.9297558,82.4,74.15495718,223
2020-08-10,GR,4,29.875,1,0,0,0,14.92812171,2.152417464,96.48272806,49.88259993,0,227.2186637,114,96.48272806,223
2020-07-27,GR,3,30.25,1,0,0,0,18.48477477,1.69565995,60.09437847,62.19633928,0,227.3375435,80.3,60.09437847,209
2020-08-03,GR,4,30.25,1,0,0,0,22.50676245,2.907049611,174.9065189,55.79048052,0,214.7439427,200,174.9065189,216
2020-08-24,GR,3,25.25,1,0,0,0,113.1113884,2.599173964,140.1709248,138.5479375,0,208.7344547,256,140.1709248,237
2020-08-24,GR,2,29.75,1,0,0,0,10.2481766,2.549109857,134.8787918,69.76801412,0,213.8442203,148,134.8787918,237
2021-06-22,BM,3,15.25,1,0,0,0,19.17459242,1.754511865,64.31064619,24.61226926,0,186.0071864,85.2,64.31064619,173
2020-09-14,GR,3,25.5,1,0,0,0,15.13857456,1.944637426,78.88765413,69.33235599,0,210.9974151,96,78.88765413,258
2020-08-03,GR,3,29.125,1,0,0,0,31.12948313,2.38322657,118.0578097,42.7477662,0,194.3783218,152,118.0578097,216
2021-08-17,GC,5,46.355,1,0,0,0,7.955117491,2.155025045,96.71455707,27.68369586,0,207.344989,107,96.71455707,229
2021-06-22,BM,2,11.1875,1,0,0,0,20.66530007,2.063790717,88.76553633,31.5723816,0,157.059317,111,88.76553633,173
2020-09-28,GR,5,30,1,0,0,0,6.297996211,1.588566551,52.7818774,19.67607723,0,157.2789546,60.7,52.7818774,272
2020-08-24,GR,4,32,1,0,0,0,10.78395446,1.963928699,80.4481605,30.86638119,0,147.7292308,93.2,80.4481605,237
2020-07-27,GR,4,30.625,1,0,0,0,11.68514361,2.351234428,114.9400809,39.98018354,0,143.7973133,129,114.9400809,209
2020-08-10,GR,5,32.5,1,0,0,0,10.95991643,1.42206648,42.33795808,30.1194712,0,142.2094297,54.7,42.33795808,223
