site,date,sample,epilitheon_gm2,epilitheon_chla.mgm2,filamentous_gm2,filamentous_chla.mgm2,phicocyanin.mg.m2,year,doy
BM,2020-07-21,1,4.037576779,3.013975217,2.593246707,10.6637739,2.046618829,2020,203
BM,2020-07-21,2,5.198185239,12.06990134,0,0,1.680746561,2020,203
BM,2020-07-21,3,0.631358531,2.424847907,0,0,0.951246853,2020,203
BM,2020-07-21,4,0.315679266,0.772516303,0,0,0.382813723,2020,203
BM,2020-07-21,5,18.262630103000003,38.893272259999996,77.46301503,305.2647612,5.790189088,2020,203
BM,2020-08-04,1,10.175394992,26.85597681,5.247290902,9.656912045,34.88992469,2020,217
BM,2020-08-04,2,16.24491346,27.91191014,0,0,31.28779043,2020,217
BM,2020-08-04,3,4.822877668,15.40733997,0,0,11.3974245,2020,217
BM,2020-08-04,4,22.404458988,27.888548733,13.91794806,26.79418645,30.77188867,2020,217
BM,2020-08-04,5,12.55935804,50.31070498,3.41050525,5.029261798,32.93236249,2020,217
BM,2020-08-18,1,2.360287101,37.367584,0,0,24.08048205,2020,231
BM,2020-08-18,2,25.86816204,63.07375066,0,0,60.62795672,2020,231
BM,2020-08-18,3,33.63737951,108.5650168,0,0,33.82152575,2020,231
BM,2020-08-18,4,26.93211808,67.27916194,0,0,23.64262321,2020,231
BM,2020-08-18,5,11.79938944,53.57620026,0,0,31.2209132,2020,231
BM,2020-09-01,1,16.20486896,21.00488637,0,0,60.41048878,2020,245
BM,2020-09-01,2,26.93796399,77.23832622,0,0,50.88282087,2020,245
BM,2020-09-01,3,20.29116168,24.41885172,0,0,54.03376761,2020,245
BM,2020-09-01,4,26.54511868,21.90953072,0,0,68.46171307,2020,245
BM,2020-09-01,5,3.682924764,12.01402566,0,0,29.08037394,2020,245
BM,2020-09-29,1,11.26624223,69.5355318,22.22740208,50.04997666,25.1252635,2020,273
BM,2020-09-29,3,25.00179783,100.0845664,0,0,18.85657479,2020,273
BM,2020-09-29,2,17.67102377,35.55054479,0,0,16.6292822,2020,273
BM,2020-09-29,4,9.130145868,52.18488684,0,0,13.7285405,2020,273
BM,2020-09-29,5,22.72189202,41.42149283,0,0,74.77903976,2020,273
BM,2020-10-20,3,4.329482667,8.959552173,0,0,11.06303832,2020,294
BM,2020-10-20,4,8.347962799,36.60913691,0,0,16.10911292,2020,294
BM,2020-10-20,5,8.938399944,11.20389143,12.44438941,14.50759187,5.975866955,2020,294
BM,2020-10-20,1,3.369583864,32.97037238,0,0,11.10162134,2020,294
BM,2020-10-20,2,6.3276155,68.09041476,0,0,19.73392932,2020,294
BM,2021-06-22,1,4.559811613,10.51841164,3.497570371,6.288221347,13.32429567,2021,173
BM,2021-06-22,2,20.66530007,31.5723816,90.82932705,157.059317,16.80641334,2021,173
BM,2021-06-22,3,19.17459242,24.61226926,66.06515805,186.0071864,28.89283707,2021,173
BM,2021-06-22,4,2.000471197,19.451946393,108.8582718,166.4687931,7.528365891,2021,173
BM,2021-06-22,5,3.923776352,6.464258019,42.99929332,34.85068313,9.821132705,2021,173
BM,2021-07-07,3,33.19542854,46.863114655,160.63406,384.089971,25.680859,2021,188
BM,2021-07-07,1,5.505095636,21.877606772,6.173283415,24.2284287,9.068997625,2021,188
BM,2021-07-07,2,20.230364186,20.429741242,102.3581151,132.9025983,15.26484626,2021,188
BM,2021-07-07,4,30.435573334,51.617170355,104.7507532,144.7020643,29.28685156,2021,188
BM,2021-07-07,5,6.629264576,17.57523616,31.4272434,52.78296481,26.38610987,2021,188
BM,2021-07-20,2,97.93539998,86.20270790000001,112.824946,189.3611942,29.71243398,2021,201
BM,2021-07-20,3,76.18159104,99.68221220999999,119.1886731,407.7087594,18.5426493,2021,201
BM,2021-07-20,4,40.42331454,86.63857078000001,95.40011032,266.7379996,13.46278533,2021,201
BM,2021-07-20,5,65.22284379999999,122.11866329,88.8752175,146.61082,11.02392917,2021,201
BM,2021-07-20,1,25.66121674,58.15868535,101.1590089,311.6586608,8.743614145,2021,201
BM,2021-08-03,3,3.642003378,13.75924569,0,0,5.152002531,2021,215
