date,doy,year,site,biomass_type,units,fit,se
2020-07-13,195,2020,BM,epil,gm2,8.759081807897726,1.9976472554481381
2020-07-13,195,2020,BM,epil,chla_mgm2,16.284861568047184,3.449040096480485
2020-07-13,195,2020,BM,fila,gm2,25.9366662854206,10.258418082081672
2020-07-13,195,2020,BM,fila,chla_mgm2,NA,NA
2020-07-14,196,2020,BM,epil,gm2,8.948888940494765,1.9995118349001602
2020-07-14,196,2020,BM,epil,chla_mgm2,16.612496018998396,3.4423436114370913
2020-07-14,196,2020,BM,fila,gm2,25.9620449185752,10.23562134752333
2020-07-14,196,2020,BM,fila,chla_mgm2,NA,NA
2020-07-15,197,2020,BM,epil,gm2,9.133744997681353,1.9995928411420045
2020-07-15,197,2020,BM,epil,chla_mgm2,16.955169534110624,3.4390134741831764
2020-07-15,197,2020,BM,fila,gm2,25.96517865889596,10.197588119534307
2020-07-15,197,2020,BM,fila,chla_mgm2,NA,NA
2020-07-16,198,2020,BM,epil,gm2,9.310554975174286,1.9975819204956233
2020-07-16,198,2020,BM,epil,chla_mgm2,17.313981051091734,3.439673422174228
2020-07-16,198,2020,BM,fila,gm2,25.946506051149733,10.14488362211575
2020-07-16,198,2020,BM,fila,chla_mgm2,NA,NA
2020-07-17,199,2020,BM,epil,gm2,9.475899397867016,1.9929089523335717
2020-07-17,199,2020,BM,epil,chla_mgm2,17.690138248720586,3.444885396528931
2020-07-17,199,2020,BM,fila,gm2,25.906574290828544,10.078095328349955
2020-07-17,199,2020,BM,fila,chla_mgm2,NA,NA
2020-07-18,200,2020,BM,epil,gm2,9.626087166570363,1.9846799035319362
2020-07-18,200,2020,BM,epil,chla_mgm2,18.084971335940203,3.455115198532318
2020-07-18,200,2020,BM,fila,gm2,25.846030556323303,9.997833606949541
2020-07-18,200,2020,BM,fila,chla_mgm2,174.2838602555366,159.1207352932868
2020-07-19,201,2020,BM,epil,gm2,9.757238232422779,1.9716721688436185
2020-07-19,201,2020,BM,epil,chla_mgm2,18.49994899450622,3.470710373666736
2020-07-19,201,2020,BM,fila,gm2,25.765612381548518,9.904742086913025
2020-07-19,201,2020,BM,fila,chla_mgm2,151.13458450987704,112.55602605961815
2020-07-20,202,2020,BM,epil,gm2,9.865737981851101,1.9525890463692104
2020-07-20,202,2020,BM,epil,chla_mgm2,18.936666309078653,3.491919652440333
2020-07-20,202,2020,BM,fila,gm2,25.666272011417547,9.799630961452122
2020-07-20,202,2020,BM,fila,chla_mgm2,132.60458498061706,82.34665202430965
2020-07-21,203,2020,BM,epil,gm2,9.94980408395097,1.9269540792918676
2020-07-21,203,2020,BM,epil,chla_mgm2,19.396724996041723,3.519026511570548
