model,smooth_par,k.,edf,k.index,p.value
epilithon AFDM,s(doy),9,4.1491944440831245,0.9253597743414913,0.0575
epilithon AFDM,"s(doy, site_year)",120,28.254734758212695,0.9253597743414913,0.0425
epiphyton AFDM,s(doy),9,1.7512251437351205,0.8980252187972899,0.03
epiphyton AFDM,"s(doy, site_year)",120,31.009630221504896,0.8980252187972899,0.025
epip + epil AFDM,s(doy),9,1.0020047461757515,0.8449210806134669,0.0075
epip + epil AFDM,"s(doy, site_year)",120,24.38811454365099,0.8449210806134669,0.005
filamentous AFDM,s(doy),9,1.0037863906131341,0.8460822221711856,0.0075
filamentous AFDM,"s(doy, site_year)",120,30.472476690758114,0.8460822221711856,0.0075
epilithon chla,s(doy),9,1.0035701196065843,0.9085579766462083,0.03
epilithon chla,"s(doy, site_year)",120,31.406725667331543,0.9085579766462083,0.025
epiphyton chla,s(doy),9,5.207447453325492,1.0396785187291429,0.785
epiphyton chla,"s(doy, site_year)",120,66.69014634461733,1.0396785187291429,0.8425
epip + epil chla,s(doy),9,7.097420104421457,0.8485261104062681,0.0025
epip + epil chla,"s(doy, site_year)",120,31.979905432835398,0.8485261104062681,0
filamentous chla,s(doy),9,4.601448843373362,0.7191145187729291,0
filamentous chla,"s(doy, site_year)",120,30.12672728997062,0.7191145187729291,0
