model,smooth_par,k.,edf,k.index,p.value
epilithon AFDM,s(doy),9,5.155314971509246,0.9464316235790903,0.3375
epilithon AFDM,"s(doy, site_year)",120,33.19171127411247,0.9464316235790903,0.2875
epiphyton AFDM,s(doy),20,11.148496217465153,0.8881135536963087,0.14
epiphyton AFDM,"s(doy, site_year)",110,32.74986106956742,0.8881135536963087,0.1425
filamentous AFDM,s(doy),20,4.881953497919517,0.7588180750228721,0
filamentous AFDM,"s(doy, site_year)",110,24.620295027039642,0.7588180750228721,0
epilithon chla,s(doy),9,2.2437613521165005,0.9777253723674303,0.5725
epilithon chla,"s(doy, site_year)",120,39.18257173400759,0.9777253723674303,0.605
epiphyton chla,s(doy),20,8.770702609123271,0.9389527577930089,0.475
epiphyton chla,"s(doy, site_year)",90,10.529227863553256,0.9389527577930089,0.43
filamentous chla,s(doy),20,7.114495288691315,0.7569312054909922,0
filamentous chla,"s(doy, site_year)",110,23.011918245064198,0.7569312054909922,0.005
