site,date,doy,year,light,NPP,NPP_chla,NPP_mod,NPP_upper,NPP_lower,epilithon_chla_per_gm,epil_chla_mgm2_fit,epil_chla_mgm2_lower,epil_chla_mgm2_upper,epil_gm2_est,epil_gm2_lower,epil_gm2_upper,epiphyton_chla_per_gm,epip_chla_mgm2_fit,epip_chla_mgm2_lower,epip_chla_mgm2_upper,epip_gm2_est,epip_gm2_lower,epip_gm2_upper,fila_chla_per_gm,fila_chla_mgm2_fit,fila_chla_mgm2_lower,fila_chla_mgm2_upper,fila_gm2_est,fila_gm2_lower,fila_gm2_upper,frac_fila,frac_fila_upper,frac_fila_lower,lscale,mu_epil_med,mu_epil_low,mu_epil_high,mu_epip_med,mu_epip_low,mu_epip_high,mu_fila_med,mu_fila_low,mu_fila_high,fila_prodgCd_med,fila_prodgCd_low,fila_prodgCd_high,epip_prodgCd_med,epip_prodgCd_low,epip_prodgCd_high,epil_prodgCd_med,epil_prodgCd_low,epil_prodgCd_high,fila_turn_med,fila_turn_high,fila_turn_low,epip_turn_med,epip_turn_high,epip_turn_low,epil_turn_med,epil_turn_high,epil_turn_low
BN,2020-07-13,195,2020,0.8797796017490743,NA,NA,0.81046334856052,4.996459327324252,-3.34030184487734,1.0255094137978242,3.6489502624,0,10.061325559888202,3.5581830973999997,0,9.811051390184272,0,0,0,0,0,NA,NA,0.17934177200775014,30.119183907399997,0,112.2552553995564,167.94293694220002,0,625.9292196282379,NA,NA,NA,0.6376232846418544,0.03910665307760993,0.03703014319496459,0.04118651763460456,0.0094887887509815,0.003537472050312586,0.01576173810826949,0.0036923055485500256,0.0028653513904925727,0.0045984226467661515,0.11120922985909167,0,0.5161971086478385,0,0,0,0.1426982320091305,0.414390962599833,0,755.0764318527929,0,Inf,NA,NA,NA,12.467509398337642,NA,11.837916696627575
GR,2020-07-13,195,2020,0.5672137107949824,NA,NA,5.691860809778423,14.216765000270996,-0.35003800001745233,2.9357917380793626,47.64868356487873,31.785109990042415,69.39470976491953,16.230266931690185,10.826759125235734,23.637477027004152,0,0,0,0.03446489885378584,0,NA,Inf,2.467027362302381,129.96452005965372,49.051446506947286,272.6500376357099,52.680615564135,19.882814133512277,110.51763827266845,0.728192876124119,0.8600401965472798,0.5001206476217934,0.5314902770246992,0.032597313144551006,0.03086644032457298,0.034330982250113606,0.007909370757563714,0.0029486564328399887,0.013138181674560854,0.003077717746711459,0.00238841090184058,0.003833010784383711,0.39999410983043365,0.11715500958824294,1.0450705346203009,0,4.528061025364026e-4,0,1.5532190590899728,2.382388549191237,0.9810932007176326,65.85173914994333,9.512666119103711,471.6726952654332,NA,NA,Inf,5.224719216747011,5.517701640025824,4.960877820502558
DL,2020-07-13,195,2020,0.7106951175427135,NA,NA,2.947680286066383,8.709146398598364,-1.9050269723405011,1.504508914326178,21.331467915505065,13.476647766655107,32.22405167367054,14.17835927217404,8.957506092737823,21.418318872575554,0,0,0,0.03473321358267468,0,NA,Inf,9.959746873582558,41.29522132174068,15.428850864346572,89.45448842858038,4.146211931477193,1.5491207819016344,8.981602601352384,0.6526242098602204,0.814914838158059,0.4087832957660073,0.5870141105261706,0.03600269583144683,0.03409100184046511,0.037917478230939786,0.008735648497775255,0.003256697268029984,0.014510703888690652,0.0033992413852802776,0.002637923893854793,0.004233438528411049,0.14037242533116942,0.040700134349781994,0.3787000778528526,0,5.040033774008404e-4,0,0.7679903510001961,1.2218547778490814,0.4594324238163393,14.768612573642464,2.045313524471415,110.3387340710399,NA,NA,Inf,9.230818625330894,9.748447898312284,8.764674518145174
BM,2020-07-13,195,2020,0.9859686316887951,NA,NA,1.7530789489771117,6.403370343502618,-2.7598599010647336,1.9862640487122438,9.866036896910922,5.903074989355522,15.395843147145545,4.967132594131871,2.9719487664203896,7.751156326434617,1.9900838250996136,0.23327356534957855,0.04335919013414238,0.7001428516451766,0.11721795956906592,0.021787619992324713,0.35181575912267465,3.9629907107557,18.439244390553377,5.931902239487798,41.89343882138253,4.652860866039529,1.4968246641074379,10.571167554766713,0.6280576726052063,0.7965590290976561,0.3777745362257143,0.6635191421021096,0.040694895443028345,0.03853405205934721,0.04285922974477959,0.009874157866075704,0.00368113975221589,0.016401871135417145,0.0038422615186157476,0.0029817221896289584,0.004785178840071658,0.07084839915417453,0.017687284534190478,0.20046759698591624,0.002303380010244066,0.01148365282906767,1.5961123842667856e-4,0.4014973399568498,0.6598539785581014,0.22746939895005613,32.836739584717726,3.7333331835483534,298.83523200896315,25.444772258105495,68.25214880571647,15.318111943969212,6.185760277596988,6.532634235941599,5.873387581425421
GC,2020-07-13,195,2020,0.28278459424949914,NA,NA,2.739257742726237,8.107021005538142,-2.0113405713536214,1.7388616173967695,38.24965981714845,24.68186653636104,56.72051436847927,21.99695446404274,14.194267266254338,32.619337732806436,1.6867023810152169,3.002548440064951,1.071402139758665,7.4634592067225,1.7801293659511725,0.6352052097737563,4.424882119529757,1.6539403682167535,108.44816037259422,40.90913710430576,231.24941867016625,65.56957098128086,24.73434828150014,139.8172649474025,0.7002698336167041,0.8453017648127266,0.46026011614711154,0.36125467507523074,0.0221564387485739,0.020979962103172066,0.023334816033148152,0.005376010223683599,0.002004205848350066,0.008930040222922587,0.0020919290015720274,0.0016234061874483938,0.002605302722044046,0.22686585185056413,0.06641214629830465,0.6024747399324873,0.01614173111089442,0.06664899091817383,0.002147310434439092,0.847476244892438,1.3235627680940003,0.5178246245684054,144.51176862102488,20.5272907244807,1052.6482935770719,55.140596560604415,147.90716786594504,33.19541720415741,12.977918022253593,13.705670407316884,12.322550361468686
PL,2020-07-13,195,2020,0.7285003565708142,NA,NA,1.8740948455341495,6.742782803669685,-2.552196309722188,2.2105375365386206,15.05448422630874,9.378128779156588,22.614698071034702,6.810327342317772,4.242465293686608,10.23040672109374,5.565768274289195,0,0,5.614743404197542e-5,0,0,1.0087993476362617e-5,1.1870168744408927,3.35837044519154,0,11.413822686792264,2.8292524879003054,0,9.615552173315471,0.24305987542421403,0.4725683273028623,0.08843107120498837,0.5929997111309927,0.036369804141246694,0.034438617200260084,0.03830411098228712,0.008824723192904694,0.003289904798799167,0.014658665030365234,0.0034339023941501196,0.002664821984669644,0.004276605586513658,0.01153231631218623,0,0.04881241786581213,0,8.230464279358436e-7,0,0.5475286427583366,0.8662359047438278,0.32296978708011614,122.66627151523005,0,Inf,NA,NA,6.128447396134605,6.219151666667835,6.567898087374684,5.905092749601034
GR,2020-07-14,196,2020,0.5929283624543071,5.746111115532759,5.746111115532759,5.737776324474046,6.680408230700947,4.797668296384489,2.9357917380793626,47.436318200203736,34.37083826550835,62.12556991744253,16.15793027309126,11.707519242490356,21.161436321122007,0,0,0,0.03266578734930454,0,NA,Inf,2.467027362302381,131.50551004430372,53.15767419699775,254.40142120614124,53.30524989458355,21.547257646703912,103.1206321800656,0.7275971941511163,0.8595425705155925,0.4974078118418126,0.54251347373108,0.03327338683851094,0.03150661542848692,0.03504301252954746,0.00807341242201785,0.0030098120574747174,0.013410669746729524,0.003141550124452478,0.002437946941020898,0.003912508065294416,0.413131151445869,0.12959558920035616,0.9953476122913895,0,4.380700861584184e-4,0,1.5783669656700763,2.1770671250222153,1.0829087831860937,64.51371399618111,10.823986203724333,397.8554857320028,NA,NA,Inf,5.118559442933985,5.405588829026269,4.860078974575961
DL,2020-07-14,196,2020,0.7423661776003099,NA,NA,2.968864900945072,8.448983891651118,-1.916400453819249,1.504508914326178,20.835995064959047,13.370283187737224,31.186298574885388,13.849033971520754,8.886808885227078,20.728556858603092,0,0,0,0.03458704446608399,0,NA,Inf,9.959746873582558,40.585203103469176,14.562070260381171,87.04334657808009,4.074923150016816,1.4620924050796824,8.739513933728144,0.6529146592837671,0.815067004299747,0.40782387145092613,0.59754216670179,0.03664840161158124,0.03470242152531366,0.03859752549674629,0.008892321730097739,0.0033151059010934594,0.014770952327269033,0.003460206536912907,0.0026852348706158428,0.00430936494626699,0.14043318508056205,0.03910257885153344,0.375101546549347,0,5.108835849496608e-4,0,0.7636059151175439,1.2037139543932813,0.4639812030936715,14.5084053590295,1.9489287881239576,111.75111962449782,NA,NA,Inf,9.068181438451099,9.57669063528092,8.610250293663452
BM,2020-07-14,196,2020,1,NA,NA,1.7436707716064572,6.435420090361866,-2.7056397220668593,1.9862640487122438,10.293949871120413,6.267618217202612,15.844051972161518,5.182568691103429,3.155480874391349,7.97681052649254,1.9900838250996136,0.2720085840506751,0.06058120565737671,0.7365466700677684,0.1366819732013347,0.030441534619449668,0.3701083646719759,3.9629907107557,17.98652353981338,5.632722260692805,40.27076689330707,4.538623694220959,1.4213311793553776,10.16171115011972,0.6108022664417561,0.7885167564069928,0.36176915913191304,0.6666666666666666,0.04088793913224764,0.038716845392248594,0.043062540350125966,0.009920997742223549,0.0036986019127783717,0.01647967641491499,0.0038604879897842824,0.002995866534895033,0.004807878212236276,0.06943675810342183,0.01687488412116787,0.193616942736377,0.0026985965482321716,0.012138050787199976,2.2406576312279338e-4,0.4208983957607799,0.6822851273606982,0.2426624054930743,32.68170791802344,3.670472116922689,301.08980533302923,25.324640189522576,67.92991083329179,15.245790743529795,6.156555528960691,6.501791795848261,5.84565763389087
GC,2020-07-14,196,2020,0.29575004575792496,NA,NA,2.7951158842704693,8.251250327331714,-1.9413538915986452,1.7388616173967695,37.8571765297845,24.72453758208352,56.12447159678869,21.771241685384986,14.21880691063752,32.27656015595537,1.6867023810152169,3.112892930230768,1.1958066393020927,7.4904314145907565,1.845549615194789,0.7089612564502004,4.440873208516079,1.6539403682167535,110.70264795873392,41.67287943608271,231.0304888272525,66.93267187020254,25.19611966483024,139.68489630393694,0.712232793336788,0.845058849751184,0.4712948483783309,0.3716619902625743,0.02279473925343923,0.02158436972275724,0.024007064178435344,0.005530886649397966,0.0020619446221382606,0.009187304002875766,0.0021521949745019866,0.001670174578380195,0.002680358377949703,0.23825368260084975,0.06960098384204814,0.6192445062899415,0.017217057948818667,0.06881687051853604,0.002465687069026177,0.8629444678678572,1.3473837916048776,0.533663560395897,140.46513602548575,20.344241578974103,1003.469265757339,53.59654421449571,143.7654569706213,32.2658759040773,12.614509099975376,13.321882891994099,11.977493108147957
