site,bad_days
BN,2020-08-24
BN,2020-08-25
BN,2021-08-01
BN,2021-08-02
BN,2021-08-08
BM,2020-08-24
BM,2020-08-25
BM,2021-07-19
BM,2021-07-20
BM,2021-07-21
BM,2021-08-08
GC,2020-08-24
GC,2020-08-25
GC,2020-09-24
GC,2021-07-12
GC,2021-07-13
GC,2021-07-14
GC,2021-07-15
GC,2021-07-20
GC,2021-08-05
GC,2021-08-08
GC,2021-08-10
GR,2020-08-24
GR,2020-08-25
GR,2021-07-01
GR,2021-07-19
GR,2021-07-20
GR,2021-07-27
GR,2021-08-04
GR,2021-08-05
GR,2021-08-08
DL,2021-06-26
DL,2021-08-05
DL,2021-08-08
PL,2020-08-24
PL,2020-08-25
PL,2021-07-01
PL,2021-07-07
PL,2021-07-20
PL,2021-08-05
PL,2021-08-08
