model,covariates,waic,waic_se,loo,loo_se,r2adj,rmse
ar1_lmod,light,-4880.065567221061,43.07715294220953,-4220.633543187997,51.058323057901134,0.8191924776354105,1.4098763506233347
ar1_lmod,light + epil_afdm,-4883.593569551852,43.018245653814866,-4235.862947071301,49.94502875665653,0.8205103127808353,1.40404084939681
ar1_lmod,light + fila_afdm,-4885.313262049706,42.940710842893154,-4244.974308422322,49.2181639226275,0.8230239013144296,1.3941750346783155
ar1_lmod,light + epil_afdm + fila_afdm,-4883.8010719837885,42.38075622003243,-4223.0794168298835,49.97283447278424,0.821473818766594,1.3995807380585712
ar1_lmod,light + epil_chla,-4880.394919441215,43.31471794972004,-4218.6057910514455,52.06635831496921,0.8222410151944264,1.397255325925278
ar1_lmod,light + fila_chla,-4889.331021239289,42.4302881559159,-4253.0828415519045,49.14526194694728,0.8200281886956287,1.405925269507695
ar1_lmod,light + epil_chla + fila_chla,-4887.961827139833,42.29095829118201,-4248.259885315617,47.73874966582996,0.8238607369541568,1.390192965576536
ar1_lmod,light + epil_afdm + light_epil_afdm,-4889.900945348259,42.52876788596515,-4253.197361781539,49.675114664942235,0.8201264045218312,1.4048524301705605
ar1_lmod,light + fila_afdm + light_fila_afdm,-4880.997562749455,43.38937911124163,-4229.913620544656,51.009006918111076,0.8244122036890997,1.388015012269638
ar1_lmod,light + epil_afdm + fila_afdm + light_epil_afdm + light_fila_afdm,-4883.303317086584,43.06832718865086,-4235.956747654742,49.101633049202114,0.8242965004186872,1.3871089995695927
ar1_lmod,light + epil_chla + light_epil_chla,-4887.41522338509,42.71185587852178,-4246.540730314939,49.615005107198115,0.8215637812476566,1.399228056953744
ar1_lmod,light + fila_chla + light_fila_chla,-4888.263553149781,42.30352105964238,-4242.2835270851865,48.722946556894136,0.8205168819402632,1.4033267443590467
ar1_lmod,light + epil_chla + fila_chla + light_epil_chla + light_fila_chla,-4884.427723901812,42.491750616724396,-4219.455036690603,49.27295617579378,0.8247795138682195,1.3852010882448962
