parameter,chains,biomass_vars,units
phi,0.5119757456752349,fila,chla_mgm2
gamma_light,2.3627920650203533,fila,chla_mgm2
gamma_fila,1.1417670317246518,fila,chla_mgm2
phi,0.4983945809276922,fila,chla_mgm2
gamma_light,2.290784110640648,fila,chla_mgm2
gamma_fila,1.1498886593364295,fila,chla_mgm2
phi,0.5201620389844908,fila,chla_mgm2
gamma_light,2.170660847286718,fila,chla_mgm2
gamma_fila,1.3849300763887062,fila,chla_mgm2
phi,0.4933217850847127,fila,chla_mgm2
gamma_light,2.1220313352917786,fila,chla_mgm2
gamma_fila,1.255104347841332,fila,chla_mgm2
phi,0.5234260774002713,fila,chla_mgm2
gamma_light,2.3074374086252405,fila,chla_mgm2
gamma_fila,1.1727903319890032,fila,chla_mgm2
phi,0.5197247823501759,fila,chla_mgm2
gamma_light,2.2499980159308226,fila,chla_mgm2
gamma_fila,1.274889272950405,fila,chla_mgm2
phi,0.5093806651498474,fila,chla_mgm2
gamma_light,2.0709746274220686,fila,chla_mgm2
gamma_fila,1.13673065999981,fila,chla_mgm2
phi,0.5228638495003214,fila,chla_mgm2
gamma_light,2.253017523269758,fila,chla_mgm2
gamma_fila,1.3286588734493758,fila,chla_mgm2
phi,0.5227590678608901,fila,chla_mgm2
gamma_light,2.098663503942294,fila,chla_mgm2
gamma_fila,1.5136078903805816,fila,chla_mgm2
phi,0.5378594544957127,fila,chla_mgm2
gamma_light,2.3656425896440236,fila,chla_mgm2
gamma_fila,1.3226466473089324,fila,chla_mgm2
phi,0.5214593437963692,fila,chla_mgm2
gamma_light,2.2115752096194905,fila,chla_mgm2
gamma_fila,1.476577044807574,fila,chla_mgm2
phi,0.49794380715483283,fila,chla_mgm2
gamma_light,2.2218288154882546,fila,chla_mgm2
gamma_fila,1.4504505853848428,fila,chla_mgm2
phi,0.5117219692347155,fila,chla_mgm2
gamma_light,2.4491434147898845,fila,chla_mgm2
gamma_fila,1.4138918633034587,fila,chla_mgm2
phi,0.5010973342506314,fila,chla_mgm2
gamma_light,2.1906744033811534,fila,chla_mgm2
gamma_fila,1.4500458397300957,fila,chla_mgm2
phi,0.5331619023273556,fila,chla_mgm2
gamma_light,2.3093524557475242,fila,chla_mgm2
gamma_fila,1.3571987573092137,fila,chla_mgm2
phi,0.5119391745325041,fila,chla_mgm2
gamma_light,2.348141386797101,fila,chla_mgm2
gamma_fila,1.2970569430860224,fila,chla_mgm2
phi,0.5451175068929807,fila,chla_mgm2
gamma_light,2.3248288959243233,fila,chla_mgm2
gamma_fila,1.3569251313466797,fila,chla_mgm2
