parameter,chains,biomass_vars,units
phi,0.7344696417218717,fila,chla_mgm2
gamma_light,3.0068743407400866,fila,chla_mgm2
gamma_fila,0.32266277899115187,fila,chla_mgm2
phi,0.7097793558093141,fila,chla_mgm2
gamma_light,2.7787587484189276,fila,chla_mgm2
gamma_fila,0.42959372003378365,fila,chla_mgm2
phi,0.7168076809362052,fila,chla_mgm2
gamma_light,3.288483799582592,fila,chla_mgm2
gamma_fila,-0.16015471037890097,fila,chla_mgm2
phi,0.6951485987720678,fila,chla_mgm2
gamma_light,2.864325063126443,fila,chla_mgm2
gamma_fila,0.23660837054331557,fila,chla_mgm2
phi,0.6811898731904369,fila,chla_mgm2
gamma_light,2.6583769682697493,fila,chla_mgm2
gamma_fila,0.1895569951635663,fila,chla_mgm2
phi,0.7424645920153685,fila,chla_mgm2
gamma_light,3.240307562232585,fila,chla_mgm2
gamma_fila,0.06981168310707905,fila,chla_mgm2
phi,0.6911667159879887,fila,chla_mgm2
gamma_light,2.7111667183853063,fila,chla_mgm2
gamma_fila,0.40155179917346745,fila,chla_mgm2
phi,0.6701836991130692,fila,chla_mgm2
gamma_light,2.650211803211186,fila,chla_mgm2
gamma_fila,0.7752656416569068,fila,chla_mgm2
phi,0.7062743485758527,fila,chla_mgm2
gamma_light,2.645437360286042,fila,chla_mgm2
gamma_fila,0.4286981930405144,fila,chla_mgm2
phi,0.6923640161172864,fila,chla_mgm2
gamma_light,2.8385747644636985,fila,chla_mgm2
gamma_fila,0.4207255276884687,fila,chla_mgm2
phi,0.6961346344707624,fila,chla_mgm2
gamma_light,2.6744240144445923,fila,chla_mgm2
gamma_fila,0.3959619301233053,fila,chla_mgm2
phi,0.7311851615997113,fila,chla_mgm2
gamma_light,3.1857834327460153,fila,chla_mgm2
gamma_fila,0.31300824383332093,fila,chla_mgm2
phi,0.7399896130956541,fila,chla_mgm2
gamma_light,2.6087842729966066,fila,chla_mgm2
gamma_fila,0.7314672968954032,fila,chla_mgm2
phi,0.7090979413240113,fila,chla_mgm2
gamma_light,3.0156021305236664,fila,chla_mgm2
gamma_fila,0.1308219654630909,fila,chla_mgm2
phi,0.7337411576949927,fila,chla_mgm2
gamma_light,3.0198258814686953,fila,chla_mgm2
gamma_fila,0.06723146874245076,fila,chla_mgm2
phi,0.7274948606167252,fila,chla_mgm2
gamma_light,3.024349391922968,fila,chla_mgm2
gamma_fila,0.37567360515467824,fila,chla_mgm2
phi,0.7063390460306995,fila,chla_mgm2
gamma_light,2.652399846523335,fila,chla_mgm2
gamma_fila,0.6817985332864752,fila,chla_mgm2
phi,0.7159980640880785,fila,chla_mgm2
gamma_light,2.887829538036693,fila,chla_mgm2
gamma_fila,0.38108379483279164,fila,chla_mgm2
phi,0.7267252910906852,fila,chla_mgm2
gamma_light,3.089615503763555,fila,chla_mgm2
gamma_fila,0.4021138878787539,fila,chla_mgm2
phi,0.7156087355175801,fila,chla_mgm2
gamma_light,2.896541759400924,fila,chla_mgm2
gamma_fila,0.3145249456836928,fila,chla_mgm2
phi,0.7085257312192912,fila,chla_mgm2
gamma_light,2.8447029875924077,fila,chla_mgm2
gamma_fila,0.2986295304818663,fila,chla_mgm2
phi,0.7340671590043664,fila,chla_mgm2
gamma_light,2.8868505908069375,fila,chla_mgm2
gamma_fila,0.651739433502326,fila,chla_mgm2
