parameter,chains,biomass_vars,units
phi,0.6551200829283642,fila,chla_mgm2
gamma_light,0.3376955004612508,fila,chla_mgm2
gamma_fila,0.08188448479689699,fila,chla_mgm2
phi,0.7097888309112512,fila,chla_mgm2
gamma_light,0.36220711417901774,fila,chla_mgm2
gamma_fila,0.043075483770502625,fila,chla_mgm2
phi,0.6821292355032835,fila,chla_mgm2
gamma_light,0.3640855419005204,fila,chla_mgm2
gamma_fila,0.05861618018152956,fila,chla_mgm2
phi,0.6703687170583953,fila,chla_mgm2
gamma_light,0.35295388693085583,fila,chla_mgm2
gamma_fila,0.04359283670742885,fila,chla_mgm2
phi,0.7089481503930319,fila,chla_mgm2
gamma_light,0.3846897562659785,fila,chla_mgm2
gamma_fila,0.05995590848415301,fila,chla_mgm2
phi,0.6873633026967912,fila,chla_mgm2
gamma_light,0.3806109339252768,fila,chla_mgm2
gamma_fila,0.030464446927503535,fila,chla_mgm2
phi,0.6790564598393142,fila,chla_mgm2
gamma_light,0.3498220095930762,fila,chla_mgm2
gamma_fila,0.062108466891375315,fila,chla_mgm2
phi,0.6963327877480464,fila,chla_mgm2
gamma_light,0.3825067457776108,fila,chla_mgm2
gamma_fila,0.05951510296552258,fila,chla_mgm2
phi,0.6890685200960237,fila,chla_mgm2
gamma_light,0.36810877837769834,fila,chla_mgm2
gamma_fila,0.031344603164245116,fila,chla_mgm2
phi,0.6645195321234096,fila,chla_mgm2
gamma_light,0.3325635819071291,fila,chla_mgm2
gamma_fila,0.055157924426939134,fila,chla_mgm2
phi,0.6703284681501173,fila,chla_mgm2
gamma_light,0.35683882882741175,fila,chla_mgm2
gamma_fila,0.04127684222467592,fila,chla_mgm2
phi,0.7077722761842312,fila,chla_mgm2
gamma_light,0.37287593777147493,fila,chla_mgm2
gamma_fila,0.024423287582043415,fila,chla_mgm2
phi,0.6866602154540312,fila,chla_mgm2
gamma_light,0.37498505982275754,fila,chla_mgm2
gamma_fila,0.0663653203803314,fila,chla_mgm2
phi,0.6661364174256081,fila,chla_mgm2
gamma_light,0.3432420644801035,fila,chla_mgm2
gamma_fila,0.020003506553226684,fila,chla_mgm2
phi,0.6839391022989166,fila,chla_mgm2
gamma_light,0.37883974409574717,fila,chla_mgm2
gamma_fila,0.046639867290317154,fila,chla_mgm2
phi,0.7075523697593044,fila,chla_mgm2
gamma_light,0.3480832770541872,fila,chla_mgm2
gamma_fila,0.053034045954636844,fila,chla_mgm2
phi,0.6956168478896221,fila,chla_mgm2
gamma_light,0.3816074869530771,fila,chla_mgm2
gamma_fila,0.01354846321680632,fila,chla_mgm2
phi,0.6927761693527186,fila,chla_mgm2
gamma_light,0.359225083475143,fila,chla_mgm2
gamma_fila,0.029177806604569548,fila,chla_mgm2
phi,0.660981119920724,fila,chla_mgm2
gamma_light,0.3526061194141908,fila,chla_mgm2
gamma_fila,0.06391724695707532,fila,chla_mgm2
phi,0.6893211893039308,fila,chla_mgm2
gamma_light,0.3567021217294283,fila,chla_mgm2
gamma_fila,0.04242897339675294,fila,chla_mgm2
phi,0.6756719356035952,fila,chla_mgm2
gamma_light,0.3587618634387261,fila,chla_mgm2
gamma_fila,0.05199346300710368,fila,chla_mgm2
phi,0.6752337035890406,fila,chla_mgm2
gamma_light,0.33396651983460895,fila,chla_mgm2
