parameter,chains,biomass_vars,units
phi,0.7223613208908625,fila,chla_mgm2
gamma_light,0.4147854632749173,fila,chla_mgm2
gamma_fila,0.03217853817239516,fila,chla_mgm2
phi,0.708011777470343,fila,chla_mgm2
gamma_light,0.40408664845846465,fila,chla_mgm2
gamma_fila,0.02966930068159976,fila,chla_mgm2
phi,0.6968895076955652,fila,chla_mgm2
gamma_light,0.3507523102254179,fila,chla_mgm2
gamma_fila,0.044514146021065,fila,chla_mgm2
phi,0.6975010233200868,fila,chla_mgm2
gamma_light,0.37997554022360613,fila,chla_mgm2
gamma_fila,0.02561246718599589,fila,chla_mgm2
phi,0.6976549511967205,fila,chla_mgm2
gamma_light,0.4167317297377388,fila,chla_mgm2
gamma_fila,0.03312061206698998,fila,chla_mgm2
phi,0.6811519126239204,fila,chla_mgm2
gamma_light,0.3595649356399417,fila,chla_mgm2
gamma_fila,0.04517128163435342,fila,chla_mgm2
phi,0.6765709205575685,fila,chla_mgm2
gamma_light,0.3548902078664454,fila,chla_mgm2
gamma_fila,0.05471441173938849,fila,chla_mgm2
phi,0.6668219757622704,fila,chla_mgm2
gamma_light,0.3677151022107717,fila,chla_mgm2
gamma_fila,0.04834505268326624,fila,chla_mgm2
phi,0.6875164843521362,fila,chla_mgm2
gamma_light,0.39837227814254533,fila,chla_mgm2
gamma_fila,0.021746885141272453,fila,chla_mgm2
phi,0.6633573925252585,fila,chla_mgm2
gamma_light,0.342986256127261,fila,chla_mgm2
gamma_fila,0.02381617941820287,fila,chla_mgm2
phi,0.6794527645818028,fila,chla_mgm2
gamma_light,0.37276654288489497,fila,chla_mgm2
gamma_fila,0.045434033662579545,fila,chla_mgm2
phi,0.6695110648658565,fila,chla_mgm2
gamma_light,0.39143975962825395,fila,chla_mgm2
gamma_fila,0.01122914190558898,fila,chla_mgm2
phi,0.6926915476593724,fila,chla_mgm2
gamma_light,0.36763557221111826,fila,chla_mgm2
gamma_fila,0.021291294795606916,fila,chla_mgm2
phi,0.6794386413878848,fila,chla_mgm2
gamma_light,0.3881598230250243,fila,chla_mgm2
gamma_fila,0.004502647330149339,fila,chla_mgm2
phi,0.6808025420896571,fila,chla_mgm2
gamma_light,0.3715132993207387,fila,chla_mgm2
gamma_fila,0.0473834549372896,fila,chla_mgm2
phi,0.6828635645245157,fila,chla_mgm2
gamma_light,0.37538466585299746,fila,chla_mgm2
gamma_fila,0.04763007544436204,fila,chla_mgm2
phi,0.6712526032711061,fila,chla_mgm2
gamma_light,0.34374131192264384,fila,chla_mgm2
gamma_fila,0.057959301513428416,fila,chla_mgm2
phi,0.7160980167308567,fila,chla_mgm2
gamma_light,0.43151958046541605,fila,chla_mgm2
gamma_fila,0.04057161932019055,fila,chla_mgm2
phi,0.6778177270062246,fila,chla_mgm2
gamma_light,0.3876478295658022,fila,chla_mgm2
gamma_fila,0.02856402499246142,fila,chla_mgm2
phi,0.6995123765266246,fila,chla_mgm2
gamma_light,0.3685847334025456,fila,chla_mgm2
gamma_fila,0.040116671693784564,fila,chla_mgm2
phi,0.7230956813946434,fila,chla_mgm2
gamma_light,0.3894201280819292,fila,chla_mgm2
gamma_fila,0.008468300694593684,fila,chla_mgm2
phi,0.6934558078352445,fila,chla_mgm2
gamma_light,0.3592982545490395,fila,chla_mgm2
gamma_fila,0.01607585433659942,fila,chla_mgm2
