parameter,chains,biomass_vars,units
phi,0.694187811513899,fila,chla_mgm2
gamma_light,2.6257416006287198,fila,chla_mgm2
gamma_fila,0.6746994341820544,fila,chla_mgm2
phi,0.6864061832405933,fila,chla_mgm2
gamma_light,2.372268260161762,fila,chla_mgm2
gamma_fila,0.8772148437197276,fila,chla_mgm2
phi,0.6880200109293206,fila,chla_mgm2
gamma_light,2.510153497566497,fila,chla_mgm2
gamma_fila,0.9310707087706984,fila,chla_mgm2
phi,0.6889168642828931,fila,chla_mgm2
gamma_light,2.4696405313438383,fila,chla_mgm2
gamma_fila,0.84084143597809,fila,chla_mgm2
phi,0.6988856740777922,fila,chla_mgm2
gamma_light,2.6516699328605458,fila,chla_mgm2
gamma_fila,0.840584812729411,fila,chla_mgm2
phi,0.6938067171913169,fila,chla_mgm2
gamma_light,2.6769937859972104,fila,chla_mgm2
gamma_fila,1.1058443066411996,fila,chla_mgm2
phi,0.686427301885931,fila,chla_mgm2
gamma_light,2.649165834307136,fila,chla_mgm2
gamma_fila,0.9440293705764046,fila,chla_mgm2
phi,0.6851448819035418,fila,chla_mgm2
gamma_light,2.892073893670441,fila,chla_mgm2
gamma_fila,0.8149255758167052,fila,chla_mgm2
phi,0.6750939940730729,fila,chla_mgm2
gamma_light,2.5287203855222824,fila,chla_mgm2
gamma_fila,0.718960499783737,fila,chla_mgm2
phi,0.6739513135756602,fila,chla_mgm2
gamma_light,2.5139580448469014,fila,chla_mgm2
gamma_fila,0.7333262703491092,fila,chla_mgm2
phi,0.6927966472281283,fila,chla_mgm2
gamma_light,2.7362334078520933,fila,chla_mgm2
gamma_fila,0.7233752826437759,fila,chla_mgm2
phi,0.701051778896535,fila,chla_mgm2
gamma_light,2.9802469563127802,fila,chla_mgm2
gamma_fila,0.5861474160156446,fila,chla_mgm2
phi,0.6941701799422259,fila,chla_mgm2
gamma_light,2.701381297591144,fila,chla_mgm2
gamma_fila,0.36543885608596693,fila,chla_mgm2
phi,0.7028266731126331,fila,chla_mgm2
gamma_light,2.739026671905176,fila,chla_mgm2
gamma_fila,0.946078899004506,fila,chla_mgm2
phi,0.6863793420734863,fila,chla_mgm2
gamma_light,2.334559335181353,fila,chla_mgm2
gamma_fila,0.7959913029878987,fila,chla_mgm2
phi,0.7158073248547002,fila,chla_mgm2
gamma_light,2.7010627797214055,fila,chla_mgm2
gamma_fila,0.8121385093734075,fila,chla_mgm2
phi,0.6569418347116359,fila,chla_mgm2
gamma_light,2.7211450677276825,fila,chla_mgm2
gamma_fila,0.695229002923096,fila,chla_mgm2
phi,0.6858974884154974,fila,chla_mgm2
gamma_light,2.5208238504657556,fila,chla_mgm2
gamma_fila,1.0677850029316323,fila,chla_mgm2
phi,0.6836606423949403,fila,chla_mgm2
gamma_light,2.7722813274729843,fila,chla_mgm2
gamma_fila,0.5280037823771424,fila,chla_mgm2
phi,0.727400154156935,fila,chla_mgm2
