parameter,chains,biomass_vars,units
phi,0.6686337699987664,fila,chla_mgm2
gamma_light,0.3166730461144278,fila,chla_mgm2
gamma_fila,0.09434869392935134,fila,chla_mgm2
phi,0.6799161869361938,fila,chla_mgm2
gamma_light,0.35780556238716665,fila,chla_mgm2
gamma_fila,0.06425862159204218,fila,chla_mgm2
phi,0.6723483502032712,fila,chla_mgm2
gamma_light,0.3527311135374335,fila,chla_mgm2
gamma_fila,0.060795071454486795,fila,chla_mgm2
phi,0.676553569922551,fila,chla_mgm2
gamma_light,0.33231473689915847,fila,chla_mgm2
gamma_fila,0.06151861408193472,fila,chla_mgm2
phi,0.6928911194105964,fila,chla_mgm2
gamma_light,0.35306720217240656,fila,chla_mgm2
gamma_fila,0.10072186302345867,fila,chla_mgm2
phi,0.6902382025788475,fila,chla_mgm2
gamma_light,0.39497250780040516,fila,chla_mgm2
gamma_fila,0.036715523530189746,fila,chla_mgm2
phi,0.6480610019989862,fila,chla_mgm2
gamma_light,0.3223452882600141,fila,chla_mgm2
gamma_fila,0.09067376298620115,fila,chla_mgm2
phi,0.6809104151900227,fila,chla_mgm2
gamma_light,0.3776446037855066,fila,chla_mgm2
gamma_fila,0.050655292772334846,fila,chla_mgm2
phi,0.6790011862059916,fila,chla_mgm2
gamma_light,0.3403263313274485,fila,chla_mgm2
gamma_fila,0.08043170195538375,fila,chla_mgm2
phi,0.6637016834618544,fila,chla_mgm2
gamma_light,0.3362377449160496,fila,chla_mgm2
gamma_fila,0.05064927460846676,fila,chla_mgm2
phi,0.6923350011739728,fila,chla_mgm2
gamma_light,0.3649702795546586,fila,chla_mgm2
gamma_fila,0.09289122253696998,fila,chla_mgm2
phi,0.6572393727414693,fila,chla_mgm2
gamma_light,0.32916725032425675,fila,chla_mgm2
gamma_fila,0.10442670692055428,fila,chla_mgm2
phi,0.6861499557413513,fila,chla_mgm2
gamma_light,0.352287213468793,fila,chla_mgm2
gamma_fila,0.047241657119858844,fila,chla_mgm2
phi,0.6457454247533786,fila,chla_mgm2
gamma_light,0.3207633134247842,fila,chla_mgm2
gamma_fila,0.09570772607968027,fila,chla_mgm2
phi,0.6946654826035027,fila,chla_mgm2
gamma_light,0.33160015110428903,fila,chla_mgm2
gamma_fila,0.09438198824756024,fila,chla_mgm2
phi,0.6942386808960574,fila,chla_mgm2
gamma_light,0.3791054916569679,fila,chla_mgm2
gamma_fila,0.08490238072906557,fila,chla_mgm2
phi,0.6898617928009255,fila,chla_mgm2
gamma_light,0.35366428341197526,fila,chla_mgm2
gamma_fila,0.08077804778201565,fila,chla_mgm2
phi,0.6854773210715183,fila,chla_mgm2
gamma_light,0.37730525942664683,fila,chla_mgm2
gamma_fila,0.04053314455362652,fila,chla_mgm2
phi,0.673056295102062,fila,chla_mgm2
gamma_light,0.38100039093977484,fila,chla_mgm2
gamma_fila,0.05010901145766937,fila,chla_mgm2
phi,0.683502006324436,fila,chla_mgm2
gamma_light,0.35614377335620545,fila,chla_mgm2
gamma_fila,0.08588733220095762,fila,chla_mgm2
phi,0.6575259617929208,fila,chla_mgm2
gamma_light,0.3275989027513574,fila,chla_mgm2
gamma_fila,0.06500189506272251,fila,chla_mgm2
phi,0.6610099173856595,fila,chla_mgm2
gamma_light,0.36851166644849376,fila,chla_mgm2
gamma_fila,0.03720851782076721,fila,chla_mgm2
phi,0.6647168477857511,fila,chla_mgm2
gamma_light,0.31505014185554336,fila,chla_mgm2
gamma_fila,0.10591099157897169,fila,chla_mgm2
phi,0.6755463997877539,fila,chla_mgm2
gamma_light,0.34542957752818887,fila,chla_mgm2
gamma_fila,0.0584526781012096,fila,chla_mgm2
phi,0.6428188480167699,fila,chla_mgm2
gamma_light,0.3280882526092214,fila,chla_mgm2
gamma_fila,0.07965041762910241,fila,chla_mgm2
phi,0.6878752222011504,fila,chla_mgm2
gamma_light,0.37986968943404664,fila,chla_mgm2
gamma_fila,0.06487194093768028,fila,chla_mgm2
phi,0.6828520178743801,fila,chla_mgm2
gamma_light,0.3762738825954233,fila,chla_mgm2
gamma_fila,0.05798747544155895,fila,chla_mgm2
phi,0.6711624324848846,fila,chla_mgm2
gamma_light,0.3605352215006829,fila,chla_mgm2
gamma_fila,0.06807948798326902,fila,chla_mgm2
phi,0.6555244357169744,fila,chla_mgm2
gamma_light,0.38226863286675916,fila,chla_mgm2
gamma_fila,0.05025343241033706,fila,chla_mgm2
phi,0.6536583332670177,fila,chla_mgm2
gamma_light,0.33869114786030863,fila,chla_mgm2
gamma_fila,0.10808222842022493,fila,chla_mgm2
phi,0.6999059734847917,fila,chla_mgm2
gamma_light,0.36442348849712586,fila,chla_mgm2
gamma_fila,0.06961626648888251,fila,chla_mgm2
phi,0.7009388165280009,fila,chla_mgm2
gamma_light,0.3147825393220243,fila,chla_mgm2
gamma_fila,0.06502664825324128,fila,chla_mgm2
phi,0.6857612779812723,fila,chla_mgm2
gamma_light,0.3738229044096774,fila,chla_mgm2
gamma_fila,0.09344007605714894,fila,chla_mgm2
phi,0.6545825450321963,fila,chla_mgm2
gamma_light,0.360805005274464,fila,chla_mgm2
gamma_fila,0.06327072505899863,fila,chla_mgm2
phi,0.6875039794102156,fila,chla_mgm2
gamma_light,0.3378368758692858,fila,chla_mgm2
gamma_fila,0.10066996114391744,fila,chla_mgm2
phi,0.6430327590280722,fila,chla_mgm2
gamma_light,0.32396965871641764,fila,chla_mgm2
gamma_fila,0.07336677099071015,fila,chla_mgm2
phi,0.679196671231973,fila,chla_mgm2
gamma_light,0.3450454471877082,fila,chla_mgm2
gamma_fila,0.07074866808316871,fila,chla_mgm2
phi,0.6454441877524878,fila,chla_mgm2
gamma_light,0.34314790319845,fila,chla_mgm2
gamma_fila,0.08846113890372323,fila,chla_mgm2
phi,0.6679367372381195,fila,chla_mgm2
gamma_light,0.35518394827772976,fila,chla_mgm2
gamma_fila,0.04986437359530919,fila,chla_mgm2
phi,0.702599533085733,fila,chla_mgm2
gamma_light,0.3499816973226363,fila,chla_mgm2
gamma_fila,0.08513512853772388,fila,chla_mgm2
phi,0.6848960177071476,fila,chla_mgm2
gamma_light,0.33232915764827553,fila,chla_mgm2
gamma_fila,0.1287717802960865,fila,chla_mgm2
phi,0.6670489260369031,fila,chla_mgm2
gamma_light,0.34417700945441115,fila,chla_mgm2
gamma_fila,0.07142607128709351,fila,chla_mgm2
phi,0.6455679275998368,fila,chla_mgm2
gamma_light,0.341497121534733,fila,chla_mgm2
gamma_fila,0.040229244913130346,fila,chla_mgm2
phi,0.6696537619201375,fila,chla_mgm2
gamma_light,0.3310996012560708,fila,chla_mgm2
gamma_fila,0.04875571304239314,fila,chla_mgm2
phi,0.677677880774765,fila,chla_mgm2
gamma_light,0.36515799716415137,fila,chla_mgm2
gamma_fila,0.03921154042920816,fila,chla_mgm2
phi,0.6615628590280007,fila,chla_mgm2
gamma_light,0.3319094045264446,fila,chla_mgm2
gamma_fila,0.08329230117808355,fila,chla_mgm2
phi,0.7001202434343965,fila,chla_mgm2
gamma_light,0.38348706349353195,fila,chla_mgm2
gamma_fila,0.08090560303528689,fila,chla_mgm2
phi,0.6874093878899876,fila,chla_mgm2
gamma_light,0.34842046310833963,fila,chla_mgm2
gamma_fila,0.09258126428098211,fila,chla_mgm2
phi,0.6794765721293053,fila,chla_mgm2
gamma_light,0.3843450369933414,fila,chla_mgm2
gamma_fila,0.05558771987349929,fila,chla_mgm2
phi,0.679811361453553,fila,chla_mgm2
gamma_light,0.3761982294463371,fila,chla_mgm2
gamma_fila,0.09050987116028542,fila,chla_mgm2
phi,0.6838702413356635,fila,chla_mgm2
gamma_light,0.35310735803091464,fila,chla_mgm2
gamma_fila,0.059847316690247176,fila,chla_mgm2
phi,0.6675705343258681,fila,chla_mgm2
gamma_light,0.3428651157091125,fila,chla_mgm2
gamma_fila,0.06504247774012464,fila,chla_mgm2
phi,0.6868863738042515,fila,chla_mgm2
gamma_light,0.34458648690678645,fila,chla_mgm2
gamma_fila,0.08240398610017181,fila,chla_mgm2
phi,0.6402099200997224,fila,chla_mgm2
gamma_light,0.3290803682434115,fila,chla_mgm2
gamma_fila,0.11202751055289564,fila,chla_mgm2
phi,0.6894524936263018,fila,chla_mgm2
gamma_light,0.37507737447264117,fila,chla_mgm2
gamma_fila,0.07811918653228893,fila,chla_mgm2
phi,0.6800745533545149,fila,chla_mgm2
gamma_light,0.35953933971698787,fila,chla_mgm2
gamma_fila,0.05768751216561375,fila,chla_mgm2
phi,0.6788334243461244,fila,chla_mgm2
gamma_light,0.35342764624038364,fila,chla_mgm2
gamma_fila,0.07722619943912641,fila,chla_mgm2
phi,0.6796444900899696,fila,chla_mgm2
gamma_light,0.3338366042548055,fila,chla_mgm2
gamma_fila,0.10174757841806353,fila,chla_mgm2
phi,0.694304021663672,fila,chla_mgm2
gamma_light,0.3479093927446226,fila,chla_mgm2
gamma_fila,0.10615887963565401,fila,chla_mgm2
phi,0.6551393281388314,fila,chla_mgm2
gamma_light,0.31270782710441763,fila,chla_mgm2
gamma_fila,0.08021138420881228,fila,chla_mgm2
phi,0.6527255137415845,fila,chla_mgm2
gamma_light,0.3547664460527061,fila,chla_mgm2
gamma_fila,0.06310590259681494,fila,chla_mgm2
phi,0.6707702719705957,fila,chla_mgm2
gamma_light,0.37536735556185497,fila,chla_mgm2
gamma_fila,0.052751287295730934,fila,chla_mgm2
phi,0.6620125199543673,fila,chla_mgm2
gamma_light,0.35287382995002337,fila,chla_mgm2
gamma_fila,0.08554548731198947,fila,chla_mgm2
phi,0.6257851748769604,fila,chla_mgm2
gamma_light,0.33386495887548695,fila,chla_mgm2
gamma_fila,0.06818506294087867,fila,chla_mgm2
phi,0.6718552586049431,fila,chla_mgm2
gamma_light,0.3374687871376876,fila,chla_mgm2
gamma_fila,0.07322149970783264,fila,chla_mgm2
phi,0.6677677696445389,fila,chla_mgm2
gamma_light,0.3545518326082439,fila,chla_mgm2
gamma_fila,0.09435844116003161,fila,chla_mgm2
phi,0.6628589339711173,fila,chla_mgm2
gamma_light,0.35848829812520494,fila,chla_mgm2
gamma_fila,0.06364186687192223,fila,chla_mgm2
phi,0.6534995070567391,fila,chla_mgm2
gamma_light,0.3453198409336995,fila,chla_mgm2
gamma_fila,0.0803750520069806,fila,chla_mgm2
phi,0.6819026858861191,fila,chla_mgm2
gamma_light,0.3540284809982628,fila,chla_mgm2
gamma_fila,0.06262614746595879,fila,chla_mgm2
phi,0.6515916610622625,fila,chla_mgm2
gamma_light,0.33598430754247804,fila,chla_mgm2
gamma_fila,0.08663973148763966,fila,chla_mgm2
phi,0.6555654417566944,fila,chla_mgm2
gamma_light,0.3429878471400077,fila,chla_mgm2
gamma_fila,0.07749326798385922,fila,chla_mgm2
phi,0.6659063475285371,fila,chla_mgm2
gamma_light,0.3672761704533101,fila,chla_mgm2
gamma_fila,0.07736748805392527,fila,chla_mgm2
phi,0.6732834371920138,fila,chla_mgm2
gamma_light,0.35533032907018763,fila,chla_mgm2
gamma_fila,0.07833741384962203,fila,chla_mgm2
phi,0.6722789904392401,fila,chla_mgm2
gamma_light,0.33761654610329367,fila,chla_mgm2
gamma_fila,0.0595306065506301,fila,chla_mgm2
phi,0.6417859062535649,fila,chla_mgm2
gamma_light,0.31388330036842993,fila,chla_mgm2
gamma_fila,0.0849171659430939,fila,chla_mgm2
phi,0.6947860543657364,fila,chla_mgm2
gamma_light,0.3457727143389667,fila,chla_mgm2
gamma_fila,0.0649729921137136,fila,chla_mgm2
phi,0.6642109400718818,fila,chla_mgm2
gamma_light,0.3553510186180356,fila,chla_mgm2
gamma_fila,0.07867200624143751,fila,chla_mgm2
phi,0.6761178499434634,fila,chla_mgm2
gamma_light,0.37779456784808246,fila,chla_mgm2
gamma_fila,0.039247215971645655,fila,chla_mgm2
phi,0.6713088381784759,fila,chla_mgm2
gamma_light,0.35720485280546943,fila,chla_mgm2
gamma_fila,0.08058927683378296,fila,chla_mgm2
phi,0.6473408564204712,fila,chla_mgm2
gamma_light,0.33399187008810227,fila,chla_mgm2
gamma_fila,0.11624540161102548,fila,chla_mgm2
phi,0.6883056579862218,fila,chla_mgm2
gamma_light,0.34378469119206023,fila,chla_mgm2
gamma_fila,0.10228896159091518,fila,chla_mgm2
phi,0.6874639837565698,fila,chla_mgm2
gamma_light,0.34160704423603394,fila,chla_mgm2
gamma_fila,0.08306277588096002,fila,chla_mgm2
phi,0.6675061109858893,fila,chla_mgm2
gamma_light,0.3740369690033629,fila,chla_mgm2
gamma_fila,0.04169360921090131,fila,chla_mgm2
phi,0.6598568147460314,fila,chla_mgm2
gamma_light,0.34343319173240366,fila,chla_mgm2
gamma_fila,0.09484966971541091,fila,chla_mgm2
phi,0.6708312732735713,fila,chla_mgm2
gamma_light,0.33270091196484364,fila,chla_mgm2
gamma_fila,0.10841717081557585,fila,chla_mgm2
phi,0.6775962273894631,fila,chla_mgm2
gamma_light,0.33566636170418657,fila,chla_mgm2
gamma_fila,0.06855164868925899,fila,chla_mgm2
phi,0.7062886891287995,fila,chla_mgm2
gamma_light,0.37834938782551164,fila,chla_mgm2
gamma_fila,0.08769720672332444,fila,chla_mgm2
phi,0.6681360424674966,fila,chla_mgm2
gamma_light,0.34770552942965194,fila,chla_mgm2
gamma_fila,0.104606968867298,fila,chla_mgm2
phi,0.6819630814156085,fila,chla_mgm2
gamma_light,0.34804502247800834,fila,chla_mgm2
gamma_fila,0.08662016404434748,fila,chla_mgm2
phi,0.6662929191636409,fila,chla_mgm2
gamma_light,0.3385395397322942,fila,chla_mgm2
gamma_fila,0.07895773457863782,fila,chla_mgm2
phi,0.7000917122156298,fila,chla_mgm2
gamma_light,0.38447615976792876,fila,chla_mgm2
gamma_fila,0.07282930647592296,fila,chla_mgm2
phi,0.6881163514013942,fila,chla_mgm2
gamma_light,0.39538030763438664,fila,chla_mgm2
gamma_fila,0.04552436906639489,fila,chla_mgm2
phi,0.6642199251626081,fila,chla_mgm2
gamma_light,0.35566978151315687,fila,chla_mgm2
gamma_fila,0.06804932691081444,fila,chla_mgm2
phi,0.6577431296185932,fila,chla_mgm2
gamma_light,0.3497804229923621,fila,chla_mgm2
gamma_fila,0.09731491521492777,fila,chla_mgm2
phi,0.6884365308283522,fila,chla_mgm2
gamma_light,0.3191919742273327,fila,chla_mgm2
gamma_fila,0.10970594586313465,fila,chla_mgm2
phi,0.689001966324773,fila,chla_mgm2
gamma_light,0.36713162794195997,fila,chla_mgm2
gamma_fila,0.09186066779672697,fila,chla_mgm2
phi,0.695263019582067,fila,chla_mgm2
gamma_light,0.3412259136552011,fila,chla_mgm2
gamma_fila,0.06823279274932043,fila,chla_mgm2
phi,0.6873546685590441,fila,chla_mgm2
gamma_light,0.3218991399160416,fila,chla_mgm2
