parameter,chains,biomass_vars,units
phi,0.6977134142042205,fila,chla_mgm2
gamma_light,0.4049665234400219,fila,chla_mgm2
gamma_fila,-0.02588049109403682,fila,chla_mgm2
phi,0.6726471244694808,fila,chla_mgm2
gamma_light,0.37034537380368626,fila,chla_mgm2
gamma_fila,-0.026803466709349657,fila,chla_mgm2
phi,0.6921354261686034,fila,chla_mgm2
gamma_light,0.3799493719501352,fila,chla_mgm2
gamma_fila,-0.002696032655784486,fila,chla_mgm2
phi,0.6727714544693142,fila,chla_mgm2
gamma_light,0.385146429352713,fila,chla_mgm2
gamma_fila,-0.018723457750031397,fila,chla_mgm2
phi,0.7003020303135218,fila,chla_mgm2
gamma_light,0.38377210789260446,fila,chla_mgm2
gamma_fila,-0.015586597638442177,fila,chla_mgm2
phi,0.7034682752812312,fila,chla_mgm2
gamma_light,0.40173826974610993,fila,chla_mgm2
gamma_fila,-0.031490576665914816,fila,chla_mgm2
phi,0.6951142182976257,fila,chla_mgm2
gamma_light,0.3653323440144511,fila,chla_mgm2
gamma_fila,0.010728169212546067,fila,chla_mgm2
phi,0.703212170589587,fila,chla_mgm2
gamma_light,0.4091897581251944,fila,chla_mgm2
gamma_fila,-0.004338230097350155,fila,chla_mgm2
phi,0.6786413735468886,fila,chla_mgm2
gamma_light,0.34919944586438295,fila,chla_mgm2
gamma_fila,-0.007435449416149692,fila,chla_mgm2
phi,0.6786921159317029,fila,chla_mgm2
gamma_light,0.37376284240308366,fila,chla_mgm2
gamma_fila,-0.05241570577686641,fila,chla_mgm2
phi,0.6813131427890637,fila,chla_mgm2
gamma_light,0.39545371494991344,fila,chla_mgm2
gamma_fila,-0.015993452574176736,fila,chla_mgm2
phi,0.7083780064774295,fila,chla_mgm2
gamma_light,0.3922040092033363,fila,chla_mgm2
gamma_fila,-0.01901167368428903,fila,chla_mgm2
phi,0.7059399415955809,fila,chla_mgm2
gamma_light,0.38886547641907543,fila,chla_mgm2
gamma_fila,-0.0060428290412625945,fila,chla_mgm2
phi,0.7051444896348131,fila,chla_mgm2
gamma_light,0.4156526260626421,fila,chla_mgm2
gamma_fila,-0.026806792080975188,fila,chla_mgm2
phi,0.694466075298535,fila,chla_mgm2
gamma_light,0.42429820558587344,fila,chla_mgm2
gamma_fila,-0.049987069939921996,fila,chla_mgm2
phi,0.6974377655672241,fila,chla_mgm2
gamma_light,0.4147912205579679,fila,chla_mgm2
gamma_fila,-0.044010291608300854,fila,chla_mgm2
phi,0.6822953581877755,fila,chla_mgm2
gamma_light,0.4041023328688808,fila,chla_mgm2
gamma_fila,-0.03992415530064375,fila,chla_mgm2
phi,0.6960947466714141,fila,chla_mgm2
gamma_light,0.40101119982497674,fila,chla_mgm2
gamma_fila,-0.016671884012995773,fila,chla_mgm2
phi,0.690460156952635,fila,chla_mgm2
gamma_light,0.3791600260103458,fila,chla_mgm2
gamma_fila,-0.01926722899594726,fila,chla_mgm2
phi,0.6923258660855756,fila,chla_mgm2
gamma_light,0.3885578185261423,fila,chla_mgm2
gamma_fila,0.012857148517405336,fila,chla_mgm2
phi,0.6847974895287695,fila,chla_mgm2
gamma_light,0.3825226468068694,fila,chla_mgm2
gamma_fila,0.016594007910306206,fila,chla_mgm2
phi,0.712725187320522,fila,chla_mgm2
gamma_light,0.4246433966514133,fila,chla_mgm2
gamma_fila,-0.06677298662059536,fila,chla_mgm2
phi,0.6923692979743593,fila,chla_mgm2
gamma_light,0.3926055260424543,fila,chla_mgm2
gamma_fila,-0.06991764102194989,fila,chla_mgm2
phi,0.6668607243111653,fila,chla_mgm2
gamma_light,0.416291490097117,fila,chla_mgm2
gamma_fila,-0.029425180069950554,fila,chla_mgm2
phi,0.6894219083010267,fila,chla_mgm2
gamma_light,0.39849136109046507,fila,chla_mgm2
gamma_fila,-0.008435534997431628,fila,chla_mgm2
phi,0.6856566120650979,fila,chla_mgm2
gamma_light,0.40835428392238043,fila,chla_mgm2
gamma_fila,-0.021135707238992094,fila,chla_mgm2
phi,0.6800851108822972,fila,chla_mgm2
gamma_light,0.38790603102866006,fila,chla_mgm2
gamma_fila,-0.03934335641196755,fila,chla_mgm2
phi,0.7192180924235492,fila,chla_mgm2
gamma_light,0.4176174135910809,fila,chla_mgm2
gamma_fila,-0.032300656076017016,fila,chla_mgm2
phi,0.6831313146963232,fila,chla_mgm2
gamma_light,0.3912033685624923,fila,chla_mgm2
gamma_fila,0.006971197942960373,fila,chla_mgm2
phi,0.6908485055409029,fila,chla_mgm2
gamma_light,0.4229687432989962,fila,chla_mgm2
gamma_fila,-0.0198723188834411,fila,chla_mgm2
phi,0.6980135163721386,fila,chla_mgm2
gamma_light,0.3856910940247894,fila,chla_mgm2
gamma_fila,-0.02312048064475748,fila,chla_mgm2
phi,0.6998938182509478,fila,chla_mgm2
gamma_light,0.3786968762374705,fila,chla_mgm2
gamma_fila,-0.012547614610888005,fila,chla_mgm2
phi,0.6760687717513739,fila,chla_mgm2
gamma_light,0.43382136699047447,fila,chla_mgm2
gamma_fila,-0.049923779268020385,fila,chla_mgm2
phi,0.7029208224643926,fila,chla_mgm2
gamma_light,0.40047602173429414,fila,chla_mgm2
gamma_fila,-0.006564403608465137,fila,chla_mgm2
phi,0.6817438697264789,fila,chla_mgm2
gamma_light,0.3847748371528862,fila,chla_mgm2
gamma_fila,0.002716968411716622,fila,chla_mgm2
phi,0.6867579151443145,fila,chla_mgm2
gamma_light,0.39025080678109814,fila,chla_mgm2
gamma_fila,-0.022651472648676754,fila,chla_mgm2
phi,0.7232027128622953,fila,chla_mgm2
gamma_light,0.4199627005980536,fila,chla_mgm2
gamma_fila,-0.06504531373195985,fila,chla_mgm2
phi,0.7199439386371824,fila,chla_mgm2
gamma_light,0.4079461748142738,fila,chla_mgm2
gamma_fila,-0.023423492826380267,fila,chla_mgm2
phi,0.7123828328913299,fila,chla_mgm2
gamma_light,0.3973420826912321,fila,chla_mgm2
gamma_fila,0.009875857707383093,fila,chla_mgm2
phi,0.7029419497166794,fila,chla_mgm2
gamma_light,0.40652098230838934,fila,chla_mgm2
gamma_fila,-0.021925456530795587,fila,chla_mgm2
phi,0.6759622795763662,fila,chla_mgm2
gamma_light,0.40141204462133306,fila,chla_mgm2
gamma_fila,-0.030911943638833844,fila,chla_mgm2
phi,0.7174999258087255,fila,chla_mgm2
gamma_light,0.38397922347486185,fila,chla_mgm2
gamma_fila,0.0023088863520589124,fila,chla_mgm2
