parameter,chains,biomass_vars,units
phi,0.6249960181530859,fila,chla_mgm2
gamma_light,0.3106028354575045,fila,chla_mgm2
gamma_fila,0.10984603236277383,fila,chla_mgm2
phi,0.6261458244739545,fila,chla_mgm2
gamma_light,0.31137764231965515,fila,chla_mgm2
gamma_fila,0.09500105938057057,fila,chla_mgm2
phi,0.6223367772618159,fila,chla_mgm2
gamma_light,0.2939170051926894,fila,chla_mgm2
gamma_fila,0.09407738656377516,fila,chla_mgm2
phi,0.6266052938289819,fila,chla_mgm2
gamma_light,0.33568966386422083,fila,chla_mgm2
gamma_fila,0.11158662753920971,fila,chla_mgm2
phi,0.6245489772782432,fila,chla_mgm2
gamma_light,0.32496013366270954,fila,chla_mgm2
gamma_fila,0.13318609276928162,fila,chla_mgm2
phi,0.6502402011068253,fila,chla_mgm2
gamma_light,0.3061761061583471,fila,chla_mgm2
gamma_fila,0.1116924357928071,fila,chla_mgm2
phi,0.6744644672199738,fila,chla_mgm2
gamma_light,0.3310428346691268,fila,chla_mgm2
gamma_fila,0.10438083914272825,fila,chla_mgm2
phi,0.6475529214313331,fila,chla_mgm2
gamma_light,0.3360640894981698,fila,chla_mgm2
gamma_fila,0.08038451997819232,fila,chla_mgm2
phi,0.6437619294413908,fila,chla_mgm2
gamma_light,0.3387398500411155,fila,chla_mgm2
gamma_fila,0.10787855059960115,fila,chla_mgm2
phi,0.6465214628603609,fila,chla_mgm2
gamma_light,0.35517024267835273,fila,chla_mgm2
gamma_fila,0.07689166191573779,fila,chla_mgm2
phi,0.6549401671886909,fila,chla_mgm2
gamma_light,0.32432728797189303,fila,chla_mgm2
gamma_fila,0.10983846457529621,fila,chla_mgm2
phi,0.6240138647880749,fila,chla_mgm2
gamma_light,0.30974409079868287,fila,chla_mgm2
gamma_fila,0.10737107995198854,fila,chla_mgm2
phi,0.6905870000084301,fila,chla_mgm2
gamma_light,0.33189427866008386,fila,chla_mgm2
gamma_fila,0.10556114870139773,fila,chla_mgm2
phi,0.6291410738402836,fila,chla_mgm2
gamma_light,0.29779940671250227,fila,chla_mgm2
gamma_fila,0.11662965909187248,fila,chla_mgm2
phi,0.6428171111840696,fila,chla_mgm2
gamma_light,0.31141711625725177,fila,chla_mgm2
gamma_fila,0.08728740357227474,fila,chla_mgm2
phi,0.6302879514460147,fila,chla_mgm2
gamma_light,0.31911771640986464,fila,chla_mgm2
gamma_fila,0.10053176364996844,fila,chla_mgm2
phi,0.6457122035039004,fila,chla_mgm2
gamma_light,0.33508108975255035,fila,chla_mgm2
gamma_fila,0.06269447237544733,fila,chla_mgm2
phi,0.6370250963663381,fila,chla_mgm2
gamma_light,0.29977773408592767,fila,chla_mgm2
gamma_fila,0.11107306155787629,fila,chla_mgm2
phi,0.6606793561183608,fila,chla_mgm2
gamma_light,0.34564607369811406,fila,chla_mgm2
gamma_fila,0.0883971338795444,fila,chla_mgm2
phi,0.6089526628581462,fila,chla_mgm2
gamma_light,0.3154665912757957,fila,chla_mgm2
gamma_fila,0.11004427095092778,fila,chla_mgm2
phi,0.6795750808133734,fila,chla_mgm2
gamma_light,0.32663129366688803,fila,chla_mgm2
gamma_fila,0.0968295119488607,fila,chla_mgm2
phi,0.6340021952160488,fila,chla_mgm2
gamma_light,0.31477050985499627,fila,chla_mgm2
gamma_fila,0.0852843175217417,fila,chla_mgm2
phi,0.6559589620127962,fila,chla_mgm2
gamma_light,0.33538429463921454,fila,chla_mgm2
gamma_fila,0.0965824075352387,fila,chla_mgm2
phi,0.6573757195142469,fila,chla_mgm2
gamma_light,0.33051314246963526,fila,chla_mgm2
gamma_fila,0.10730629509421419,fila,chla_mgm2
phi,0.6556269789030563,fila,chla_mgm2
gamma_light,0.3623690549473453,fila,chla_mgm2
gamma_fila,0.07217375091088349,fila,chla_mgm2
phi,0.6402494199822356,fila,chla_mgm2
gamma_light,0.3352735341501874,fila,chla_mgm2
gamma_fila,0.10162056696092218,fila,chla_mgm2
phi,0.6375475339329443,fila,chla_mgm2
gamma_light,0.32533961059901895,fila,chla_mgm2
gamma_fila,0.10185715319235715,fila,chla_mgm2
phi,0.6192785616532112,fila,chla_mgm2
gamma_light,0.3169998718979126,fila,chla_mgm2
gamma_fila,0.10861241373007724,fila,chla_mgm2
phi,0.6651873494104344,fila,chla_mgm2
gamma_light,0.34568984028578675,fila,chla_mgm2
gamma_fila,0.09738499938028963,fila,chla_mgm2
phi,0.6402275108836508,fila,chla_mgm2
gamma_light,0.3107526748082187,fila,chla_mgm2
gamma_fila,0.10699290826121076,fila,chla_mgm2
phi,0.6266481068673226,fila,chla_mgm2
gamma_light,0.3224152993129484,fila,chla_mgm2
gamma_fila,0.09178210706503247,fila,chla_mgm2
phi,0.6536174704243226,fila,chla_mgm2
gamma_light,0.31044453917742143,fila,chla_mgm2
gamma_fila,0.12427258707542026,fila,chla_mgm2
phi,0.6744339737687126,fila,chla_mgm2
gamma_light,0.34416638359579554,fila,chla_mgm2
gamma_fila,0.09806957443612045,fila,chla_mgm2
phi,0.6140298573219989,fila,chla_mgm2
gamma_light,0.3307612349728011,fila,chla_mgm2
gamma_fila,0.0884824802443966,fila,chla_mgm2
phi,0.6243694022473336,fila,chla_mgm2
gamma_light,0.3299007624595963,fila,chla_mgm2
gamma_fila,0.09892652494691857,fila,chla_mgm2
phi,0.6391304047088829,fila,chla_mgm2
gamma_light,0.3334875886062614,fila,chla_mgm2
gamma_fila,0.09980114318096209,fila,chla_mgm2
phi,0.639116727283183,fila,chla_mgm2
gamma_light,0.3179645986685125,fila,chla_mgm2
gamma_fila,0.11051761159061177,fila,chla_mgm2
phi,0.6162738841215659,fila,chla_mgm2
gamma_light,0.31234492632143873,fila,chla_mgm2
