parameter,chains,biomass_vars,units
phi,0.7035682445960305,fila,chla_mgm2
gamma_light,0.37677492371974547,fila,chla_mgm2
gamma_fila,0.033549851726258705,fila,chla_mgm2
phi,0.6842892911489303,fila,chla_mgm2
gamma_light,0.3592562959631167,fila,chla_mgm2
gamma_fila,0.05719856571741516,fila,chla_mgm2
phi,0.6781178309325653,fila,chla_mgm2
gamma_light,0.38164378859621134,fila,chla_mgm2
gamma_fila,0.01932734051045533,fila,chla_mgm2
phi,0.6819134063746415,fila,chla_mgm2
gamma_light,0.3937559868534984,fila,chla_mgm2
gamma_fila,0.0457408690568489,fila,chla_mgm2
phi,0.6820339285548002,fila,chla_mgm2
gamma_light,0.3705741197351465,fila,chla_mgm2
gamma_fila,0.013399408064742368,fila,chla_mgm2
phi,0.6378300735360161,fila,chla_mgm2
gamma_light,0.32707097487196735,fila,chla_mgm2
gamma_fila,0.02163556536767516,fila,chla_mgm2
phi,0.6856133922147765,fila,chla_mgm2
gamma_light,0.3962035665352335,fila,chla_mgm2
gamma_fila,0.0398928122063826,fila,chla_mgm2
phi,0.6960607814932408,fila,chla_mgm2
gamma_light,0.38780211014433436,fila,chla_mgm2
gamma_fila,0.04537745661320085,fila,chla_mgm2
phi,0.6733233116666805,fila,chla_mgm2
gamma_light,0.39160076491411194,fila,chla_mgm2
gamma_fila,0.016130133118156198,fila,chla_mgm2
phi,0.7062979896875055,fila,chla_mgm2
gamma_light,0.3903295963875613,fila,chla_mgm2
gamma_fila,0.03656685381516769,fila,chla_mgm2
phi,0.6817565653324562,fila,chla_mgm2
gamma_light,0.35703034519616633,fila,chla_mgm2
gamma_fila,0.06276703346916346,fila,chla_mgm2
phi,0.6607624679837488,fila,chla_mgm2
gamma_light,0.35357238746275904,fila,chla_mgm2
gamma_fila,0.05843542145736592,fila,chla_mgm2
phi,0.6991313999713891,fila,chla_mgm2
gamma_light,0.4035516639484152,fila,chla_mgm2
gamma_fila,0.021345873230829704,fila,chla_mgm2
phi,0.7034492765484553,fila,chla_mgm2
gamma_light,0.3799037101587923,fila,chla_mgm2
gamma_fila,-0.008696271524288817,fila,chla_mgm2
phi,0.6753272396141901,fila,chla_mgm2
gamma_light,0.3744727790952676,fila,chla_mgm2
gamma_fila,0.0315244964197325,fila,chla_mgm2
phi,0.7015170494405705,fila,chla_mgm2
gamma_light,0.3502904501891512,fila,chla_mgm2
gamma_fila,0.029405892417459157,fila,chla_mgm2
phi,0.6836846808894337,fila,chla_mgm2
gamma_light,0.38554987910184,fila,chla_mgm2
gamma_fila,0.02825765534642298,fila,chla_mgm2
