parameter,chains,biomass_vars,units
phi,0.6666928313205213,fila,chla_mgm2
gamma_light,0.3132503822064968,fila,chla_mgm2
gamma_fila,0.08748930814057262,fila,chla_mgm2
phi,0.6608740571215463,fila,chla_mgm2
gamma_light,0.3522391041977836,fila,chla_mgm2
gamma_fila,0.05197848637058612,fila,chla_mgm2
phi,0.6286122454056075,fila,chla_mgm2
gamma_light,0.32705626780824776,fila,chla_mgm2
gamma_fila,0.10603435442830496,fila,chla_mgm2
phi,0.6978446002150731,fila,chla_mgm2
gamma_light,0.3442181567851625,fila,chla_mgm2
gamma_fila,0.11339673238853577,fila,chla_mgm2
phi,0.6707375008381694,fila,chla_mgm2
gamma_light,0.3328601055142516,fila,chla_mgm2
gamma_fila,0.10060410074439222,fila,chla_mgm2
phi,0.658025061648129,fila,chla_mgm2
gamma_light,0.35235350705024554,fila,chla_mgm2
gamma_fila,0.05953752626467112,fila,chla_mgm2
phi,0.6520246821942315,fila,chla_mgm2
gamma_light,0.33671373772491037,fila,chla_mgm2
gamma_fila,0.08761666406544671,fila,chla_mgm2
phi,0.6595273679149573,fila,chla_mgm2
gamma_light,0.3474119437701179,fila,chla_mgm2
gamma_fila,0.07270177914931332,fila,chla_mgm2
phi,0.6465750852281116,fila,chla_mgm2
gamma_light,0.34335856249075664,fila,chla_mgm2
gamma_fila,0.07538590806710004,fila,chla_mgm2
phi,0.6695267232660085,fila,chla_mgm2
gamma_light,0.3542969316823286,fila,chla_mgm2
gamma_fila,0.06646164021830231,fila,chla_mgm2
phi,0.6680464948189747,fila,chla_mgm2
gamma_light,0.36145543369158056,fila,chla_mgm2
gamma_fila,0.04618272336891281,fila,chla_mgm2
phi,0.663231044326787,fila,chla_mgm2
gamma_light,0.34167415840222454,fila,chla_mgm2
gamma_fila,0.08550825222889305,fila,chla_mgm2
phi,0.6564379218677362,fila,chla_mgm2
gamma_light,0.3748361489179226,fila,chla_mgm2
gamma_fila,0.06750638133934687,fila,chla_mgm2
phi,0.6690889575995457,fila,chla_mgm2
gamma_light,0.36092151337106876,fila,chla_mgm2
gamma_fila,0.0716438012398073,fila,chla_mgm2
phi,0.686381324189628,fila,chla_mgm2
gamma_light,0.34913179388812576,fila,chla_mgm2
gamma_fila,0.1168292725380261,fila,chla_mgm2
phi,0.6744138493655432,fila,chla_mgm2
gamma_light,0.35515051928877456,fila,chla_mgm2
gamma_fila,0.08171674281153447,fila,chla_mgm2
phi,0.6878209263122457,fila,chla_mgm2
gamma_light,0.37267414257485193,fila,chla_mgm2
gamma_fila,0.08518140039726514,fila,chla_mgm2
phi,0.6967221032752196,fila,chla_mgm2
gamma_light,0.3832930807754747,fila,chla_mgm2
gamma_fila,0.07386934022585911,fila,chla_mgm2
phi,0.6558890805898818,fila,chla_mgm2
gamma_light,0.33957720890257265,fila,chla_mgm2
gamma_fila,0.12106297306433006,fila,chla_mgm2
phi,0.6513301833914954,fila,chla_mgm2
gamma_light,0.3268797605518824,fila,chla_mgm2
gamma_fila,0.08604599342761643,fila,chla_mgm2
phi,0.6843065476187242,fila,chla_mgm2
gamma_light,0.3646383561338223,fila,chla_mgm2
gamma_fila,0.03770653262997657,fila,chla_mgm2
phi,0.6773486268611937,fila,chla_mgm2
gamma_light,0.32654322662470486,fila,chla_mgm2
gamma_fila,0.0939576552417805,fila,chla_mgm2
phi,0.6571560370927988,fila,chla_mgm2
gamma_light,0.3297858492274966,fila,chla_mgm2
gamma_fila,0.1063120273027695,fila,chla_mgm2
phi,0.6631076972665224,fila,chla_mgm2
gamma_light,0.37107000208060803,fila,chla_mgm2
gamma_fila,0.07111677342253496,fila,chla_mgm2
phi,0.6657366236249457,fila,chla_mgm2
gamma_light,0.34045668533896095,fila,chla_mgm2
gamma_fila,0.07099915979915579,fila,chla_mgm2
phi,0.6568224342809753,fila,chla_mgm2
gamma_light,0.35858128337890055,fila,chla_mgm2
gamma_fila,0.04494924465766924,fila,chla_mgm2
phi,0.6647179908323336,fila,chla_mgm2
gamma_light,0.3524566532888197,fila,chla_mgm2
gamma_fila,0.09461008028717649,fila,chla_mgm2
phi,0.6726767010840096,fila,chla_mgm2
gamma_light,0.3592672735520267,fila,chla_mgm2
gamma_fila,0.10560333523292435,fila,chla_mgm2
phi,0.6482087475294488,fila,chla_mgm2
gamma_light,0.32076340027914435,fila,chla_mgm2
gamma_fila,0.10361953133602743,fila,chla_mgm2
phi,0.662807440900041,fila,chla_mgm2
gamma_light,0.37015470097083814,fila,chla_mgm2
gamma_fila,0.09508860521362433,fila,chla_mgm2
phi,0.6519512537850682,fila,chla_mgm2
gamma_light,0.3579684370186474,fila,chla_mgm2
gamma_fila,0.0927950813169912,fila,chla_mgm2
phi,0.6677429453035189,fila,chla_mgm2
gamma_light,0.3362490037820661,fila,chla_mgm2
gamma_fila,0.082024414549153,fila,chla_mgm2
phi,0.621478387002555,fila,chla_mgm2
gamma_light,0.3090755472189666,fila,chla_mgm2
gamma_fila,0.08127427448510266,fila,chla_mgm2
phi,0.6582391493107621,fila,chla_mgm2
gamma_light,0.31279144668120024,fila,chla_mgm2
gamma_fila,0.12120622777167052,fila,chla_mgm2
phi,0.6695826135148063,fila,chla_mgm2
gamma_light,0.35148505140132613,fila,chla_mgm2
gamma_fila,0.08521038166768344,fila,chla_mgm2
phi,0.6545886629106601,fila,chla_mgm2
gamma_light,0.32737058729102025,fila,chla_mgm2
gamma_fila,0.08065340550951053,fila,chla_mgm2
phi,0.6697333281406342,fila,chla_mgm2
gamma_light,0.3703000375862023,fila,chla_mgm2
