parameter,chains,biomass_vars,units
phi,0.6820415957573184,fila,chla_mgm2
gamma_light,0.3386267030908509,fila,chla_mgm2
gamma_fila,-0.015685235400551948,fila,chla_mgm2
phi,0.6921518419527602,fila,chla_mgm2
gamma_light,0.41626317629996124,fila,chla_mgm2
gamma_fila,-0.025536684148525387,fila,chla_mgm2
phi,0.6971540980414073,fila,chla_mgm2
gamma_light,0.40053447881112453,fila,chla_mgm2
gamma_fila,-0.044415613662713606,fila,chla_mgm2
phi,0.6864983789119073,fila,chla_mgm2
gamma_light,0.38382648847652645,fila,chla_mgm2
gamma_fila,-0.027834821138968527,fila,chla_mgm2
phi,0.6929313569799636,fila,chla_mgm2
gamma_light,0.43095951329050214,fila,chla_mgm2
gamma_fila,-0.03707530570263754,fila,chla_mgm2
phi,0.6819675940375048,fila,chla_mgm2
gamma_light,0.4104089403222013,fila,chla_mgm2
gamma_fila,-0.04140643590233798,fila,chla_mgm2
phi,0.6988636463079797,fila,chla_mgm2
gamma_light,0.4170550492390184,fila,chla_mgm2
gamma_fila,-0.03164966460742502,fila,chla_mgm2
phi,0.7139050288879956,fila,chla_mgm2
gamma_light,0.3837775796480278,fila,chla_mgm2
gamma_fila,-0.02483194392780525,fila,chla_mgm2
phi,0.6869192594480606,fila,chla_mgm2
gamma_light,0.4321630418838214,fila,chla_mgm2
gamma_fila,-0.02755287643704005,fila,chla_mgm2
phi,0.6906355311509217,fila,chla_mgm2
gamma_light,0.3638642652096732,fila,chla_mgm2
gamma_fila,0.012356795427507056,fila,chla_mgm2
phi,0.7155245148730265,fila,chla_mgm2
gamma_light,0.4102690177713839,fila,chla_mgm2
gamma_fila,0.004754650224244934,fila,chla_mgm2
phi,0.678755375285221,fila,chla_mgm2
gamma_light,0.40888744664463134,fila,chla_mgm2
gamma_fila,-0.02165586477599329,fila,chla_mgm2
phi,0.6842943290358438,fila,chla_mgm2
gamma_light,0.380975678831894,fila,chla_mgm2
gamma_fila,-0.01395104690726692,fila,chla_mgm2
phi,0.6984563955071514,fila,chla_mgm2
gamma_light,0.39508536389947657,fila,chla_mgm2
gamma_fila,0.004194893044039334,fila,chla_mgm2
phi,0.6786963226364924,fila,chla_mgm2
gamma_light,0.40255147040381045,fila,chla_mgm2
gamma_fila,-0.0219673187643079,fila,chla_mgm2
phi,0.7020438729864917,fila,chla_mgm2
gamma_light,0.3749477490358425,fila,chla_mgm2
gamma_fila,-0.009769403470421347,fila,chla_mgm2
phi,0.6705519165139516,fila,chla_mgm2
gamma_light,0.3872781286414497,fila,chla_mgm2
gamma_fila,-0.011106794099850591,fila,chla_mgm2
phi,0.7032167401608087,fila,chla_mgm2
gamma_light,0.4059003454517438,fila,chla_mgm2
gamma_fila,-0.028806059938974494,fila,chla_mgm2
phi,0.6999930647799518,fila,chla_mgm2
gamma_light,0.3795869915533526,fila,chla_mgm2
gamma_fila,-0.015787146804405322,fila,chla_mgm2
phi,0.7081031552694871,fila,chla_mgm2
gamma_light,0.4051261624910834,fila,chla_mgm2
gamma_fila,-0.01609349064606333,fila,chla_mgm2
phi,0.7233967532261789,fila,chla_mgm2
gamma_light,0.3811586807759468,fila,chla_mgm2
gamma_fila,0.008827416844151824,fila,chla_mgm2
phi,0.6935409495500061,fila,chla_mgm2
gamma_light,0.40158419365803294,fila,chla_mgm2
gamma_fila,0.0030147802233379283,fila,chla_mgm2
phi,0.6941711183503532,fila,chla_mgm2
gamma_light,0.3875217154493677,fila,chla_mgm2
gamma_fila,-0.018089519925313373,fila,chla_mgm2
phi,0.675418700693851,fila,chla_mgm2
gamma_light,0.4130093225484985,fila,chla_mgm2
gamma_fila,-0.040823788713237594,fila,chla_mgm2
phi,0.697671140359126,fila,chla_mgm2
gamma_light,0.4084023364916,fila,chla_mgm2
gamma_fila,-0.02500375199896578,fila,chla_mgm2
phi,0.70691409348611145,fila,chla_mgm2
gamma_light,0.41392513609101356,fila,chla_mgm2
gamma_fila,-0.0743675214905196,fila,chla_mgm2
phi,0.6797545559745546,fila,chla_mgm2
gamma_light,0.39013643899277073,fila,chla_mgm2
gamma_fila,-0.0032912617309808034,fila,chla_mgm2
phi,0.6704657780632807,fila,chla_mgm2
gamma_light,0.37430003208917956,fila,chla_mgm2
gamma_fila,-0.023531346156904505,fila,chla_mgm2
phi,0.708834813568974,fila,chla_mgm2
gamma_light,0.4246687291537927,fila,chla_mgm2
gamma_fila,-0.060448570818373897,fila,chla_mgm2
phi,0.7135066903063867,fila,chla_mgm2
gamma_light,0.3713309272700993,fila,chla_mgm2
gamma_fila,0.028764803600798538,fila,chla_mgm2
