biomass_vars,units,parameter,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat,rmse,r2_adj
fila,chla_mgm2,phi,0.7291915490354564,2.3901536871132701e-4,0.01692044811757707,0.6971112706911787,0.7174819623874802,0.72960004704396475,0.7408558500931188,0.7617445439660813,5011.549994691129,0.9993850591581467,2.1988341851088737,0.5646321101022738
fila,chla_mgm2,intercept,0.4245127156496283,0.05180324441242955,1.6455847277008548,-2.7387634038354136,-0.46812636178056566,0.4149860744315595,1.2637279685157756,3.669117246817599,1009.0822705198835,1.001717555712984,2.1988341851088737,0.5646321101022738
fila,chla_mgm2,gamma_K600,0.6211214114916463,0.032365886726355486,0.9653982185526803,-1.4549209240784269,0.14680064280394378,0.6375334345360643,1.123794676392774,2.5655003886544274,889.6884784400119,1.0020562690197146,2.1988341851088737,0.5646321101022738
fila,chla_mgm2,gamma_light,2.7025922991717466,0.0026685121315960913,0.18670805794918022,2.343106414692855,2.5762868918376314,2.699160133094506,2.8317551328053217,3.074054961056914,4895.39522853574,0.9991250140251724,2.1988341851088737,0.5646321101022738
fila,chla_mgm2,gamma_fila,0.5011268542089254,0.002543699040702561,0.18682093801424984,0.14108114342698946,0.3761336499170771,0.4987962007537766,0.6278261728991843,0.8742986711750687,5394.108082442858,1.0005830727841554,2.1988341851088737,0.5646321101022738
fila,chla_mgm2,beta1,2.449026415371409,0.06307122756603259,1.83511873458586,-0.9952390137514938,1.4137077183025488,2.3996121314040497,3.3973532889532696,6.353585208165916,846.5756450452852,1.0021981452338609,2.1988341851088737,0.5646321101022738
fila,chla_mgm2,beta2,-0.6479821178320145,0.009794058509656221,0.5822494274018671,-1.7555705107227233,-1.0603869447413934,-0.6438491818451787,-0.2386554527996852,0.4672920125702809,3534.2132593600436,1.0004893097956384,2.1988341851088737,0.5646321101022738
fila,chla_mgm2,beta3,-0.6847335558604073,0.10468320883191684,3.041127789016235,-6.777880786943787,-2.3045550897945337,-0.7004431850700354,0.844672407121687,5.835994818678622,843.947218932071,1.0022992989577493,2.1988341851088737,0.5646321101022738
fila,chla_mgm2,beta4,-0.0051035965969854925,0.03388038017289285,1.0831837240081243,-2.0684695305838177,-0.6877912704741926,-0.021807839592684116,0.6513945525229992,2.2125080315180043,1022.1336862218744,1.002249430949147,2.1988341851088737,0.5646321101022738
fila,chla_mgm2,beta5,1.0249021858130838,0.02727536253986582,0.9045728381443902,-0.6962234647522406,0.45574746879779665,0.9941851285744963,1.6028631842715357,2.872654969968554,1099.8818161380773,1.002037113694742,2.1988341851088737,0.5646321101022738
fila,chla_mgm2,beta6,0.3799770031321312,0.03767120927548242,1.1282089525388828,-1.8031104602853092,-0.29264934348476684,0.3546772215487675,1.0422634019378432,2.6918795594715097,896.9329113568947,1.0023130483990985,2.1988341851088737,0.5646321101022738
fila,chla_mgm2,tau,2.050775594973535,0.03578213723527746,1.216781876306642,0.7911876963150773,1.2899532332256487,1.7494339085849226,2.4055242552830727,5.080194325934191,1156.359601253549,1.002411000204775,2.1988341851088737,0.5646321101022738
fila,chla_mgm2,sigma,5.058677298691826,0.001273194055476678,0.1084306736153305,4.852674844601118,4.985516501038254,5.055094526199842,5.130432735880599,5.275423605772445,7252.957073611358,0.9996960490458202,2.1988341851088737,0.5646321101022738
epil,chla_mgm2,phi,0.7404148394917314,1.9099751534217802e-4,0.01611869111182338,0.7092667400033776,0.7293096638363747,0.7402508830730504,0.7510300089943343,0.7722085508280211,7122.0351119141815,1.0000350022406201,2.253187278380089,0.5428423249095857
epil,chla_mgm2,intercept,-0.5187813857997766,0.04829923349859736,1.7327363384440067,-4.017443083167254,-1.4776578784705834,-0.4581107534824154,0.47368890178117246,2.807363836283854,1287.0176106828173,1.0043066539204708,2.253187278380089,0.5428423249095857
epil,chla_mgm2,gamma_K600,0.5345635141968818,0.02566417895856112,0.93321044885291915,-1.3066990833597882,0.04399356659051443,0.5271131668112097,0.9749225266528166,2.560453003939509,1322.222172523179,1.0022258944207012,2.253187278380089,0.5428423249095857
epil,chla_mgm2,gamma_light,3.073120710466881,0.0032029375471460766,0.20733483212768897,2.6689421828951287,2.9353474119131033,3.079865868416255,3.209626489708834,3.483267300061675,4190.323935545773,0.9994529539961045,2.253187278380089,0.5428423249095857
epil,chla_mgm2,gamma_epil,0.4559238094744871,0.003957340020517866,0.20483224187293259,0.06271053513414529,0.3178661435351129,0.4504867402546261,0.5937928873789489,0.8603388229413841,2679.1060339494065,1.0005261506530219,2.253187278380089,0.5428423249095857
epil,chla_mgm2,beta1,1.4985541132351057,0.056052876231025416,1.8829533760120922,-2.2079360246823647,0.4654458925217727,1.5365941780267653,2.589488637142652,5.092734923160954,1128.4526177334005,1.0043578122533734,2.253187278380089,0.5428423249095857
epil,chla_mgm2,beta2,-1.476867335078869,0.01714532727252009,0.8446349824579296,-3.1333217595177683,-2.0603204145499956,-1.4804808920573418,-0.8960072656805727,0.1405410035687393,2426.8703215748765,1.0002048207358347,2.253187278380089,0.5428423249095857
epil,chla_mgm2,beta3,-1.6567855902042317,0.08993670241355614,3.009370029729093,-7.782087109649435,-3.154173544931568,-1.5961177011853744,-0.001881411254953869,4.126212401110275,1119.637055321526,1.0039010670568318,2.253187278380089,0.5428423249095857
epil,chla_mgm2,beta4,-0.6118254886741592,0.034607150243209185,1.246494806153637,-3.0903343955918374,-1.3988053594126995,-0.5861398003884436,0.19826315911075734,1.693893783000702,1297.3264412695014,1.0040516840067506,2.253187278380089,0.5428423249095857
epil,chla_mgm2,beta5,-0.0045335192753345206,0.031083626485720342,1.2143819547591785,-2.379657858453536,-0.7927505271015791,0.010111499936205044,0.8207249271638168,2.391030612399764,1526.325805967713,1.0035978136808406,2.253187278380089,0.5428423249095857
epil,chla_mgm2,beta6,-0.7377473527348606,0.03638071891987877,1.3411828493734452,-3.39592592109093,-1.564501042772348,-0.7078137271006113,0.13410246145211702,1.7760051465481483,1359.0437213979392,1.0039949877702192,2.253187278380089,0.5428423249095857
epil,chla_mgm2,tau,1.994609285958799,0.035719924215091715,1.2042682012593804,0.786352165424039,1.274311224265545,1.6813440698353168,2.332006644386708,5.025654372245379,1136.646398739541,1.0036227311964545,2.253187278380089,0.5428423249095857
epil,chla_mgm2,sigma,5.282057601023936,0.001170597655061182,0.11090158001864489,5.069593196782687,5.206102569294028,5.28070210402907,5.356872314730548,5.5027020516355085,8975.531338152608,0.9994564967899178,2.253187278380089,0.5428423249095857
fila_epil,chla_mgm2,phi,0.7302561562639441,2.51361033371914e-4,0.016384554955331414,0.6986902962391849,0.7192080674917846,0.730102882706072,0.7410310887534335,0.7622407340838283,4248.869501375467,0.9998506790599108,2.2069980151264117,0.5610328414513551
fila_epil,chla_mgm2,intercept,-0.8314536955633177,0.055272423284605895,1.7289333314957318,-4.225670991666563,-1.8244669468477235,-0.8531342198273804,0.12682489232613214,2.738726051904273,978.4519043024898,1.0029486465987194,2.2069980151264117,0.5610328414513551
fila_epil,chla_mgm2,gamma_K600,0.5073405443338149,0.03196728526669492,0.93664345153339,-1.47388593147132,0.04358834953190732,0.5188002089747659,0.9862523657660767,2.4146300436108543,858.493653822028,1.0021281011212029,2.2069980151264117,0.5610328414513551
fila_epil,chla_mgm2,gamma_light,2.8726980090354615,0.003480355971356935,0.19987299032454925,2.474407250861032,2.7405933775449274,2.871754069429656,3.003239961051757,3.26987047933575,3298.0777394429956,1.0002696536202407,2.2069980151264117,0.5610328414513551
fila_epil,chla_mgm2,gamma_fila,0.46417349934756896,0.002463860695827796,0.1785614678247292,0.11722182592862235,0.3434045380305214,0.467403020305927,0.5844934840959642,0.8169493226076948,5252.223461634641,0.9998965296297639,2.2069980151264117,0.5610328414513551
fila_epil,chla_mgm2,gamma_epil,0.37321235495835586,0.004087382927513648,0.20050545531117486,-0.01448290975308929,0.2362248474146539,0.37200769571773473,0.510546672987271,0.7605649741559307,2406.366280830272,1.0000853848198392,2.2069980151264117,0.5610328414513551
