parameter,chains,biomass_vars,units
phi,0.7240741104595281,fila,chla_mgm2
gamma_light,3.0454886777995527,fila,chla_mgm2
gamma_fila,0.08463134030400772,fila,chla_mgm2
phi,0.7128764862504205,fila,chla_mgm2
gamma_light,3.063484718800881,fila,chla_mgm2
gamma_fila,-0.10898249324637044,fila,chla_mgm2
phi,0.7267295218413112,fila,chla_mgm2
gamma_light,3.217473169978732,fila,chla_mgm2
gamma_fila,-0.01894909415196918,fila,chla_mgm2
phi,0.737929532613563,fila,chla_mgm2
gamma_light,2.772532487290834,fila,chla_mgm2
gamma_fila,0.04483418870945062,fila,chla_mgm2
phi,0.7358302988534552,fila,chla_mgm2
gamma_light,3.205397197551597,fila,chla_mgm2
gamma_fila,-0.03703481766225602,fila,chla_mgm2
phi,0.7408342115585133,fila,chla_mgm2
gamma_light,3.343952119236864,fila,chla_mgm2
gamma_fila,-0.040210449169757974,fila,chla_mgm2
phi,0.7199653507575056,fila,chla_mgm2
gamma_light,3.3934182798814754,fila,chla_mgm2
gamma_fila,-0.14136683917252424,fila,chla_mgm2
phi,0.705732496574153,fila,chla_mgm2
gamma_light,2.9576052257214682,fila,chla_mgm2
gamma_fila,0.2540206030284358,fila,chla_mgm2
phi,0.7359048610541106,fila,chla_mgm2
gamma_light,3.2284554899439972,fila,chla_mgm2
gamma_fila,-0.08454327603185403,fila,chla_mgm2
phi,0.6976292424327692,fila,chla_mgm2
gamma_light,2.9252531518188856,fila,chla_mgm2
gamma_fila,0.014155901137662118,fila,chla_mgm2
phi,0.684567581504948,fila,chla_mgm2
gamma_light,2.8640750578649046,fila,chla_mgm2
gamma_fila,0.08596652773785296,fila,chla_mgm2
phi,0.7230986305823647,fila,chla_mgm2
gamma_light,3.0844766978174536,fila,chla_mgm2
gamma_fila,0.16190608055621203,fila,chla_mgm2
phi,0.7132552337303868,fila,chla_mgm2
gamma_light,2.865658662283509,fila,chla_mgm2
gamma_fila,0.10862904073476844,fila,chla_mgm2
phi,0.7326008777369486,fila,chla_mgm2
gamma_light,3.084417632464935,fila,chla_mgm2
gamma_fila,0.1859719496089299,fila,chla_mgm2
phi,0.6969492108601725,fila,chla_mgm2
gamma_light,2.887100692147161,fila,chla_mgm2
gamma_fila,0.03721275277692461,fila,chla_mgm2
phi,0.7033010457160075,fila,chla_mgm2
gamma_light,2.9708425583937297,fila,chla_mgm2
gamma_fila,0.080679906875218907,fila,chla_mgm2
phi,0.6935363145541431,fila,chla_mgm2
gamma_light,2.6992709228995713,fila,chla_mgm2
gamma_fila,0.0913797316779805,fila,chla_mgm2
phi,0.7154667303864031,fila,chla_mgm2
gamma_light,2.9722392704173197,fila,chla_mgm2
gamma_fila,0.062474397570008916,fila,chla_mgm2
phi,0.742299093980354,fila,chla_mgm2
gamma_light,2.978233066546193,fila,chla_mgm2
gamma_fila,0.16525669430867215,fila,chla_mgm2
phi,0.7222916455693184,fila,chla_mgm2
gamma_light,2.8609044902930543,fila,chla_mgm2
gamma_fila,0.028365954144044813,fila,chla_mgm2
phi,0.7081844812475716,fila,chla_mgm2
gamma_light,3.0207902837340224,fila,chla_mgm2
gamma_fila,-0.02889539450805099,fila,chla_mgm2
phi,0.7075421875848713,fila,chla_mgm2
gamma_light,2.8814475062141707,fila,chla_mgm2
gamma_fila,0.15715376101244607,fila,chla_mgm2
phi,0.728448833746103,fila,chla_mgm2
gamma_light,3.2718549275727593,fila,chla_mgm2
gamma_fila,0.015486364339451325,fila,chla_mgm2
phi,0.7335649940129962,fila,chla_mgm2
gamma_light,3.2024953623515273,fila,chla_mgm2
gamma_fila,0.047293818888376804,fila,chla_mgm2
phi,0.7212473201117298,fila,chla_mgm2
gamma_light,3.0928995966918706,fila,chla_mgm2
gamma_fila,-0.07936991093698367,fila,chla_mgm2
phi,0.73103182506902,fila,chla_mgm2
gamma_light,2.945983037690084,fila,chla_mgm2
gamma_fila,0.011177142365060818,fila,chla_mgm2
phi,0.6968022948067467,fila,chla_mgm2
gamma_light,2.746977194153852,fila,chla_mgm2
gamma_fila,0.21065245752707193,fila,chla_mgm2
phi,0.69499286787074,fila,chla_mgm2
gamma_light,2.906116599261321,fila,chla_mgm2
gamma_fila,0.11316997775230632,fila,chla_mgm2
phi,0.7335135773373763,fila,chla_mgm2
gamma_light,3.283819690143202,fila,chla_mgm2
gamma_fila,-0.11429078750046569,fila,chla_mgm2
phi,0.7242182172203688,fila,chla_mgm2
gamma_light,2.745802741576025,fila,chla_mgm2
gamma_fila,0.17693072375885316,fila,chla_mgm2
phi,0.7332812076246819,fila,chla_mgm2
gamma_light,2.917528432186848,fila,chla_mgm2
gamma_fila,0.1059723403903785,fila,chla_mgm2
phi,0.7499086513381287,fila,chla_mgm2
gamma_light,2.8232016006000387,fila,chla_mgm2
gamma_fila,0.14954719762558666,fila,chla_mgm2
phi,0.7191859093954234,fila,chla_mgm2
gamma_light,3.0460894636598774,fila,chla_mgm2
gamma_fila,0.003033877549316334,fila,chla_mgm2
phi,0.7283832119279219,fila,chla_mgm2
gamma_light,2.965855354489295,fila,chla_mgm2
gamma_fila,-0.02795160979992955,fila,chla_mgm2
phi,0.7169774838979286,fila,chla_mgm2
gamma_light,3.06581571508047,fila,chla_mgm2
gamma_fila,0.09584144843246863,fila,chla_mgm2
phi,0.6958065690801323,fila,chla_mgm2
gamma_light,2.884446397825019,fila,chla_mgm2
gamma_fila,-0.018911610563654712,fila,chla_mgm2
phi,0.7034510348617571,fila,chla_mgm2
gamma_light,2.8658417118059405,fila,chla_mgm2
gamma_fila,0.3354974855695666,fila,chla_mgm2
phi,0.7296221348716547,fila,chla_mgm2
gamma_light,3.1322141211404015,fila,chla_mgm2
gamma_fila,-0.16564590802596307,fila,chla_mgm2
phi,0.7402739843516675,fila,chla_mgm2
gamma_light,3.2248802256776243,fila,chla_mgm2
gamma_fila,0.003210750571500737,fila,chla_mgm2
phi,0.7188815743850311,fila,chla_mgm2
gamma_light,2.9865785214660376,fila,chla_mgm2
gamma_fila,0.00476212421096921,fila,chla_mgm2
phi,0.7185028106970268,fila,chla_mgm2
gamma_light,3.076553498918725,fila,chla_mgm2
gamma_fila,0.06400181732127441,fila,chla_mgm2
phi,0.7348269099334493,fila,chla_mgm2
gamma_light,3.1769555494752084,fila,chla_mgm2
gamma_fila,-0.07551268945161191,fila,chla_mgm2
phi,0.7079287906854546,fila,chla_mgm2
gamma_light,2.791302172333912,fila,chla_mgm2
gamma_fila,0.04464185320318993,fila,chla_mgm2
phi,0.7339545172834026,fila,chla_mgm2
gamma_light,3.317835992787996,fila,chla_mgm2
gamma_fila,0.04960714606134967,fila,chla_mgm2
phi,0.7282923596288768,fila,chla_mgm2
gamma_light,3.0562356844236027,fila,chla_mgm2
gamma_fila,0.12137250326687182,fila,chla_mgm2
phi,0.7368043935503605,fila,chla_mgm2
gamma_light,2.9989515169178893,fila,chla_mgm2
gamma_fila,0.026793165234083247,fila,chla_mgm2
phi,0.7502319005930653,fila,chla_mgm2
gamma_light,3.121964387553967,fila,chla_mgm2
gamma_fila,0.06923262601516235,fila,chla_mgm2
phi,0.6986441378971664,fila,chla_mgm2
gamma_light,2.672509906667513,fila,chla_mgm2
gamma_fila,0.22215991428167617,fila,chla_mgm2
phi,0.703863948642939,fila,chla_mgm2
gamma_light,3.0335433508308203,fila,chla_mgm2
gamma_fila,-0.016695359023039518,fila,chla_mgm2
phi,0.6972008086767828,fila,chla_mgm2
gamma_light,3.081505484852496,fila,chla_mgm2
gamma_fila,-0.02136507867570155,fila,chla_mgm2
phi,0.7298128872846298,fila,chla_mgm2
gamma_light,2.9110171649720327,fila,chla_mgm2
gamma_fila,0.1560407936234453,fila,chla_mgm2
phi,0.7187100881369799,fila,chla_mgm2
gamma_light,2.922090676777138,fila,chla_mgm2
gamma_fila,0.19149461931861297,fila,chla_mgm2
phi,0.7543287622021412,fila,chla_mgm2
gamma_light,3.2507407884430655,fila,chla_mgm2
gamma_fila,-0.1309889036691621,fila,chla_mgm2
phi,0.7586993396347368,fila,chla_mgm2
gamma_light,3.1998625348546152,fila,chla_mgm2
gamma_fila,-0.1203211747675271,fila,chla_mgm2
phi,0.7261652463693948,fila,chla_mgm2
gamma_light,2.9950284604194874,fila,chla_mgm2
gamma_fila,-0.14222042532114473,fila,chla_mgm2
phi,0.7020344797446654,fila,chla_mgm2
gamma_light,2.8205076919104375,fila,chla_mgm2
gamma_fila,0.19446210505872977,fila,chla_mgm2
phi,0.7313462934923891,fila,chla_mgm2
gamma_light,2.951241946466046,fila,chla_mgm2
gamma_fila,0.07388990897049577,fila,chla_mgm2
phi,0.7357163782682093,fila,chla_mgm2
gamma_light,3.0203760689890724,fila,chla_mgm2
gamma_fila,0.1877603881336017,fila,chla_mgm2
phi,0.7114306888725102,fila,chla_mgm2
gamma_light,2.963144870999936,fila,chla_mgm2
gamma_fila,0.22257512072692287,fila,chla_mgm2
phi,0.7321290340909135,fila,chla_mgm2
gamma_light,3.088442001610345,fila,chla_mgm2
gamma_fila,-0.19661650372794096,fila,chla_mgm2
phi,0.7203289598645406,fila,chla_mgm2
gamma_light,2.84784166053722,fila,chla_mgm2
gamma_fila,-0.010143909063298933,fila,chla_mgm2
phi,0.7353361045292613,fila,chla_mgm2
gamma_light,2.8079949616799422,fila,chla_mgm2
gamma_fila,0.14450731311481113,fila,chla_mgm2
phi,0.7326024079024004,fila,chla_mgm2
gamma_light,3.148189558349453,fila,chla_mgm2
gamma_fila,0.08158693608820085,fila,chla_mgm2
phi,0.7222885893725444,fila,chla_mgm2
gamma_light,3.009787087808409,fila,chla_mgm2
gamma_fila,0.013760003150491572,fila,chla_mgm2
phi,0.7120949391232597,fila,chla_mgm2
gamma_light,2.7776514123474882,fila,chla_mgm2
gamma_fila,0.09930709343254784,fila,chla_mgm2
phi,0.7247244421265737,fila,chla_mgm2
gamma_light,2.963250024636526,fila,chla_mgm2
gamma_fila,-0.058298412391581296,fila,chla_mgm2
phi,0.7198099780517255,fila,chla_mgm2
gamma_light,3.0727327786183025,fila,chla_mgm2
gamma_fila,-0.038300609126818166,fila,chla_mgm2
phi,0.7251215577856961,fila,chla_mgm2
gamma_light,2.9926303052284133,fila,chla_mgm2
gamma_fila,0.05060488775526027,fila,chla_mgm2
phi,0.7273385760425765,fila,chla_mgm2
gamma_light,2.7610728034011442,fila,chla_mgm2
gamma_fila,0.3488585621948367,fila,chla_mgm2
phi,0.7357148480119767,fila,chla_mgm2
gamma_light,3.0522154564538275,fila,chla_mgm2
gamma_fila,0.19285330185200825,fila,chla_mgm2
phi,0.6911481279419928,fila,chla_mgm2
gamma_light,2.7524869672339944,fila,chla_mgm2
gamma_fila,0.08512010560672777,fila,chla_mgm2
phi,0.7103857415781017,fila,chla_mgm2
gamma_light,3.073288211534016,fila,chla_mgm2
gamma_fila,0.13991398080466314,fila,chla_mgm2
phi,0.7280010468735102,fila,chla_mgm2
gamma_light,2.7918727041423237,fila,chla_mgm2
gamma_fila,0.08442941944230554,fila,chla_mgm2
phi,0.6781921328137022,fila,chla_mgm2
gamma_light,2.8242356670747166,fila,chla_mgm2
gamma_fila,-0.051825906395374044,fila,chla_mgm2
phi,0.7095639792255275,fila,chla_mgm2
gamma_light,2.7673408576908285,fila,chla_mgm2
gamma_fila,0.10285046667018997,fila,chla_mgm2
phi,0.7055560614325957,fila,chla_mgm2
gamma_light,2.9883544551732704,fila,chla_mgm2
gamma_fila,0.019500969893034233,fila,chla_mgm2
phi,0.7288372554531022,fila,chla_mgm2
gamma_light,3.0513740042156448,fila,chla_mgm2
gamma_fila,0.18907445757677938,fila,chla_mgm2
phi,0.7253640225343038,fila,chla_mgm2
gamma_light,2.818432551454452,fila,chla_mgm2
gamma_fila,0.05225706953607538,fila,chla_mgm2
phi,0.7014241143923176,fila,chla_mgm2
gamma_light,2.9462812770888838,fila,chla_mgm2
gamma_fila,0.07829147676118632,fila,chla_mgm2
phi,0.7078618301411608,fila,chla_mgm2
gamma_light,3.150058247983487,fila,chla_mgm2
gamma_fila,0.08306817695167179,fila,chla_mgm2
phi,0.7171163706384314,fila,chla_mgm2
gamma_light,2.8528397440710638,fila,chla_mgm2
gamma_fila,0.07544890248926593,fila,chla_mgm2
phi,0.6908429749608985,fila,chla_mgm2
gamma_light,3.118495772731251,fila,chla_mgm2
gamma_fila,0.015528692219502666,fila,chla_mgm2
phi,0.6837145314974148,fila,chla_mgm2
gamma_light,2.867478365238343,fila,chla_mgm2
gamma_fila,0.14426700823073443,fila,chla_mgm2
phi,0.7319239694240139,fila,chla_mgm2
gamma_light,2.894052321335488,fila,chla_mgm2
gamma_fila,0.2631725553183915,fila,chla_mgm2
phi,0.7163287092733518,fila,chla_mgm2
gamma_light,3.0108141614802983,fila,chla_mgm2
gamma_fila,0.042925043946448596,fila,chla_mgm2
phi,0.7076815564886663,fila,chla_mgm2
gamma_light,2.99885777511048,fila,chla_mgm2
gamma_fila,0.09899329368264388,fila,chla_mgm2
phi,0.73241043641574,fila,chla_mgm2
gamma_light,2.689193936355195,fila,chla_mgm2
gamma_fila,0.017241059919716688,fila,chla_mgm2
phi,0.7296300614562543,fila,chla_mgm2
gamma_light,3.1366491629596025,fila,chla_mgm2
gamma_fila,-0.023429199169368458,fila,chla_mgm2
phi,0.7321578510260197,fila,chla_mgm2
gamma_light,2.9556660751771138,fila,chla_mgm2
gamma_fila,-0.0194985720785848,fila,chla_mgm2
phi,0.7234886959542405,fila,chla_mgm2
gamma_light,2.930680163372971,fila,chla_mgm2
gamma_fila,-0.07560906442482503,fila,chla_mgm2
phi,0.7211904276345659,fila,chla_mgm2
gamma_light,2.846897165835783,fila,chla_mgm2
gamma_fila,0.10722468794053815,fila,chla_mgm2
phi,0.7137358539429546,fila,chla_mgm2
gamma_light,2.889076316906271,fila,chla_mgm2
gamma_fila,-0.06853513504475453,fila,chla_mgm2
phi,0.7153244262089408,fila,chla_mgm2
gamma_light,3.0717176076923285,fila,chla_mgm2
gamma_fila,0.05811673279289435,fila,chla_mgm2
phi,0.6934152892579624,fila,chla_mgm2
gamma_light,2.783777090336677,fila,chla_mgm2
gamma_fila,0.041671202544065866,fila,chla_mgm2
phi,0.7147162713973261,fila,chla_mgm2
gamma_light,3.099187587706198,fila,chla_mgm2
gamma_fila,-0.16604730150304148,fila,chla_mgm2
phi,0.688799191676773,fila,chla_mgm2
gamma_light,2.608540984361453,fila,chla_mgm2
gamma_fila,0.17099687629449975,fila,chla_mgm2
phi,0.7047244247537897,fila,chla_mgm2
gamma_light,2.7565352704837536,fila,chla_mgm2
gamma_fila,0.13262097892893024,fila,chla_mgm2
phi,0.7184442947625879,fila,chla_mgm2
gamma_light,3.034452529227211,fila,chla_mgm2
gamma_fila,0.05572337448548102,fila,chla_mgm2
phi,0.7005925610053382,fila,chla_mgm2
