parameter,chains,biomass_vars,units
phi,0.6693144372034692,fila,chla_mgm2
gamma_light,0.36638278940394714,fila,chla_mgm2
gamma_fila,0.0325894539691167,fila,chla_mgm2
phi,0.6915180918113345,fila,chla_mgm2
gamma_light,0.39610943199013793,fila,chla_mgm2
gamma_fila,0.02331405419272047,fila,chla_mgm2
phi,0.6722907650294478,fila,chla_mgm2
gamma_light,0.37889505970236637,fila,chla_mgm2
gamma_fila,0.03190880659962966,fila,chla_mgm2
phi,0.6871491483986208,fila,chla_mgm2
gamma_light,0.3444292031097736,fila,chla_mgm2
gamma_fila,0.06613344055133535,fila,chla_mgm2
phi,0.702509211338775,fila,chla_mgm2
gamma_light,0.4044717527231744,fila,chla_mgm2
gamma_fila,0.030072887557259304,fila,chla_mgm2
phi,0.67816578009612,fila,chla_mgm2
gamma_light,0.41406518004500986,fila,chla_mgm2
gamma_fila,0.0025372702263495644,fila,chla_mgm2
phi,0.6925615620061742,fila,chla_mgm2
gamma_light,0.3170061772821344,fila,chla_mgm2
gamma_fila,0.06998788660899324,fila,chla_mgm2
phi,0.6565971378583759,fila,chla_mgm2
gamma_light,0.34880587890152914,fila,chla_mgm2
gamma_fila,0.06606951136865435,fila,chla_mgm2
phi,0.6927707178460121,fila,chla_mgm2
gamma_light,0.38083490046242474,fila,chla_mgm2
gamma_fila,0.06351736255815886,fila,chla_mgm2
phi,0.6740975941221109,fila,chla_mgm2
gamma_light,0.36347515405491787,fila,chla_mgm2
gamma_fila,0.026617457609787093,fila,chla_mgm2
phi,0.6902798338974339,fila,chla_mgm2
gamma_light,0.36427263714949376,fila,chla_mgm2
gamma_fila,0.028018703775449717,fila,chla_mgm2
phi,0.6940577791550352,fila,chla_mgm2
gamma_light,0.3822689332282092,fila,chla_mgm2
gamma_fila,0.03510026465741076,fila,chla_mgm2
phi,0.6768942889110108,fila,chla_mgm2
gamma_light,0.37507158028815146,fila,chla_mgm2
gamma_fila,0.011581208631852103,fila,chla_mgm2
phi,0.6836730512564246,fila,chla_mgm2
gamma_light,0.37260977205485746,fila,chla_mgm2
gamma_fila,0.03117994091726703,fila,chla_mgm2
phi,0.69413301073619,fila,chla_mgm2
gamma_light,0.40611443034459793,fila,chla_mgm2
gamma_fila,0.029414550630276762,fila,chla_mgm2
phi,0.6873842961283324,fila,chla_mgm2
gamma_light,0.3762751968876273,fila,chla_mgm2
gamma_fila,0.03322941724093002,fila,chla_mgm2
phi,0.6932905440438905,fila,chla_mgm2
gamma_light,0.3768798458455601,fila,chla_mgm2
gamma_fila,0.026037217846184364,fila,chla_mgm2
phi,0.6839942825924821,fila,chla_mgm2
gamma_light,0.37331575245835746,fila,chla_mgm2
gamma_fila,0.03110494621118635,fila,chla_mgm2
phi,0.6862047068543575,fila,chla_mgm2
gamma_light,0.37193811858153875,fila,chla_mgm2
gamma_fila,0.058812810077359445,fila,chla_mgm2
phi,0.6747789605203895,fila,chla_mgm2
gamma_light,0.3824324866654011,fila,chla_mgm2
gamma_fila,0.00182012098215675,fila,chla_mgm2
phi,0.7162010541363514,fila,chla_mgm2
gamma_light,0.38424950544385206,fila,chla_mgm2
gamma_fila,0.016292765557621987,fila,chla_mgm2
phi,0.6866106967539602,fila,chla_mgm2
gamma_light,0.3594142032002405,fila,chla_mgm2
gamma_fila,0.0777923582138976,fila,chla_mgm2
phi,0.6997431083155669,fila,chla_mgm2
gamma_light,0.3657733756519187,fila,chla_mgm2
gamma_fila,0.039083724423347385,fila,chla_mgm2
phi,0.6479684563500976,fila,chla_mgm2
gamma_light,0.3545443479368923,fila,chla_mgm2
gamma_fila,0.04050820789266653,fila,chla_mgm2
phi,0.6773622644135986,fila,chla_mgm2
gamma_light,0.3712337765165031,fila,chla_mgm2
gamma_fila,0.045379234244578744,fila,chla_mgm2
phi,0.6791378410655903,fila,chla_mgm2
gamma_light,0.37154851325708355,fila,chla_mgm2
gamma_fila,0.05431054350471358,fila,chla_mgm2
phi,0.7004674463553519,fila,chla_mgm2
gamma_light,0.4003206162269917,fila,chla_mgm2
gamma_fila,0.02256580365227915,fila,chla_mgm2
phi,0.716629821754162,fila,chla_mgm2
gamma_light,0.3812939851847471,fila,chla_mgm2
gamma_fila,0.019325472842739104,fila,chla_mgm2
phi,0.6559542381990819,fila,chla_mgm2
gamma_light,0.35934841107682824,fila,chla_mgm2
gamma_fila,0.048203287745671154,fila,chla_mgm2
phi,0.6765109014959637,fila,chla_mgm2
gamma_light,0.3969238556403969,fila,chla_mgm2
gamma_fila,0.024324037171689898,fila,chla_mgm2
phi,0.6944039658895977,fila,chla_mgm2
gamma_light,0.4005792031788802,fila,chla_mgm2
gamma_fila,0.05329181857368314,fila,chla_mgm2
phi,0.7006871302290658,fila,chla_mgm2
gamma_light,0.3819365490991253,fila,chla_mgm2
gamma_fila,0.010649495309629714,fila,chla_mgm2
phi,0.6951302532843909,fila,chla_mgm2
gamma_light,0.3532320138863457,fila,chla_mgm2
gamma_fila,0.06336624599093436,fila,chla_mgm2
phi,0.6853191719516063,fila,chla_mgm2
gamma_light,0.3468498796949043,fila,chla_mgm2
gamma_fila,0.012141240748995811,fila,chla_mgm2
phi,0.6858500834657992,fila,chla_mgm2
gamma_light,0.3886432297882763,fila,chla_mgm2
gamma_fila,0.025170223469751486,fila,chla_mgm2
phi,0.7119299422797283,fila,chla_mgm2
gamma_light,0.38532209005220863,fila,chla_mgm2
gamma_fila,0.05466496032187234,fila,chla_mgm2
phi,0.666857169978908,fila,chla_mgm2
gamma_light,0.3672964771828188,fila,chla_mgm2
gamma_fila,0.044685403771225235,fila,chla_mgm2
phi,0.6833825156550943,fila,chla_mgm2
gamma_light,0.3697235478851858,fila,chla_mgm2
gamma_fila,0.03928916952434494,fila,chla_mgm2
phi,0.696634373234033,fila,chla_mgm2
gamma_light,0.3654798839916393,fila,chla_mgm2
gamma_fila,0.055984707977889195,fila,chla_mgm2
phi,0.6747476570988353,fila,chla_mgm2
gamma_light,0.3632408793365776,fila,chla_mgm2
gamma_fila,0.07066628198863152,fila,chla_mgm2
phi,0.6804944493350882,fila,chla_mgm2
gamma_light,0.38360166429460074,fila,chla_mgm2
gamma_fila,0.02937384333470796,fila,chla_mgm2
phi,0.6805806663968716,fila,chla_mgm2
gamma_light,0.3627496739403649,fila,chla_mgm2
gamma_fila,0.022905151829022346,fila,chla_mgm2
phi,0.6892830566903928,fila,chla_mgm2
gamma_light,0.3649609366032037,fila,chla_mgm2
gamma_fila,0.04172487275438764,fila,chla_mgm2
phi,0.7007893462139345,fila,chla_mgm2
gamma_light,0.3652972261738491,fila,chla_mgm2
gamma_fila,0.05567959580996887,fila,chla_mgm2
phi,0.659123329734426,fila,chla_mgm2
gamma_light,0.3598645953135852,fila,chla_mgm2
gamma_fila,0.007393279197160385,fila,chla_mgm2
phi,0.6807196860255177,fila,chla_mgm2
gamma_light,0.3607103608572635,fila,chla_mgm2
gamma_fila,0.054929529086750806,fila,chla_mgm2
phi,0.6736344210173958,fila,chla_mgm2
gamma_light,0.36252303182994977,fila,chla_mgm2
gamma_fila,0.08261109664120157,fila,chla_mgm2
phi,0.6951822876825862,fila,chla_mgm2
gamma_light,0.37663641575565004,fila,chla_mgm2
gamma_fila,0.03214032402066669,fila,chla_mgm2
phi,0.6956272962563855,fila,chla_mgm2
gamma_light,0.3508177474599117,fila,chla_mgm2
gamma_fila,0.037439122817582486,fila,chla_mgm2
phi,0.6712505796727066,fila,chla_mgm2
gamma_light,0.3491844123110069,fila,chla_mgm2
gamma_fila,0.0267126804259123,fila,chla_mgm2
phi,0.6649358037939266,fila,chla_mgm2
gamma_light,0.37622478810192345,fila,chla_mgm2
gamma_fila,0.0360249353829783,fila,chla_mgm2
phi,0.6875671919906392,fila,chla_mgm2
gamma_light,0.36986913024534773,fila,chla_mgm2
gamma_fila,0.072082350553845,fila,chla_mgm2
phi,0.6714734941731352,fila,chla_mgm2
gamma_light,0.3644400897792497,fila,chla_mgm2
gamma_fila,0.020259568910707758,fila,chla_mgm2
phi,0.694569024075987,fila,chla_mgm2
gamma_light,0.3846423419486245,fila,chla_mgm2
gamma_fila,0.03701270806364594,fila,chla_mgm2
phi,0.669109487532965,fila,chla_mgm2
gamma_light,0.3543099261909678,fila,chla_mgm2
gamma_fila,0.06386628303286204,fila,chla_mgm2
phi,0.7208413717187299,fila,chla_mgm2
gamma_light,0.3712580067333738,fila,chla_mgm2
gamma_fila,-0.01608857488905443,fila,chla_mgm2
phi,0.6969665694181935,fila,chla_mgm2
gamma_light,0.3634308586554701,fila,chla_mgm2
gamma_fila,0.050638953100289985,fila,chla_mgm2
phi,0.6771176761838366,fila,chla_mgm2
gamma_light,0.36521949664836784,fila,chla_mgm2
gamma_fila,0.04707130824196995,fila,chla_mgm2
phi,0.6662428589449161,fila,chla_mgm2
gamma_light,0.36281622788421225,fila,chla_mgm2
gamma_fila,0.03859680302130117,fila,chla_mgm2
phi,0.6756710822503894,fila,chla_mgm2
gamma_light,0.37766005703948285,fila,chla_mgm2
gamma_fila,0.03733730534060905,fila,chla_mgm2
phi,0.682713498170655,fila,chla_mgm2
gamma_light,0.38386268984953376,fila,chla_mgm2
gamma_fila,0.0067422098078571795,fila,chla_mgm2
phi,0.6973400976954336,fila,chla_mgm2
gamma_light,0.3674087722542875,fila,chla_mgm2
gamma_fila,0.03976486482580046,fila,chla_mgm2
phi,0.6957745002024452,fila,chla_mgm2
gamma_light,0.38386837043602745,fila,chla_mgm2
gamma_fila,0.021555274017850148,fila,chla_mgm2
phi,0.7068628856824669,fila,chla_mgm2
gamma_light,0.37470535576914393,fila,chla_mgm2
gamma_fila,0.008473419939019355,fila,chla_mgm2
phi,0.6989759031186508,fila,chla_mgm2
gamma_light,0.3703054410627335,fila,chla_mgm2
gamma_fila,0.0853908146320952,fila,chla_mgm2
phi,0.7135096946134927,fila,chla_mgm2
gamma_light,0.42056324013722496,fila,chla_mgm2
gamma_fila,-0.010080712989170052,fila,chla_mgm2
phi,0.6762376076418624,fila,chla_mgm2
gamma_light,0.3703526851740214,fila,chla_mgm2
gamma_fila,0.04152100523381544,fila,chla_mgm2
phi,0.66952193557340145,fila,chla_mgm2
gamma_light,0.35690737015419677,fila,chla_mgm2
gamma_fila,0.060257917088042845,fila,chla_mgm2
phi,0.6890791642697006,fila,chla_mgm2
gamma_light,0.3768741480038209,fila,chla_mgm2
gamma_fila,0.029107272652396758,fila,chla_mgm2
phi,0.7013133656195997,fila,chla_mgm2
gamma_light,0.38707407298607505,fila,chla_mgm2
gamma_fila,0.03620614477495635,fila,chla_mgm2
phi,0.6441807312544692,fila,chla_mgm2
gamma_light,0.35702569957807573,fila,chla_mgm2
gamma_fila,0.028163714634199075,fila,chla_mgm2
phi,0.6980810772082762,fila,chla_mgm2
gamma_light,0.36140466464409976,fila,chla_mgm2
gamma_fila,0.038758269168871096,fila,chla_mgm2
phi,0.6674766858540568,fila,chla_mgm2
gamma_light,0.35899212286380267,fila,chla_mgm2
gamma_fila,0.0681123904580996,fila,chla_mgm2
phi,0.6895855730790548,fila,chla_mgm2
gamma_light,0.3642991146951068,fila,chla_mgm2
gamma_fila,0.05147560417715807,fila,chla_mgm2
phi,0.6888563739141712,fila,chla_mgm2
gamma_light,0.39435901026065445,fila,chla_mgm2
gamma_fila,0.029497351170184625,fila,chla_mgm2
phi,0.6906389189418602,fila,chla_mgm2
gamma_light,0.36260756791776694,fila,chla_mgm2
gamma_fila,0.048338361173739804,fila,chla_mgm2
phi,0.6958257094563065,fila,chla_mgm2
gamma_light,0.39066017940480513,fila,chla_mgm2
gamma_fila,0.014160299805772181,fila,chla_mgm2
phi,0.6961229027268888,fila,chla_mgm2
gamma_light,0.3570149283335349,fila,chla_mgm2
gamma_fila,0.04853530920741637,fila,chla_mgm2
phi,0.6908245276301402,fila,chla_mgm2
gamma_light,0.35478103436392755,fila,chla_mgm2
gamma_fila,0.07618161977851902,fila,chla_mgm2
phi,0.6780706545404122,fila,chla_mgm2
gamma_light,0.3710234342769673,fila,chla_mgm2
gamma_fila,0.02786403070221056,fila,chla_mgm2
phi,0.666962859607778,fila,chla_mgm2
gamma_light,0.35981684189160057,fila,chla_mgm2
gamma_fila,0.04270449110870173,fila,chla_mgm2
phi,0.6702871870413983,fila,chla_mgm2
gamma_light,0.3558497090710659,fila,chla_mgm2
gamma_fila,0.04589371541886078,fila,chla_mgm2
phi,0.6926741339620689,fila,chla_mgm2
gamma_light,0.4114525979903649,fila,chla_mgm2
gamma_fila,0.050877104501737165,fila,chla_mgm2
phi,0.6901715971299658,fila,chla_mgm2
gamma_light,0.38140112243760904,fila,chla_mgm2
gamma_fila,0.0054674830640313475,fila,chla_mgm2
