parameter,chains,biomass_vars,units
phi,0.6827403610010634,fila,chla_mgm2
gamma_light,0.3608594007919919,fila,chla_mgm2
gamma_fila,0.02853147906077109,fila,chla_mgm2
phi,0.7021359663320843,fila,chla_mgm2
gamma_light,0.3959902650776676,fila,chla_mgm2
gamma_fila,0.03837928175641019,fila,chla_mgm2
phi,0.6785690372847435,fila,chla_mgm2
gamma_light,0.4164660350423044,fila,chla_mgm2
gamma_fila,0.03317596356320784,fila,chla_mgm2
phi,0.7040341544024248,fila,chla_mgm2
gamma_light,0.41663137526824046,fila,chla_mgm2
gamma_fila,0.01720495796790563,fila,chla_mgm2
phi,0.6617272700335305,fila,chla_mgm2
gamma_light,0.3777027045699163,fila,chla_mgm2
gamma_fila,0.028290099407558094,fila,chla_mgm2
phi,0.6688194891320127,fila,chla_mgm2
gamma_light,0.36288713119066324,fila,chla_mgm2
gamma_fila,0.05974301673317433,fila,chla_mgm2
phi,0.70075313550870455,fila,chla_mgm2
gamma_light,0.38564856395198205,fila,chla_mgm2
gamma_fila,0.03964662101963385,fila,chla_mgm2
phi,0.7108545021040301,fila,chla_mgm2
gamma_light,0.3774874377951124,fila,chla_mgm2
gamma_fila,0.02052124741545163,fila,chla_mgm2
phi,0.6904508507924999,fila,chla_mgm2
gamma_light,0.3821497185720825,fila,chla_mgm2
gamma_fila,0.04307537437685839,fila,chla_mgm2
phi,0.6921178998800056,fila,chla_mgm2
gamma_light,0.3753800413220296,fila,chla_mgm2
gamma_fila,0.04664733293145707,fila,chla_mgm2
phi,0.6989843648831305,fila,chla_mgm2
gamma_light,0.3590481111366021,fila,chla_mgm2
gamma_fila,0.06110038809619228,fila,chla_mgm2
phi,0.6927123386389137,fila,chla_mgm2
gamma_light,0.37584476295320446,fila,chla_mgm2
gamma_fila,0.046327613368170345,fila,chla_mgm2
phi,0.6701748944682586,fila,chla_mgm2
gamma_light,0.34885269668998614,fila,chla_mgm2
gamma_fila,0.04365001268860502,fila,chla_mgm2
phi,0.7093276305682831,fila,chla_mgm2
gamma_light,0.3610001186350001,fila,chla_mgm2
gamma_fila,0.04035822650213721,fila,chla_mgm2
phi,0.6859619800145215,fila,chla_mgm2
gamma_light,0.39908447473183783,fila,chla_mgm2
gamma_fila,-0.003411591203635149,fila,chla_mgm2
phi,0.6689777610017638,fila,chla_mgm2
gamma_light,0.3550432323055763,fila,chla_mgm2
gamma_fila,0.06048236674164401,fila,chla_mgm2
phi,0.681231121988224,fila,chla_mgm2
gamma_light,0.363988171847982,fila,chla_mgm2
gamma_fila,0.06722860686509381,fila,chla_mgm2
phi,0.7072620444084566,fila,chla_mgm2
gamma_light,0.3587012145168927,fila,chla_mgm2
gamma_fila,0.03740764932588854,fila,chla_mgm2
phi,0.7107925564634988,fila,chla_mgm2
