site,year,intercept,q90,ARf
PL,2020,-3.3691572573998676,-0.6498855776679849,0.6498855776679849
PL,2021,-3.7261972573998676,-0.577595577667985,0.577595577667985
DL,2020,-1.9607272573998675,-0.6169055776679849,0.6169055776679849
DL,2021,-2.7097672573998675,-0.47050557766798495,0.47050557766798495
GR,2020,-2.9709972573998673,-0.4387255776679849,0.4387255776679849
GR,2021,-4.163867257399867,-0.3021155776679849,0.3021155776679849
GC,2020,-3.6941672573998674,-0.5680255776679849,0.5680255776679849
GC,2021,-3.7000972573998676,-0.3771155776679849,0.3771155776679849
BM,2020,-1.7162372573998674,-0.5845155776679849,0.5845155776679849
BM,2021,-4.012087257399868,-0.627145577667985,0.627145577667985
BN,2020,-5.724357257399868,-0.35528557766798496,0.35528557766798496
BN,2021,-4.666507257399868,-0.514215577667985,0.514215577667985
