unix,UTC,MST,battery,water.temp,DO.obs,DO.sat,             Q
                1623706680,           2021-06-14 21:38:00,           2021-06-14 15:38:00,      3.480000,     25.103000,          6.917000,                    83.891193,      0.988000
                1623707580,           2021-06-14 21:53:00,           2021-06-14 15:53:00,      3.480000,     24.960000,          6.938000,                    83.924579,      0.988000
                1623708480,           2021-06-14 22:08:00,           2021-06-14 16:08:00,      3.480000,     24.927000,          6.942000,                    83.921883,      0.987000
                1623709380,           2021-06-14 22:23:00,           2021-06-14 16:23:00,      3.490000,     18.032000,          7.480000,                    79.085021,      0.985000
                1623710280,           2021-06-14 22:38:00,           2021-06-14 16:38:00,      3.490000,     17.281000,          7.408000,                    77.118979,      0.987000
                1623711180,           2021-06-14 22:53:00,           2021-06-14 16:53:00,      3.490000,     17.813000,          7.743000,                    81.498066,      0.986000
                1623712080,           2021-06-14 23:08:00,           2021-06-14 17:08:00,      3.490000,     18.201000,          7.702000,                    81.714604,      0.986000
                1623712980,           2021-06-14 23:23:00,           2021-06-14 17:23:00,      3.490000,     18.403000,          7.673000,                    81.743459,      0.986000
                1623713880,           2021-06-14 23:38:00,           2021-06-14 17:38:00,      3.490000,     18.638000,          7.626000,                    81.632204,      0.986000
                1623714780,           2021-06-14 23:53:00,           2021-06-14 17:53:00,      3.490000,     18.798000,          7.608000,                    81.704267,      0.986000
                1623715680,           2021-06-15 00:08:00,           2021-06-14 18:08:00,      3.490000,     19.025000,          7.558000,                    81.540728,      0.986000
                1623716580,           2021-06-15 00:23:00,           2021-06-14 18:23:00,      3.490000,     19.176000,          7.536000,                    81.551242,      0.986000
                1623717480,           2021-06-15 00:38:00,           2021-06-14 18:38:00,      3.490000,     19.369000,          7.504000,                    81.520630,      0.986000
                1623718380,           2021-06-15 00:53:00,           2021-06-14 18:53:00,      3.490000,     19.503000,          7.490000,                    81.587447,      0.985000
                1623719280,           2021-06-15 01:08:00,           2021-06-14 19:08:00,      3.490000,     19.578000,          7.484000,                    81.644566,      0.986000
                1623720180,           2021-06-15 01:23:00,           2021-06-14 19:23:00,      3.490000,     19.704000,          7.460000,                    81.587926,      0.986000
                1623721080,           2021-06-15 01:38:00,           2021-06-14 19:38:00,      3.490000,     19.905000,          7.426000,                    81.542108,      0.986000
                1623721980,           2021-06-15 01:53:00,           2021-06-14 19:53:00,      3.490000,     19.980000,          7.416000,                    81.553857,      0.985000
                1623722880,           2021-06-15 02:08:00,           2021-06-14 20:08:00,      3.490000,     20.131000,          7.399000,                    81.611188,      0.985000
                1623723780,           2021-06-15 02:23:00,           2021-06-14 20:23:00,      3.490000,     20.231000,          7.387000,                    81.640420,      0.985000
                1623724680,           2021-06-15 02:38:00,           2021-06-14 20:38:00,      3.490000,     20.373000,          7.371000,                    81.692662,      0.986000
                1623725580,           2021-06-15 02:53:00,           2021-06-14 20:53:00,      3.490000,     20.465000,          7.356000,                    81.674597,      0.985000
                1623726480,           2021-06-15 03:08:00,           2021-06-14 21:08:00,      3.490000,     20.616000,          7.318000,                    81.494745,      0.985000
                1623727380,           2021-06-15 03:23:00,           2021-06-14 21:23:00,      3.490000,     20.616000,          7.326000,                    81.583835,      0.985000
                1623728280,           2021-06-15 03:38:00,           2021-06-14 21:38:00,      3.490000,     20.750000,          7.296000,                    81.464038,      0.985000
                1623729180,           2021-06-15 03:53:00,           2021-06-14 21:53:00,      3.490000,     20.833000,          7.287000,                    81.496171,      0.985000
                1623730080,           2021-06-15 04:08:00,           2021-06-14 22:08:00,      3.490000,     20.867000,          7.297000,                    81.662424,      0.985000
                1623730980,           2021-06-15 04:23:00,           2021-06-14 22:23:00,      3.490000,     20.909000,          7.292000,                    81.673650,      0.985000
                1623731880,           2021-06-15 04:38:00,           2021-06-14 22:38:00,      3.490000,     20.992000,          7.279000,                    81.660606,      0.985000
                1623732780,           2021-06-15 04:53:00,           2021-06-14 22:53:00,      3.490000,     21.059000,          7.259000,                    81.542977,      0.985000
                1623733680,           2021-06-15 05:08:00,           2021-06-14 23:08:00,      3.490000,     21.134000,          7.248000,                    81.538753,      0.985000
                1623734580,           2021-06-15 05:23:00,           2021-06-14 23:23:00,      3.490000,     21.134000,          7.254000,                    81.606252,      0.985000
                1623735480,           2021-06-15 05:38:00,           2021-06-14 23:38:00,      3.490000,     21.218000,          7.242000,                    81.604849,      0.985000
                1623736380,           2021-06-15 05:53:00,           2021-06-14 23:53:00,      3.490000,     21.293000,          7.226000,                    81.543611,      0.985000
                1623737280,           2021-06-15 06:08:00,           2021-06-15 00:08:00,      3.500000,     21.285000,          7.228000,                    81.553477,      0.985000
                1623738180,           2021-06-15 06:23:00,           2021-06-15 00:23:00,      3.490000,     21.343000,          7.211000,                    81.453565,      0.985000
                1623739080,           2021-06-15 06:38:00,           2021-06-15 00:38:00,      3.500000,     21.352000,          7.219000,                    81.558209,      0.985000
                1623739980,           2021-06-15 06:53:00,           2021-06-15 00:53:00,      3.500000,     21.410000,          7.207000,                    81.514508,      0.985000
                1623740880,           2021-06-15 07:08:00,           2021-06-15 01:08:00,      3.500000,     21.452000,          7.203000,                    81.535771,      0.985000
                1623741780,           2021-06-15 07:23:00,           2021-06-15 01:23:00,      3.500000,     21.435000,          7.197000,                    81.440955,      0.984000
                1623742680,           2021-06-15 07:38:00,           2021-06-15 01:38:00,      3.500000,     21.460000,          7.204000,                    81.559761,      0.985000
                1623743580,           2021-06-15 07:53:00,           2021-06-15 01:53:00,      3.500000,     21.527000,          7.183000,                    81.427833,      0.984000
                1623744480,           2021-06-15 08:08:00,           2021-06-15 02:08:00,      3.500000,     21.536000,          7.182000,                    81.430711,      0.985000
                1623745380,           2021-06-15 08:23:00,           2021-06-15 02:23:00,      3.500000,     21.552000,          7.176000,                    81.387934,      0.985000
                1623746280,           2021-06-15 08:38:00,           2021-06-15 02:38:00,      3.500000,     21.536000,          7.176000,                    81.362682,      0.985000
                1623747180,           2021-06-15 08:53:00,           2021-06-15 02:53:00,      3.500000,     21.569000,          7.180000,                    81.460147,      0.985000
                1623748080,           2021-06-15 09:08:00,           2021-06-15 03:08:00,      3.500000,     21.544000,          7.173000,                    81.341288,      0.985000
                1623748980,           2021-06-15 09:23:00,           2021-06-15 03:23:00,      3.500000,     21.561000,          7.179000,                    81.436169,      0.985000
                1623749880,           2021-06-15 09:38:00,           2021-06-15 03:38:00,      3.500000,     21.552000,          7.170000,                    81.319884,      0.985000
                1623750780,           2021-06-15 09:53:00,           2021-06-15 03:53:00,      3.500000,     21.510000,          7.177000,                    81.332985,      0.985000
                1623751680,           2021-06-15 10:08:00,           2021-06-15 04:08:00,      3.500000,     21.502000,          7.182000,                    81.377013,      0.985000
                1623752580,           2021-06-15 10:23:00,           2021-06-15 04:23:00,      3.500000,     21.586000,          7.167000,                    81.339456,      0.985000
                1623753480,           2021-06-15 10:38:00,           2021-06-15 04:38:00,      3.500000,     21.602000,          7.155000,                    81.228448,      0.984000
                1623754380,           2021-06-15 10:53:00,           2021-06-15 04:53:00,      3.500000,     21.536000,          7.171000,                    81.305992,      0.985000
                1623755280,           2021-06-15 11:08:00,           2021-06-15 05:08:00,      3.500000,     21.510000,          7.180000,                    81.366982,      0.985000
                1623756180,           2021-06-15 11:23:00,           2021-06-15 05:23:00,      3.500000,     21.469000,          7.192000,                    81.438135,      0.985000
                1623757080,           2021-06-15 11:38:00,           2021-06-15 05:38:00,      3.500000,     21.477000,          7.181000,                    81.326208,      0.985000
                1623757980,           2021-06-15 11:53:00,           2021-06-15 05:53:00,      3.500000,     21.477000,          7.185000,                    81.371509,      0.984000
