unix,UTC,MST,battery,water.temp,DO.obs,DO.sat,             Q
                1623706560,           2021-06-14 21:36:00,           2021-06-14 15:36:00,      3.370000,     24.976000,          7.214000,                    87.288915,      0.961000
                1623707460,           2021-06-14 21:51:00,           2021-06-14 15:51:00,      3.380000,     25.009000,          7.209000,                    87.281473,      0.960000
                1623708360,           2021-06-14 22:06:00,           2021-06-14 16:06:00,      3.390000,     25.085000,          7.213000,                    87.452190,      0.962000
                1623709260,           2021-06-14 22:21:00,           2021-06-14 16:21:00,      3.400000,     18.707000,          7.872000,                    84.383611,      0.951000
                1623710160,           2021-06-14 22:36:00,           2021-06-14 16:36:00,      3.400000,     17.267000,          7.856000,                    81.758982,      0.957000
                1623711060,           2021-06-14 22:51:00,           2021-06-14 16:51:00,      3.400000,     17.554000,          7.982000,                    83.565887,      0.958000
                1623711960,           2021-06-14 23:06:00,           2021-06-14 17:06:00,      3.400000,     18.127000,          8.043000,                    85.203297,      0.960000
                1623712860,           2021-06-14 23:21:00,           2021-06-14 17:21:00,      3.400000,     18.346000,          8.002000,                    85.149362,      0.958000
                1623713760,           2021-06-14 23:36:00,           2021-06-14 17:36:00,      3.400000,     18.590000,          7.966000,                    85.188594,      0.959000
                1623714660,           2021-06-14 23:51:00,           2021-06-14 17:51:00,      3.410000,     18.825000,          7.927000,                    85.176656,      0.960000
                1623715560,           2021-06-15 00:06:00,           2021-06-14 18:06:00,      3.410000,     18.976000,          7.900000,                    85.146167,      0.959000
                1623716460,           2021-06-15 00:21:00,           2021-06-14 18:21:00,      3.410000,     19.143000,          7.886000,                    85.282089,      0.960000
                1623717360,           2021-06-15 00:36:00,           2021-06-14 18:36:00,      3.410000,     19.311000,          7.853000,                    85.212729,      0.959000
                1623718260,           2021-06-15 00:51:00,           2021-06-14 18:51:00,      3.410000,     19.462000,          7.806000,                    84.959770,      0.958000
                1623719160,           2021-06-15 01:06:00,           2021-06-14 19:06:00,      3.410000,     19.621000,          7.794000,                    85.099568,      0.959000
                1623720060,           2021-06-15 01:21:00,           2021-06-14 19:21:00,      3.410000,     19.738000,          7.772000,                    85.057882,      0.959000
                1623720960,           2021-06-15 01:36:00,           2021-06-14 19:36:00,      3.410000,     19.855000,          7.763000,                    85.157770,      0.959000
                1623721860,           2021-06-15 01:51:00,           2021-06-14 19:51:00,      3.410000,     19.989000,          7.740000,                    85.132116,      0.959000
                1623722760,           2021-06-15 02:06:00,           2021-06-14 20:06:00,      3.420000,     20.122000,          7.729000,                    85.235884,      0.959000
                1623723660,           2021-06-15 02:21:00,           2021-06-14 20:21:00,      3.420000,     20.273000,          7.695000,                    85.115124,      0.959000
                1623724560,           2021-06-15 02:36:00,           2021-06-14 20:36:00,      3.420000,     20.323000,          7.697000,                    85.221472,      0.959000
                1623725460,           2021-06-15 02:51:00,           2021-06-14 20:51:00,      3.420000,     20.440000,          7.656000,                    84.963621,      0.958000
                1623726360,           2021-06-15 03:06:00,           2021-06-14 21:06:00,      3.420000,     20.557000,          7.642000,                    85.004088,      0.959000
                1623727260,           2021-06-15 03:21:00,           2021-06-14 21:21:00,      3.420000,     20.624000,          7.635000,                    85.038307,      0.959000
                1623728160,           2021-06-15 03:36:00,           2021-06-14 21:36:00,      3.420000,     20.707000,          7.626000,                    85.076790,      0.959000
                1623729060,           2021-06-15 03:51:00,           2021-06-14 21:51:00,      3.420000,     20.791000,          7.619000,                    85.139011,      0.959000
                1623729960,           2021-06-15 04:06:00,           2021-06-14 22:06:00,      3.420000,     20.874000,          7.607000,                    85.143386,      0.959000
