unix,UTC,MST,battery,water.temp,DO.obs,DO.sat,             Q
                1623707040,           2021-06-14 21:44:00,           2021-06-14 15:44:00,      3.080000,     24.909000,          7.356000,                    88.897210,      0.990000
                1623707940,           2021-06-14 21:59:00,           2021-06-14 15:59:00,      3.080000,     24.799000,          7.368000,                    88.861578,      0.990000
                1623708840,           2021-06-14 22:14:00,           2021-06-14 16:14:00,      3.080000,     24.783000,          7.369000,                    88.847365,      0.990000
                1623709740,           2021-06-14 22:29:00,           2021-06-14 16:29:00,      3.090000,     17.441000,          8.063000,                    84.216718,      0.989000
                1623710640,           2021-06-14 22:44:00,           2021-06-14 16:44:00,      3.090000,     17.534000,          8.211000,                    85.927808,      0.989000
                1623711540,           2021-06-14 22:59:00,           2021-06-14 16:59:00,      3.090000,     18.049000,          8.185000,                    86.569070,      0.990000
                1623712440,           2021-06-14 23:14:00,           2021-06-14 17:14:00,      3.090000,     18.301000,          8.144000,                    86.580806,      0.989000
                1623713340,           2021-06-14 23:29:00,           2021-06-14 17:29:00,      3.090000,     18.520000,          8.116000,                    86.669219,      0.989000
                1623714240,           2021-06-14 23:44:00,           2021-06-14 17:44:00,      3.090000,     18.714000,          8.083000,                    86.657723,      0.989000
                1623715140,           2021-06-14 23:59:00,           2021-06-14 17:59:00,      3.090000,     18.907000,          8.049000,                    86.631192,      0.989000
                1623716040,           2021-06-15 00:14:00,           2021-06-14 18:14:00,      3.090000,     19.100000,          8.022000,                    86.677700,      0.989000
                1623716940,           2021-06-15 00:29:00,           2021-06-14 18:29:00,      3.090000,     19.268000,          7.986000,                    86.581054,      0.989000
                1623717840,           2021-06-15 00:44:00,           2021-06-14 18:44:00,      3.090000,     19.427000,          7.968000,                    86.662134,      0.989000
                1623718740,           2021-06-15 00:59:00,           2021-06-14 18:59:00,      3.090000,     19.569000,          7.940000,                    86.603573,      0.989000
                1623719640,           2021-06-15 01:14:00,           2021-06-14 19:14:00,      3.090000,     19.712000,          7.916000,                    86.588897,      0.989000
                1623720540,           2021-06-15 01:29:00,           2021-06-14 19:29:00,      3.090000,     19.829000,          7.901000,                    86.626711,      0.989000
                1623721440,           2021-06-15 01:44:00,           2021-06-14 19:44:00,      3.090000,     19.938000,          7.880000,                    86.584137,      0.988000
                1623722340,           2021-06-15 01:59:00,           2021-06-14 19:59:00,      3.080000,     20.080000,          7.867000,                    86.685501,      0.989000
                1623723240,           2021-06-15 02:14:00,           2021-06-14 20:14:00,      3.090000,     20.197000,          7.841000,                    86.599659,      0.989000
                1623724140,           2021-06-15 02:29:00,           2021-06-14 20:29:00,      3.090000,     20.298000,          7.832000,                    86.673344,      0.989000
                1623725040,           2021-06-15 02:44:00,           2021-06-14 20:44:00,      3.090000,     20.406000,          7.812000,                    86.636697,      0.989000
                1623725940,           2021-06-15 02:59:00,           2021-06-14 20:59:00,      3.090000,     20.532000,          7.791000,                    86.618787,      0.989000
                1623726840,           2021-06-15 03:14:00,           2021-06-14 21:14:00,      3.090000,     20.615000,          7.782000,                    86.660239,      0.989000
                1623727740,           2021-06-15 03:29:00,           2021-06-14 21:29:00,      3.090000,     20.699000,          7.764000,                    86.602723,      0.989000
                1623728640,           2021-06-15 03:44:00,           2021-06-14 21:44:00,      3.090000,     20.783000,          7.756000,                    86.656320,      0.989000
                1623729540,           2021-06-15 03:59:00,           2021-06-14 21:59:00,      3.090000,     20.866000,          7.747000,                    86.696779,      0.989000
                1623730440,           2021-06-15 04:14:00,           2021-06-14 22:14:00,      3.080000,     20.933000,          7.737000,                    86.698587,      0.989000
                1623731340,           2021-06-15 04:29:00,           2021-06-14 22:29:00,      3.080000,     20.983000,          7.733000,                    86.738603,      0.989000
                1623732240,           2021-06-15 04:44:00,           2021-06-14 22:44:00,      3.080000,     21.058000,          7.721000,                    86.731096,      0.989000
                1623733140,           2021-06-15 04:59:00,           2021-06-14 22:59:00,      3.080000,     21.125000,          7.698000,                    86.585963,      0.989000
                1623734040,           2021-06-15 05:14:00,           2021-06-14 23:14:00,      3.080000,     21.175000,          7.703000,                    86.726777,      0.989000
                1623734940,           2021-06-15 05:29:00,           2021-06-14 23:29:00,      3.080000,     21.226000,          7.690000,                    86.666549,      0.989000
                1623735840,           2021-06-15 05:44:00,           2021-06-14 23:44:00,      3.090000,     21.267000,          7.683000,                    86.656856,      0.989000
                1623736740,           2021-06-15 05:59:00,           2021-06-14 23:59:00,      3.090000,     21.309000,          7.684000,                    86.739040,      0.990000
                1623737640,           2021-06-15 06:14:00,           2021-06-15 00:14:00,      3.090000,     21.359000,          7.667000,                    86.631380,      0.989000
                1623738540,           2021-06-15 06:29:00,           2021-06-15 00:29:00,      3.090000,     21.384000,          7.675000,                    86.763944,      0.990000
                1623739440,           2021-06-15 06:44:00,           2021-06-15 00:44:00,      3.090000,     21.426000,          7.651000,                    86.563263,      0.989000
                1623740340,           2021-06-15 06:59:00,           2021-06-15 00:59:00,      3.090000,     21.451000,          7.656000,                    86.661910,      0.989000
                1623741240,           2021-06-15 07:14:00,           2021-06-15 01:14:00,      3.090000,     21.476000,          7.648000,                    86.613391,      0.989000
                1623742140,           2021-06-15 07:29:00,           2021-06-15 01:29:00,      3.090000,     21.493000,          7.646000,                    86.619321,      0.989000
                1623743040,           2021-06-15 07:44:00,           2021-06-15 01:44:00,      3.090000,     21.518000,          7.649000,                    86.695357,      0.990000
                1623743940,           2021-06-15 07:59:00,           2021-06-15 01:59:00,      3.090000,     21.543000,          7.640000,                    86.635353,      0.990000
                1623744840,           2021-06-15 08:14:00,           2021-06-15 02:14:00,      3.090000,     21.526000,          7.644000,                    86.652134,      0.989000
                1623745740,           2021-06-15 08:29:00,           2021-06-15 02:29:00,      3.090000,     21.543000,          7.634000,                    86.567315,      0.989000
                1623746640,           2021-06-15 08:44:00,           2021-06-15 02:44:00,      3.090000,     21.568000,          7.636000,                    86.631981,      0.990000
                1623747540,           2021-06-15 08:59:00,           2021-06-15 02:59:00,      3.090000,     21.560000,          7.629000,                    86.539141,      0.989000
                1623748440,           2021-06-15 09:14:00,           2021-06-15 03:14:00,      3.090000,     21.568000,          7.628000,                    86.541219,      0.989000
                1623749340,           2021-06-15 09:29:00,           2021-06-15 03:29:00,      3.090000,     21.576000,          7.617000,                    86.429825,      0.989000
                1623750240,           2021-06-15 09:44:00,           2021-06-15 03:44:00,      3.090000,     21.560000,          7.627000,                    86.516454,      0.989000
                1623751140,           2021-06-15 09:59:00,           2021-06-15 03:59:00,      3.090000,     21.576000,          7.626000,                    86.531948,      0.989000
