unix,UTC,MST,battery,water.temp,DO.obs,DO.sat,             Q
                1623706920,           2021-06-14 21:42:00,           2021-06-14 15:42:00,      3.080000,     24.892000,          7.304000,                    88.241109,      0.999000
                1623707820,           2021-06-14 21:57:00,           2021-06-14 15:57:00,      3.080000,     24.850000,          7.321000,                    88.377948,      0.999000
                1623708720,           2021-06-14 22:12:00,           2021-06-14 16:12:00,      3.080000,     24.858000,          7.315000,                    88.318561,      0.998000
                1623709620,           2021-06-14 22:27:00,           2021-06-14 16:27:00,      3.080000,     17.635000,          7.975000,                    83.632457,      0.991000
                1623710520,           2021-06-14 22:42:00,           2021-06-14 16:42:00,      3.080000,     17.297000,          7.928000,                    82.559727,      0.995000
                1623711420,           2021-06-14 22:57:00,           2021-06-14 16:57:00,      3.080000,     17.947000,          8.071000,                    85.184816,      0.997000
                1623712320,           2021-06-14 23:12:00,           2021-06-14 17:12:00,      3.080000,     18.233000,          8.135000,                    86.365033,      0.998000
                1623713220,           2021-06-14 23:27:00,           2021-06-14 17:27:00,      3.080000,     18.452000,          8.092000,                    86.293365,      0.997000
                1623714120,           2021-06-14 23:42:00,           2021-06-14 17:42:00,      3.080000,     18.671000,          8.068000,                    86.421465,      0.998000
                1623715020,           2021-06-14 23:57:00,           2021-06-14 17:57:00,      3.080000,     18.856000,          8.044000,                    86.488096,      0.999000
                1623715920,           2021-06-15 00:12:00,           2021-06-14 18:12:00,      3.080000,     19.024000,          8.009000,                    86.404672,      0.998000
                1623716820,           2021-06-15 00:27:00,           2021-06-14 18:27:00,      3.080000,     19.191000,          7.981000,                    86.392920,      0.998000
                1623717720,           2021-06-15 00:42:00,           2021-06-14 18:42:00,      3.080000,     19.351000,          7.954000,                    86.378043,      0.998000
                1623718620,           2021-06-15 00:57:00,           2021-06-14 18:57:00,      3.080000,     19.527000,          7.911000,                    86.214761,      0.998000
                1623719520,           2021-06-15 01:12:00,           2021-06-14 19:12:00,      3.080000,     19.661000,          7.888000,                    86.194790,      0.997000
                1623720420,           2021-06-15 01:27:00,           2021-06-14 19:27:00,      3.080000,     19.778000,          7.879000,                    86.297732,      0.998000
                1623721320,           2021-06-15 01:42:00,           2021-06-14 19:42:00,      3.080000,     19.937000,          7.852000,                    86.274762,      0.997000
                1623722220,           2021-06-15 01:57:00,           2021-06-14 19:57:00,      3.080000,     20.021000,          7.862000,                    86.528988,      0.998000
                1623723120,           2021-06-15 02:12:00,           2021-06-14 20:12:00,      3.080000,     20.121000,          7.839000,                    86.447256,      0.998000
                1623724020,           2021-06-15 02:27:00,           2021-06-14 20:27:00,      3.080000,     20.255000,          7.803000,                    86.278988,      0.998000
                1623724920,           2021-06-15 02:42:00,           2021-06-14 20:42:00,      3.080000,     20.389000,          7.787000,                    86.330459,      0.998000
                1623725820,           2021-06-15 02:57:00,           2021-06-14 20:57:00,      3.080000,     20.456000,          7.778000,                    86.344786,      0.998000
                1623726720,           2021-06-15 03:12:00,           2021-06-14 21:12:00,      3.080000,     20.573000,          7.760000,                    86.343836,      0.998000
                1623727620,           2021-06-15 03:27:00,           2021-06-14 21:27:00,      3.070000,     20.665000,          7.729000,                    86.154721,      0.997000
                1623728520,           2021-06-15 03:42:00,           2021-06-14 21:42:00,      3.080000,     20.749000,          7.721000,                    86.207714,      0.997000
                1623729420,           2021-06-15 03:57:00,           2021-06-14 21:57:00,      3.080000,     20.816000,          7.708000,                    86.175804,      0.998000
                1623730320,           2021-06-15 04:12:00,           2021-06-14 22:12:00,      3.080000,     20.866000,          7.729000,                    86.495341,      0.998000
                1623731220,           2021-06-15 04:27:00,           2021-06-14 22:27:00,      3.080000,     20.983000,          7.687000,                    86.222636,      0.997000
                1623732120,           2021-06-15 04:42:00,           2021-06-14 22:42:00,      3.080000,     21.025000,          7.689000,                    86.315942,      0.998000
                1623733020,           2021-06-15 04:57:00,           2021-06-14 22:57:00,      3.080000,     21.075000,          7.675000,                    86.243013,      0.998000
                1623733920,           2021-06-15 05:12:00,           2021-06-14 23:12:00,      3.070000,     21.150000,          7.667000,                    86.279367,      0.998000
                1623734820,           2021-06-15 05:27:00,           2021-06-14 23:27:00,      3.080000,     21.184000,          7.657000,                    86.224005,      0.997000
                1623735720,           2021-06-15 05:42:00,           2021-06-14 23:42:00,      3.070000,     21.242000,          7.665000,                    86.411737,      0.999000
                1623736620,           2021-06-15 05:57:00,           2021-06-14 23:57:00,      3.080000,     21.301000,          7.625000,                    86.059630,      0.997000
                1623737520,           2021-06-15 06:12:00,           2021-06-15 00:12:00,      3.080000,     21.326000,          7.645000,                    86.327356,      0.998000
