unix,UTC,MST,battery,water.temp,DO.obs,DO.sat,             Q
1596832080,           2020-08-07 20:28:00,           2020-08-07 14:28:00,3.5,26.866,7.169,89.755553,1.003
1596832380,           2020-08-07 20:33:00,           2020-08-07 14:33:00,3.5,26.341,7.183,89.084076,1.003
1596832680,           2020-08-07 20:38:00,           2020-08-07 14:38:00,3.5,25.683,6.711,82.241381,0.993
1596832980,           2020-08-07 20:43:00,           2020-08-07 14:43:00,3.51,20.18,9.526,105.147589,0.991
1596833280,           2020-08-07 20:48:00,           2020-08-07 14:48:00,3.5,19.409,9.803,106.554715,0.996
1596833580,           2020-08-07 20:53:00,           2020-08-07 14:53:00,3.51,19.233,9.866,106.861046,0.997
1596833880,           2020-08-07 20:58:00,           2020-08-07 14:58:00,3.51,19.149,9.92,107.264412,0.999
1596834180,           2020-08-07 21:03:00,           2020-08-07 15:03:00,3.51,19.141,9.949,107.560652,1.001
1596834480,           2020-08-07 21:08:00,           2020-08-07 15:08:00,3.51,19.175,9.952,107.666786,1.001
1596834780,           2020-08-07 21:13:00,           2020-08-07 15:13:00,3.51,19.191,9.971,107.907091,1.001
1596835080,           2020-08-07 21:18:00,           2020-08-07 15:18:00,3.51,19.208,9.957,107.792457,1
1596835380,           2020-08-07 21:23:00,           2020-08-07 15:23:00,3.5,19.25,9.948,107.786055,0.999
1596835680,           2020-08-07 21:28:00,           2020-08-07 15:28:00,3.5,19.284,9.964,108.033235,1.001
1596835980,           2020-08-07 21:33:00,           2020-08-07 15:33:00,3.5,19.317,9.972,108.191691,1.001
1596836280,           2020-08-07 21:38:00,           2020-08-07 15:38:00,3.5,19.351,9.992,108.48273,1.003
1596836580,           2020-08-07 21:43:00,           2020-08-07 15:43:00,3.5,19.376,9.963,108.222173,1.002
1596836880,           2020-08-07 21:48:00,           2020-08-07 15:48:00,3.5,19.409,9.92,107.826458,0.999
1596837180,           2020-08-07 21:53:00,           2020-08-07 15:53:00,3.5,19.451,9.958,108.330698,1.002
1596837480,           2020-08-07 21:58:00,           2020-08-07 15:58:00,3.5,19.468,9.939,108.160847,1
1596837780,           2020-08-07 22:03:00,           2020-08-07 16:03:00,3.5,19.493,9.915,107.953727,0.999
1596838080,           2020-08-07 22:08:00,           2020-08-07 16:08:00,3.5,19.552,9.925,108.190335,1
1596838380,           2020-08-07 22:13:00,           2020-08-07 16:13:00,3.5,19.585,9.918,108.185434,1.001
1596838680,           2020-08-07 22:18:00,           2020-08-07 16:18:00,3.5,19.627,9.916,108.254491,1.001
1596838980,           2020-08-07 22:23:00,           2020-08-07 16:23:00,3.5,19.636,9.915,108.263046,1
1596839280,           2020-08-07 22:28:00,           2020-08-07 16:28:00,3.5,19.661,9.88,107.934781,0.999
1596839580,           2020-08-07 22:33:00,           2020-08-07 16:33:00,3.5,19.686,9.901,108.218221,1
1596839880,           2020-08-07 22:38:00,           2020-08-07 16:38:00,3.5,19.72,9.898,108.258889,1.001
1596840180,           2020-08-07 22:43:00,           2020-08-07 16:43:00,3.5,19.728,9.869,107.958938,1
1596840480,           2020-08-07 22:48:00,           2020-08-07 16:48:00,3.5,19.736,9.827,107.516654,0.999
1596840780,           2020-08-07 22:53:00,           2020-08-07 16:53:00,3.5,19.761,9.863,107.964361,1
1596841080,           2020-08-07 22:58:00,           2020-08-07 16:58:00,3.5,19.761,9.84,107.712594,1
1596841380,           2020-08-07 23:03:00,           2020-08-07 17:03:00,3.5,19.803,9.819,107.572766,1.001
1596841680,           2020-08-07 23:08:00,           2020-08-07 17:08:00,3.5,19.837,9.788,107.305819,1.001
1596841980,           2020-08-07 23:13:00,           2020-08-07 17:13:00,3.5,19.837,9.783,107.251004,1.001
1596842280,           2020-08-07 23:18:00,           2020-08-07 17:18:00,3.5,19.862,9.789,107.370232,1.001
1596842580,           2020-08-07 23:23:00,           2020-08-07 17:23:00,3.5,19.862,9.768,107.139894,1
1596842880,           2020-08-07 23:28:00,           2020-08-07 17:28:00,3.5,19.87,9.719,106.619422,0.999
1596843180,           2020-08-07 23:33:00,           2020-08-07 17:33:00,3.5,19.887,9.738,106.864017,1.002
1596843480,           2020-08-07 23:38:00,           2020-08-07 17:38:00,3.5,19.879,9.686,106.276447,1
1596843780,           2020-08-07 23:43:00,           2020-08-07 17:43:00,3.5,19.895,9.652,105.937127,0.998
1596844080,           2020-08-07 23:48:00,           2020-08-07 17:48:00,3.5,19.895,9.658,106.002981,1
1596844380,           2020-08-07 23:53:00,           2020-08-07 17:53:00,3.49,19.879,9.658,105.969226,1.001
1596844680,           2020-08-07 23:58:00,           2020-08-07 17:58:00,3.5,19.904,9.594,105.319401,0.999
1596844980,           2020-08-08 00:03:00,           2020-08-07 18:03:00,3.5,19.895,9.577,105.113952,0.999
1596845280,           2020-08-08 00:08:00,           2020-08-07 18:08:00,3.5,19.904,9.572,105.077893,1.001
1596845580,           2020-08-08 00:13:00,           2020-08-07 18:13:00,3.5,19.904,9.544,104.770519,1.001
1596845880,           2020-08-08 00:18:00,           2020-08-07 18:18:00,3.5,19.879,9.534,104.608677,1.001
1596846180,           2020-08-08 00:23:00,           2020-08-07 18:23:00,3.5,19.895,9.497,104.235899,1.001
1596846480,           2020-08-08 00:28:00,           2020-08-07 18:28:00,3.5,19.887,9.478,104.010798,1.002
1596846780,           2020-08-08 00:33:00,           2020-08-07 18:33:00,3.5,19.904,9.42,103.409293,1
1596847080,           2020-08-08 00:38:00,           2020-08-07 18:38:00,3.5,19.862,9.394,103.037691,1
1596847380,           2020-08-08 00:43:00,           2020-08-07 18:43:00,3.5,19.879,9.361,102.710491,1.001
1596847680,           2020-08-08 00:48:00,           2020-08-07 18:48:00,3.5,19.854,9.351,102.549708,1.001
1596847980,           2020-08-08 00:53:00,           2020-08-07 18:53:00,3.5,19.862,9.286,101.853097,1
1596848280,           2020-08-08 00:58:00,           2020-08-07 18:58:00,3.5,19.837,9.265,101.572171,1.001
1596848580,           2020-08-08 01:03:00,           2020-08-07 19:03:00,3.5,19.828,9.206,100.90726,0.999
1596848880,           2020-08-08 01:08:00,           2020-08-07 19:08:00,3.5,19.812,9.179,100.579239,1.001
1596849180,           2020-08-08 01:13:00,           2020-08-07 19:13:00,3.5,19.812,9.11,99.823169,1
1596849480,           2020-08-08 01:18:00,           2020-08-07 19:18:00,3.5,19.82,9.052,99.203446,1.001
