unix,UTC,MST,battery,water.temp,DO.obs,DO.sat,             Q
1596834480,           2020-08-07 21:08:00,           2020-08-07 15:08:00,3.15,27.127,6.702,84.302209,0.998
1596834780,           2020-08-07 21:13:00,           2020-08-07 15:13:00,3.15,27.45,6.682,84.536785,0.997
1596835080,           2020-08-07 21:18:00,           2020-08-07 15:18:00,3.15,23.736,7.341,86.778776,0.989
1596835380,           2020-08-07 21:23:00,           2020-08-07 15:23:00,3.15,20.853,8.7,97.312394,0.993
1596835680,           2020-08-07 21:28:00,           2020-08-07 15:28:00,3.15,20.334,8.839,97.862286,0.994
1596835980,           2020-08-07 21:33:00,           2020-08-07 15:33:00,3.15,20.259,8.85,97.838851,0.994
1596836280,           2020-08-07 21:38:00,           2020-08-07 15:38:00,3.15,20.184,8.893,98.168341,0.996
1596836580,           2020-08-07 21:43:00,           2020-08-07 15:43:00,3.15,20.192,8.886,98.106616,0.997
1596836880,           2020-08-07 21:48:00,           2020-08-07 15:48:00,3.15,20.175,8.885,98.062542,0.996
1596837180,           2020-08-07 21:53:00,           2020-08-07 15:53:00,3.15,20.192,8.889,98.139737,0.996
1596837480,           2020-08-07 21:58:00,           2020-08-07 15:58:00,3.15,20.184,8.879,98.013797,0.996
1596837780,           2020-08-07 22:03:00,           2020-08-07 16:03:00,3.15,20.226,8.857,97.852303,0.996
1596838080,           2020-08-07 22:08:00,           2020-08-07 16:08:00,3.15,20.251,8.853,97.856524,0.997
1596838380,           2020-08-07 22:13:00,           2020-08-07 16:13:00,3.15,20.242,8.845,97.750682,0.996
1596838680,           2020-08-07 22:18:00,           2020-08-07 16:18:00,3.15,20.242,8.827,97.551755,0.996
1596838980,           2020-08-07 22:23:00,           2020-08-07 16:23:00,3.15,20.284,8.81,97.444826,0.997
1596839280,           2020-08-07 22:28:00,           2020-08-07 16:28:00,3.15,20.293,8.801,97.362609,0.996
1596839580,           2020-08-07 22:33:00,           2020-08-07 16:33:00,3.15,20.293,8.788,97.218794,0.996
1596839880,           2020-08-07 22:38:00,           2020-08-07 16:38:00,3.15,20.276,8.791,97.219286,0.997
1596840180,           2020-08-07 22:43:00,           2020-08-07 16:43:00,3.15,20.301,8.754,96.857986,0.996
1596840480,           2020-08-07 22:48:00,           2020-08-07 16:48:00,3.15,20.368,8.731,96.731512,0.996
1596840780,           2020-08-07 22:53:00,           2020-08-07 16:53:00,3.15,20.326,8.73,96.640194,0.996
1596841080,           2020-08-07 22:58:00,           2020-08-07 16:58:00,3.15,20.326,8.723,96.562705,0.996
1596841380,           2020-08-07 23:03:00,           2020-08-07 17:03:00,3.15,20.393,8.7,96.435663,0.996
1596841680,           2020-08-07 23:08:00,           2020-08-07 17:08:00,3.15,20.401,8.683,96.26243,0.996
1596841980,           2020-08-07 23:13:00,           2020-08-07 17:13:00,3.15,20.376,8.686,96.248161,0.997
1596842280,           2020-08-07 23:18:00,           2020-08-07 17:18:00,3.15,20.376,8.686,96.248161,0.996
1596842580,           2020-08-07 23:23:00,           2020-08-07 17:23:00,3.15,20.452,8.639,95.871079,0.996
1596842880,           2020-08-07 23:28:00,           2020-08-07 17:28:00,3.15,20.376,8.659,95.948978,0.996
1596843180,           2020-08-07 23:33:00,           2020-08-07 17:33:00,3.15,20.368,8.644,95.767631,0.996
1596843480,           2020-08-07 23:38:00,           2020-08-07 17:38:00,3.15,20.334,8.643,95.692244,0.996
1596843780,           2020-08-07 23:43:00,           2020-08-07 17:43:00,3.15,20.376,8.619,95.505745,0.996
1596844080,           2020-08-07 23:48:00,           2020-08-07 17:48:00,3.15,20.41,8.609,95.459002,0.997
1596844380,           2020-08-07 23:53:00,           2020-08-07 17:53:00,3.15,20.376,8.582,95.095754,0.995
1596844680,           2020-08-07 23:58:00,           2020-08-07 17:58:00,3.15,20.41,8.564,94.96003,0.995
1596844980,           2020-08-08 00:03:00,           2020-08-07 18:03:00,3.15,20.36,8.568,94.91062,0.996
1596845280,           2020-08-08 00:08:00,           2020-08-07 18:08:00,3.15,20.393,8.539,94.651049,0.996
1596845580,           2020-08-08 00:13:00,           2020-08-07 18:13:00,3.15,20.293,8.548,94.563752,0.996
1596845880,           2020-08-08 00:18:00,           2020-08-07 18:18:00,3.15,20.343,8.511,94.247548,0.996
1596846180,           2020-08-08 00:23:00,           2020-08-07 18:23:00,3.15,20.318,8.505,94.13458,0.995
1596846480,           2020-08-08 00:28:00,           2020-08-07 18:28:00,3.15,20.226,8.521,94.140168,0.996
1596846780,           2020-08-08 00:33:00,           2020-08-07 18:33:00,3.15,20.234,8.487,93.779387,0.996
1596847080,           2020-08-08 00:38:00,           2020-08-07 18:38:00,3.15,20.276,8.457,93.525595,0.996
1596847380,           2020-08-08 00:43:00,           2020-08-07 18:43:00,3.15,20.234,8.451,93.381595,0.996
1596847680,           2020-08-08 00:48:00,           2020-08-07 18:48:00,3.15,20.192,8.442,93.204597,0.996
1596847980,           2020-08-08 00:53:00,           2020-08-07 18:53:00,3.15,20.184,8.416,92.902817,0.996
1596848280,           2020-08-08 00:58:00,           2020-08-07 18:58:00,3.15,20.142,8.397,92.615958,0.996
1596848580,           2020-08-08 01:03:00,           2020-08-07 19:03:00,3.15,20.1,8.375,92.296398,0.996
1596848880,           2020-08-08 01:08:00,           2020-08-07 19:08:00,3.15,20.05,8.376,92.215869,0.996
1596849180,           2020-08-08 01:13:00,           2020-08-07 19:13:00,3.15,20.1,8.328,91.778437,0.996
1596849480,           2020-08-08 01:18:00,           2020-08-07 19:18:00,3.15,20.05,8.31,91.489239,0.996
1596849780,           2020-08-08 01:23:00,           2020-08-07 19:23:00,3.15,20.05,8.277,91.125925,0.995
1596850080,           2020-08-08 01:28:00,           2020-08-07 19:28:00,3.15,19.983,8.267,90.894776,0.996
