unix,UTC,MST,battery,water.temp,DO.obs,DO.sat,Q
1595437680,           2020-07-22 17:08:00,           2020-07-22 11:08:00,3.08,25.779,6.753,82.901083,0.985
1595438280,           2020-07-22 17:18:00,           2020-07-22 11:18:00,3.08,25.484,6.79,82.90747,0.985
1595438880,           2020-07-22 17:28:00,           2020-07-22 11:28:00,3.07,24.635,6.89,82.823868,0.984
1595439480,           2020-07-22 17:38:00,           2020-07-22 11:38:00,3.07,23.982,6.962,82.678637,0.983
1595440080,           2020-07-22 17:48:00,           2020-07-22 11:48:00,3.06,29.557,6.325,83.039898,0.981
1595440680,           2020-07-22 17:58:00,           2020-07-22 11:58:00,3.06,35.484,5.669,82.221829,0.974
1595441280,           2020-07-22 18:08:00,           2020-07-22 12:08:00,3.05,36.454,5.781,85.179611,0.969
1595441880,           2020-07-22 18:18:00,           2020-07-22 12:18:00,3.05,36.463,5.689,83.83627,0.973
1595442480,           2020-07-22 18:28:00,           2020-07-22 12:28:00,3.06,34.021,5.906,83.624482,0.982
1595443080,           2020-07-22 18:38:00,           2020-07-22 12:38:00,3.06,31.717,6.155,83.854953,0.985
1595443680,           2020-07-22 18:48:00,           2020-07-22 12:48:00,3.07,22.919,8.181,95.22846,0.965
1595444280,           2020-07-22 18:58:00,           2020-07-22 12:58:00,3.07,19.593,9.192,100.282278,0.972
1595444880,           2020-07-22 19:08:00,           2020-07-22 13:08:00,3.07,19.459,9.354,101.776245,0.976
1595445480,           2020-07-22 19:18:00,           2020-07-22 13:18:00,3.07,19.509,9.443,102.847582,0.977
1595446080,           2020-07-22 19:28:00,           2020-07-22 13:28:00,3.07,19.635,9.532,104.078944,0.98
1595446680,           2020-07-22 19:38:00,           2020-07-22 13:38:00,3.07,19.735,9.594,104.96532,0.98
1595447280,           2020-07-22 19:48:00,           2020-07-22 13:48:00,3.06,19.811,9.635,105.573773,0.98
1595447880,           2020-07-22 19:58:00,           2020-07-22 13:58:00,3.06,19.961,9.673,106.307094,0.98
1595448480,           2020-07-22 20:08:00,           2020-07-22 14:08:00,3.07,20.079,9.741,107.305634,0.981
1595449080,           2020-07-22 20:18:00,           2020-07-22 14:18:00,3.07,20.171,9.766,107.777477,0.981
1595449680,           2020-07-22 20:28:00,           2020-07-22 14:28:00,3.07,20.279,9.793,108.306788,0.981
1595450280,           2020-07-22 20:38:00,           2020-07-22 14:38:00,3.07,20.405,9.814,108.809639,0.981
1595450880,           2020-07-22 20:48:00,           2020-07-22 14:48:00,3.07,20.472,9.845,109.297741,0.981
1595451480,           2020-07-22 20:58:00,           2020-07-22 14:58:00,3.07,20.605,9.874,109.907295,0.981
1595452080,           2020-07-22 21:08:00,           2020-07-22 15:08:00,3.07,20.764,9.894,110.474632,0.981
1595452680,           2020-07-22 21:18:00,           2020-07-22 15:18:00,3.07,20.53,7.277,80.880602,0.979
1595453280,           2020-07-22 21:28:00,           2020-07-22 15:28:00,3.06,20.94,9.796,109.758425,0.98
1595453880,           2020-07-22 21:38:00,           2020-07-22 15:38:00,3.06,20.798,9.825,109.777417,0.982
1595454480,           2020-07-22 21:48:00,           2020-07-22 15:48:00,3.06,20.772,9.82,109.665581,0.983
1595455080,           2020-07-22 21:58:00,           2020-07-22 15:58:00,3.06,20.772,9.786,109.285884,0.983
1595455680,           2020-07-22 22:08:00,           2020-07-22 16:08:00,3.06,20.739,9.777,109.114657,0.983
1595456280,           2020-07-22 22:18:00,           2020-07-22 16:18:00,3.07,20.731,9.736,108.640012,0.983
1595456880,           2020-07-22 22:28:00,           2020-07-22 16:28:00,3.06,20.731,9.696,108.193669,0.984
1595457480,           2020-07-22 22:38:00,           2020-07-22 16:38:00,3.06,20.823,9.663,108.020308,0.983
