unix,UTC,MST,battery,water.temp,DO.obs,DO.sat,             Q
1596829680,           2020-08-07 19:48:00,           2020-08-07 13:48:00,3.44,27.154,6.959,87.577219,0.995
1596829980,           2020-08-07 19:53:00,           2020-08-07 13:53:00,3.45,26.739,6.755,84.379489,0.98
1596830280,           2020-08-07 19:58:00,           2020-08-07 13:58:00,3.45,19.948,9.774,107.38933,0.976
1596830580,           2020-08-07 20:03:00,           2020-08-07 14:03:00,3.45,19.002,10.154,109.469635,0.984
1596830880,           2020-08-07 20:08:00,           2020-08-07 14:08:00,3.45,18.758,10.23,109.745906,0.987
1596831180,           2020-08-07 20:13:00,           2020-08-07 14:13:00,3.45,18.666,10.247,109.723309,0.988
1596831480,           2020-08-07 20:18:00,           2020-08-07 14:18:00,3.45,18.607,10.275,109.89136,0.989
1596831780,           2020-08-07 20:23:00,           2020-08-07 14:23:00,3.45,18.632,10.302,110.236103,0.991
1596832080,           2020-08-07 20:28:00,           2020-08-07 14:28:00,3.45,18.699,10.277,110.118273,0.991
1596832380,           2020-08-07 20:33:00,           2020-08-07 14:33:00,3.45,18.733,10.253,109.936908,0.99
1596832680,           2020-08-07 20:38:00,           2020-08-07 14:38:00,3.45,18.783,10.263,110.155724,0.991
1596832980,           2020-08-07 20:43:00,           2020-08-07 14:43:00,3.45,18.842,10.255,110.201461,0.991
1596833280,           2020-08-07 20:48:00,           2020-08-07 14:48:00,3.45,18.867,10.258,110.28949,0.991
1596833580,           2020-08-07 20:53:00,           2020-08-07 14:53:00,3.45,18.926,10.224,110.055187,0.991
1596833880,           2020-08-07 20:58:00,           2020-08-07 14:58:00,3.45,18.968,10.198,109.868526,0.989
1596834180,           2020-08-07 21:03:00,           2020-08-07 15:03:00,3.45,19.002,10.203,109.997901,0.99
1596834480,           2020-08-07 21:08:00,           2020-08-07 15:08:00,3.45,19.077,10.218,110.326456,0.992
1596834780,           2020-08-07 21:13:00,           2020-08-07 15:13:00,3.45,19.102,10.204,110.230842,0.99
1596835080,           2020-08-07 21:18:00,           2020-08-07 15:18:00,3.45,19.136,10.191,110.165865,0.99
1596835380,           2020-08-07 21:23:00,           2020-08-07 15:23:00,3.45,19.169,10.192,110.249931,0.991
1596835680,           2020-08-07 21:28:00,           2020-08-07 15:28:00,3.45,19.194,10.204,110.435308,0.992
1596835980,           2020-08-07 21:33:00,           2020-08-07 15:33:00,3.45,19.236,10.203,110.517843,0.991
1596836280,           2020-08-07 21:38:00,           2020-08-07 15:38:00,3.45,19.261,10.171,110.226626,0.991
1596836580,           2020-08-07 21:43:00,           2020-08-07 15:43:00,3.45,19.287,10.189,110.479426,0.992
1596836880,           2020-08-07 21:48:00,           2020-08-07 15:48:00,3.45,19.303,10.132,109.896704,0.989
1596837180,           2020-08-07 21:53:00,           2020-08-07 15:53:00,3.45,19.328,10.139,110.027873,0.99
1596837480,           2020-08-07 21:58:00,           2020-08-07 15:58:00,3.45,19.379,10.147,110.227493,0.992
1596837780,           2020-08-07 22:03:00,           2020-08-07 16:03:00,3.45,19.387,10.103,109.767138,0.99
1596838080,           2020-08-07 22:08:00,           2020-08-07 16:08:00,3.45,19.421,10.081,109.60284,0.991
1596838380,           2020-08-07 22:13:00,           2020-08-07 16:13:00,3.45,19.446,10.061,109.440241,0.989
1596838680,           2020-08-07 22:18:00,           2020-08-07 16:18:00,3.45,19.479,10.043,109.316716,0.99
1596838980,           2020-08-07 22:23:00,           2020-08-07 16:23:00,3.45,19.513,10.039,109.347621,0.992
1596839280,           2020-08-07 22:28:00,           2020-08-07 16:28:00,3.45,19.529,10.052,109.524302,0.991
1596839580,           2020-08-07 22:33:00,           2020-08-07 16:33:00,3.45,19.538,10.035,109.358775,0.992
1596839880,           2020-08-07 22:38:00,           2020-08-07 16:38:00,3.45,19.546,9.988,108.864012,0.991
1596840180,           2020-08-07 22:43:00,           2020-08-07 16:43:00,3.45,19.563,9.938,108.355894,0.989
1596840480,           2020-08-07 22:48:00,           2020-08-07 16:48:00,3.45,19.605,9.946,108.534259,0.99
