unix,UTC,MST,battery,water.temp,DO.obs,DO.sat,             Q
1596844860,           2020-08-08 00:01:00,           2020-08-07 18:01:00,3.44,19.249,9.434,102.214837,0.988
1596845160,           2020-08-08 00:06:00,           2020-08-07 18:06:00,3.44,19.266,9.357,101.415223,0.986
1596845460,           2020-08-08 00:11:00,           2020-08-07 18:11:00,3.45,19.249,9.343,101.228876,0.987
1596845760,           2020-08-08 00:16:00,           2020-08-07 18:16:00,3.44,19.249,9.278,100.524619,0.985
1596846060,           2020-08-08 00:21:00,           2020-08-07 18:21:00,3.45,19.232,9.261,100.306126,0.987
1596846360,           2020-08-08 00:26:00,           2020-08-07 18:26:00,3.44,19.224,9.226,99.910959,0.987
1596846660,           2020-08-08 00:31:00,           2020-08-07 18:31:00,3.45,19.216,9.193,99.53757,0.988
1596846960,           2020-08-08 00:36:00,           2020-08-07 18:36:00,3.44,19.174,9.12,98.663717,0.986
1596847260,           2020-08-08 00:41:00,           2020-08-07 18:41:00,3.45,19.174,9.079,98.220163,0.986
1596847560,           2020-08-08 00:46:00,           2020-08-07 18:46:00,3.44,19.165,9.045,97.834606,0.988
1596847860,           2020-08-08 00:51:00,           2020-08-07 18:51:00,3.44,19.132,8.985,97.121041,0.987
1596848160,           2020-08-08 00:56:00,           2020-08-07 18:56:00,3.44,19.081,8.959,96.740502,0.987
1596848460,           2020-08-08 01:01:00,           2020-08-07 19:01:00,3.44,19.056,8.888,95.925454,0.987
1596848760,           2020-08-08 01:06:00,           2020-08-07 19:06:00,3.44,19.048,8.836,95.348844,0.987
1596849060,           2020-08-08 01:11:00,           2020-08-07 19:11:00,3.44,18.989,8.795,94.793454,0.986
1596849360,           2020-08-08 01:16:00,           2020-08-07 19:16:00,3.44,18.981,8.713,93.894478,0.986
1596849660,           2020-08-08 01:21:00,           2020-08-07 19:21:00,3.44,18.939,8.67,93.351843,0.987
1596849960,           2020-08-08 01:26:00,           2020-08-07 19:26:00,3.44,18.905,8.588,92.405391,0.985
1596850260,           2020-08-08 01:31:00,           2020-08-07 19:31:00,3.44,18.83,8.562,91.98593,0.987
1596850560,           2020-08-08 01:36:00,           2020-08-07 19:36:00,3.45,18.813,8.497,91.256181,0.987
1596850860,           2020-08-08 01:41:00,           2020-08-07 19:41:00,3.44,18.771,8.429,90.448878,0.987
1596851160,           2020-08-08 01:46:00,           2020-08-07 19:46:00,3.44,18.695,8.383,89.816732,0.988
1596851460,           2020-08-08 01:51:00,           2020-08-07 19:51:00,3.44,18.661,8.285,88.705508,0.987
1596851760,           2020-08-08 01:56:00,           2020-08-07 19:56:00,3.44,18.628,8.219,87.939906,0.987
1596852060,           2020-08-08 02:01:00,           2020-08-07 20:01:00,3.44,18.569,8.144,87.033013,0.987
