Site,Location,sitecode,Latitude,Longitude,nwis_code
1,Perkins,PL,46.2087,-112.77,12323800
2,Deer Lodge,DL,46.3826,-112.738,12324200
3,Garrison,GR,46.4979,-112.7409,12324400
4,Gold Creek,GC,46.5979,-112.9541,12324680
5,Bear Gulch,BM,46.7005,-113.4405,12331800
6,Bonita,BN,46.7235,-113.5718,12331800
,Clark Fork near Galen MT,USGS,46.20824167,-112.76735,12323800
,Clark Fork at Deer Lodge MT,USGS,46.39765,-112.7425389,12324200
,Clark Fork ab Little Blackfoot R nr Garrison MT,USGS,46.5109111,-112.789686,12324400
,Clark Fork at Goldcreek MT,USGS,46.58998889,-112.9287139,12324680
,Clark Fork near Drummond MT,USGS,46.71191389,-113.3307806,12331800
