Year,DOY,Hour,SW,sitecode,date
2020,183,0,198.58,BM,2020-07-01
2020,183,1,142.71,BM,2020-07-01
2020,183,2,82.184,BM,2020-07-01
2020,183,3,15.32,BM,2020-07-01
2020,183,4,0,BM,2020-07-01
2020,183,5,0,BM,2020-07-01
2020,183,6,0,BM,2020-07-01
2020,183,7,0,BM,2020-07-01
2020,183,8,0,BM,2020-07-01
2020,183,9,0,BM,2020-07-01
2020,183,10,0,BM,2020-07-01
2020,183,11,0,BM,2020-07-01
2020,183,12,20.04,BM,2020-07-01
2020,183,13,144.16,BM,2020-07-01
2020,183,14,273.8,BM,2020-07-01
2020,183,15,414.57,BM,2020-07-01
2020,183,16,529.15,BM,2020-07-01
2020,183,17,632.61,BM,2020-07-01
2020,183,18,742.95,BM,2020-07-01
2020,183,19,798.93,BM,2020-07-01
2020,183,20,807.98,BM,2020-07-01
2020,183,21,702.04,BM,2020-07-01
2020,183,22,614.49,BM,2020-07-01
2020,183,23,499.11,BM,2020-07-01
2020,184,0,430.29,BM,2020-07-02
2020,184,1,309.15,BM,2020-07-02
2020,184,2,177.89,BM,2020-07-02
2020,184,3,19.292,BM,2020-07-02
2020,184,4,0,BM,2020-07-02
2020,184,5,0,BM,2020-07-02
2020,184,6,0,BM,2020-07-02
2020,184,7,0,BM,2020-07-02
2020,184,8,0,BM,2020-07-02
2020,184,9,0,BM,2020-07-02
2020,184,10,0,BM,2020-07-02
2020,184,11,0,BM,2020-07-02
2020,184,12,20.904,BM,2020-07-02
2020,184,13,158.35,BM,2020-07-02
2020,184,14,301.91,BM,2020-07-02
2020,184,15,477.53,BM,2020-07-02
2020,184,16,609.99,BM,2020-07-02
2020,184,17,729.58,BM,2020-07-02
2020,184,18,825.04,BM,2020-07-02
2020,184,19,887.39,BM,2020-07-02
2020,184,20,897.59,BM,2020-07-02
2020,184,21,834.76,BM,2020-07-02
2020,184,22,730.7,BM,2020-07-02
2020,184,23,593.5,BM,2020-07-02
2020,185,0,453.63,BM,2020-07-03
